#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           100.565           0.000        0.000        0.000        492165                      276745                      
GPU 1           70.739            0.000        0.000        0.000        515120                      306556                      
GPU 2           70.082            0.000        0.000        0.000        496849                      299786                      
GPU 3           69.595            0.000        0.000        0.000        510934                      245248                      
GPU 4           71.236            0.000        0.000        0.000        501543                      302393                      
GPU 5           72.115            0.000        0.000        0.000        506206                      297121                      
GPU 6           72.162            0.000        0.000        0.000        495786                      298729                      
GPU 7           71.665            0.000        0.000        0.000        498399                      300297                      
GPU 0           100.534           0.000        0.000        0.000        481158                      265213                      
GPU 1           70.801            0.000        0.000        0.000        446994                      242624                      
GPU 2           70.048            0.000        0.000        0.000        503139                      303980                      
GPU 3           69.600            0.000        0.000        0.000        451717                      72839                       
GPU 4           71.190            0.000        0.000        0.000        501023                      302920                      
GPU 5           72.132            0.000        0.000        0.000        506750                      299229                      
GPU 6           72.159            0.000        0.000        0.000        499968                      302916                      
GPU 7           71.685            0.000        0.000        0.000        493685                      302395                      
GPU 0           100.414           0.000        0.000        0.000        442906                      229577                      
GPU 1           70.725            0.000        0.000        0.000        274069                      73364                       
GPU 2           70.050            0.000        0.000        0.000        243179                      64463                       
GPU 3           69.604            0.000        0.000        0.000        273540                      300793                      
GPU 4           71.220            0.000        0.000        0.000        447555                      254697                      
GPU 5           72.159            0.000        0.000        0.000        523510                      311800                      
GPU 6           72.158            0.000        0.000        0.000        198627                      18342                       
GPU 7           71.754            0.000        0.000        0.000        198103                      13102                       
GPU 0           100.398           0.000        0.000        0.000        252109                      53461                       
GPU 1           70.754            0.000        0.000        0.000        509876                      307604                      
GPU 2           70.119            0.000        0.000        0.000        453360                      250003                      
GPU 3           69.602            0.000        0.000        0.000        509881                      301313                      
GPU 4           71.190            0.000        0.000        0.000        252610                      63938                       
GPU 5           72.146            0.000        0.000        0.000        208033                      14672                       
GPU 6           72.164            0.000        0.000        0.000        505736                      302918                      
GPU 7           71.738            0.000        0.000        0.000        501031                      303449                      
GPU 0           100.408           0.000        0.000        0.000        492174                      275701                      
GPU 1           70.795            0.000        0.000        0.000        768763                      302886                      
GPU 2           70.147            0.000        0.000        0.000        497366                      300306                      
GPU 3           69.622            0.000        0.000        0.000        507779                      582211                      
GPU 4           71.181            0.000        0.000        0.000        498916                      300293                      
GPU 5           72.150            0.000        0.000        0.000        505172                      295557                      
GPU 6           72.160            0.000        0.000        0.000        494208                      296105                      
GPU 7           71.746            0.000        0.000        0.000        497868                      299769                      
GPU 0           100.449           0.000        0.000        0.000        713885                      516282                      
GPU 1           70.785            0.000        0.000        0.000        518253                      583778                      
GPU 2           70.122            0.000        0.000        0.000        762562                      586989                      
GPU 3           69.633            0.000        0.000        0.000        773487                      304448                      
GPU 4           71.230            0.000        0.000        0.000        762543                      583306                      
GPU 5           72.163            0.000        0.000        0.000        771309                      590010                      
GPU 6           72.163            0.000        0.000        0.000        769882                      588024                      
GPU 7           71.750            0.000        0.000        0.000        783503                      598502                      
GPU 0           100.352           0.000        0.000        0.000        493224                      276750                      
GPU 1           70.808            0.000        0.000        0.000        517738                      309170                      
GPU 2           70.144            0.000        0.000        0.000        497895                      306074                      
GPU 3           69.622            0.000        0.000        0.000        505143                      307074                      
GPU 4           71.256            0.000        0.000        0.000        492112                      294533                      
GPU 5           72.146            0.000        0.000        0.000        507788                      298174                      
GPU 6           72.160            0.000        0.000        0.000        497342                      299244                      
GPU 7           71.775            0.000        0.000        0.000        490529                      294003                      
GPU 0           100.315           0.000        0.000        0.000        494269                      278321                      
GPU 1           70.765            0.000        0.000        0.000        295555                      309175                      
GPU 2           70.194            0.000        0.000        0.000        490551                      299257                      
GPU 3           69.636            0.000        0.000        0.000        513537                      111619                      
GPU 4           71.218            0.000        0.000        0.000        501533                      302387                      
GPU 5           72.156            0.000        0.000        0.000        507270                      297654                      
GPU 6           72.167            0.000        0.000        0.000        494739                      296634                      
GPU 7           71.801            0.000        0.000        0.000        499978                      301874                      
GPU 0           100.287           0.000        0.000        0.000        533575                      324967                      
GPU 1           70.747            0.000        0.000        0.000        464273                      111619                      
GPU 2           70.190            0.000        0.000        0.000        517177                      337972                      
GPU 3           69.629            0.000        0.000        0.000        295032                      249431                      
GPU 4           71.251            0.000        0.000        0.000        531937                      344842                      
GPU 5           72.149            0.000        0.000        0.000        543942                      346907                      
GPU 6           72.161            0.000        0.000        0.000        484765                      301340                      
GPU 7           71.815            0.000        0.000        0.000        442851                      271999                      
GPU 0           100.274           0.000        0.000        0.000        449194                      235342                      
GPU 1           70.813            0.000        0.000        0.000        510930                      253621                      
GPU 2           70.161            0.000        0.000        0.000        227456                      52933                       
GPU 3           69.623            0.000        0.000        0.000        460086                      302888                      
GPU 4           71.258            0.000        0.000        0.000        434453                      241072                      
GPU 5           72.147            0.000        0.000        0.000        452744                      251000                      
GPU 6           72.172            0.000        0.000        0.000        246844                      58697                       
GPU 7           71.815            0.000        0.000        0.000        292433                      89616                       
GPU 0           100.258           0.000        0.000        0.000        272550                      72214                       
GPU 1           70.823            0.000        0.000        0.000        509355                      308130                      
GPU 2           70.174            0.000        0.000        0.000        467510                      267822                      
GPU 3           69.637            0.000        0.000        0.000        507783                      306558                      
GPU 4           71.339            0.000        0.000        0.000        255229                      69179                       
GPU 5           72.138            0.000        0.000        0.000        256767                      59213                       
GPU 6           72.157            0.000        0.000        0.000        491596                      297683                      
GPU 7           71.785            0.000        0.000        0.000        501549                      306065                      
GPU 0           264.597           0.238        0.048        0.111        4330102                     24561355                    
GPU 1           70.788            0.000        0.000        0.000        510411                      304460                      
GPU 2           70.152            0.000        0.000        0.000        496330                      301886                      
GPU 3           69.656            0.000        0.000        0.000        511454                      304453                      
GPU 4           71.398            0.000        0.000        0.000        490017                      296106                      
GPU 5           72.170            0.000        0.000        0.000        535679                      327812                      
GPU 6           72.217            0.000        0.000        0.000        485815                      294528                      
GPU 7           71.789            0.000        0.000        0.000        499439                      303960                      
GPU 0           568.565           0.905        0.297        0.246        9212539                     52492293                    
GPU 1           70.796            0.000        0.000        0.000        525606                      304989                      
GPU 2           70.091            0.000        0.000        0.000        496839                      302925                      
GPU 3           69.648            0.000        0.000        0.000        508820                      302367                      
GPU 4           71.385            0.000        0.000        0.000        490529                      297147                      
GPU 5           72.181            0.000        0.000        0.000        500972                      296601                      
GPU 6           72.297            0.000        0.000        0.000        489481                      298728                      
GPU 7           71.720            0.000        0.000        0.000        497358                      301873                      
GPU 0           554.577           0.893        0.401        0.194        7891395                     42657028                    
GPU 1           70.814            0.000        0.000        0.000        510393                      316516                      
GPU 2           70.047            0.000        0.000        0.000        500002                      303984                      
GPU 3           69.645            0.000        0.000        0.000        509360                      315421                      
GPU 4           71.348            0.000        0.000        0.000        489492                      293486                      
GPU 5           72.261            0.000        0.000        0.000        506730                      298169                      
GPU 6           72.253            0.000        0.000        0.000        498405                      300292                      
GPU 7           71.718            0.000        0.000        0.000        498930                      301349                      
GPU 0           445.356           0.714        0.193        0.317        9422068                     58037761                    
GPU 1           70.767            0.000        0.000        0.000        440187                      302882                      
GPU 2           70.170            0.000        0.000        0.000        499463                      302403                      
GPU 3           69.603            0.000        0.000        0.000        518716                      244722                      
GPU 4           71.363            0.000        0.000        0.000        532237                      331338                      
GPU 5           72.197            0.000        0.000        0.000        502552                      294509                      
GPU 6           72.281            0.000        0.000        0.000        492641                      299777                      
GPU 7           71.750            0.000        0.000        0.000        494722                      297671                      
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           418.634           0.671        0.077        0.453        14817488                    71145535                    
GPU 1           70.753            0.000        0.000        0.000        269346                      240006                      
GPU 2           70.144            0.000        0.000        0.000        498424                      301360                      
GPU 3           69.636            0.000        0.000        0.000        449618                      75460                       
GPU 4           71.419            0.000        0.000        0.000        500488                      301341                      
GPU 5           72.207            0.000        0.000        0.000        499396                      291358                      
GPU 6           72.224            0.000        0.000        0.000        194429                      296109                      
GPU 7           71.745            0.000        0.000        0.000        493689                      296109                      
GPU 0           423.223           0.673        0.077        0.459        10758201                    69588663                    
GPU 1           70.804            0.000        0.000        0.000        509357                      75983                       
GPU 2           70.055            0.000        0.000        0.000        241612                      62368                       
GPU 3           69.607            0.000        0.000        0.000        276165                      310220                      
