#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           96.932            N/A          N/A          N/A          N/A                         N/A                         
GPU 1           71.027            N/A          N/A          N/A          N/A                         N/A                         
GPU 2           70.032            N/A          N/A          N/A          N/A                         N/A                         
GPU 3           69.961            N/A          N/A          N/A          N/A                         N/A                         
GPU 4           71.541            N/A          N/A          N/A          N/A                         N/A                         
GPU 5           72.719            N/A          N/A          N/A          N/A                         N/A                         
GPU 6           72.416            N/A          N/A          N/A          N/A                         N/A                         
GPU 7           72.265            N/A          N/A          N/A          N/A                         N/A                         
GPU 0           96.816            0.000        0.000        0.000        448131                      226948                      
GPU 1           71.053            0.000        0.000        0.000        314940                      116858                      
GPU 2           70.120            0.000        0.000        0.000        259941                      75466                       
GPU 3           69.978            0.000        0.000        0.000        466399                      250492                      
GPU 4           71.634            0.000        0.000        0.000        459204                      256336                      
GPU 5           72.715            0.000        0.000        0.000        468503                      253641                      
GPU 6           72.462            0.000        0.000        0.000        263096                      74421                       
GPU 7           72.292            0.000        0.000        0.000        499982                      302400                      
GPU 0           96.933            0.000        0.000        0.000        484828                      268883                      
GPU 1           71.057            0.000        0.000        0.000        516669                      307067                      
GPU 2           70.133            0.000        0.000        0.000        510458                      311306                      
GPU 3           69.917            0.000        0.000        0.000        509384                      300285                      
GPU 4           71.582            0.000        0.000        0.000        506264                      308685                      
GPU 5           72.624            0.000        0.000        0.000        512917                      305969                      
GPU 6           72.453            0.000        0.000        0.000        503651                      306593                      
GPU 7           72.233            0.000        0.000        0.000        499457                      302399                      
GPU 0           96.867            0.000        0.000        0.000        485881                      271506                      
GPU 1           71.056            0.000        0.000        0.000        513582                      303957                      
GPU 2           70.094            0.000        0.000        0.000        495257                      299250                      
GPU 3           69.984            0.000        0.000        0.000        514616                      306044                      
GPU 4           71.529            0.000        0.000        0.000        515617                      320886                      
GPU 5           72.732            0.000        0.000        0.000        510955                      302904                      
GPU 6           72.460            0.000        0.000        0.000        491597                      296635                      
GPU 7           72.220            0.000        0.000        0.000        498916                      301865                      
GPU 0           96.870            0.000        0.000        0.000        486406                      270458                      
GPU 1           71.041            0.000        0.000        0.000        511455                      301842                      
GPU 2           70.103            0.000        0.000        0.000        500502                      301874                      
GPU 3           69.899            0.000        0.000        0.000        507284                      303951                      
GPU 4           71.571            0.000        0.000        0.000        500279                      305406                      
GPU 5           72.707            0.000        0.000        0.000        513565                      305519                      
GPU 6           72.453            0.000        0.000        0.000        498932                      301875                      
GPU 7           72.239            0.000        0.000        0.000        501545                      304491                      
GPU 0           96.902            0.000        0.000        0.000        493750                      277800                      
GPU 1           71.116            0.000        0.000        0.000        510935                      303417                      
GPU 2           70.069            0.000        0.000        0.000        501551                      303970                      
GPU 3           69.920            0.000        0.000        0.000        507813                      299762                      
GPU 4           71.625            0.000        0.000        0.000        499451                      301872                      
GPU 5           72.690            0.000        0.000        0.000        507815                      298191                      
GPU 6           72.412            0.000        0.000        0.000        501014                      301342                      
GPU 7           72.209            0.000        0.000        0.000        494708                      296615                      
GPU 0           97.005            0.000        0.000        0.000        492171                      276224                      
GPU 1           71.051            0.000        0.000        0.000        513035                      304467                      
GPU 2           70.087            0.000        0.000        0.000        498398                      301869                      
GPU 3           69.923            0.000        0.000        0.000        511993                      303946                      
GPU 4           71.634            0.000        0.000        0.000        494719                      296097                      
GPU 5           72.765            0.000        0.000        0.000        506765                      297141                      
GPU 6           72.452            0.000        0.000        0.000        494221                      296637                      
GPU 7           72.206            0.000        0.000        0.000        501551                      303970                      
GPU 0           96.980            0.000        0.000        0.000        417879                      205366                      
GPU 1           71.085            0.000        0.000        0.000        244069                      51851                       
GPU 2           70.099            0.000        0.000        0.000        233741                      53980                       
GPU 3           69.984            0.000        0.000        0.000        244208                      51881                       
GPU 4           71.528            0.000        0.000        0.000        231646                      50312                       
GPU 5           72.696            0.000        0.000        0.000        231103                      41399                       
GPU 6           72.496            0.000        0.000        0.000        242104                      64456                       
GPU 7           72.210            0.000        0.000        0.000        198627                      12577                       
GPU 0           96.981            0.000        0.000        0.000        262068                      63420                       
GPU 1           71.022            0.000        0.000        0.000        485878                      275173                      
GPU 2           70.108            0.000        0.000        0.000        464854                      262561                      
GPU 3           69.977            0.000        0.000        0.000        473734                      261497                      
GPU 4           71.606            0.000        0.000        0.000        462767                      259946                      
GPU 5           72.682            0.000        0.000        0.000        481082                      265695                      
GPU 6           72.534            0.000        0.000        0.000        449148                      244227                      
GPU 7           72.275            0.000        0.000        0.000        499443                      300819                      
GPU 0           96.855            0.000        0.000        0.000        491645                      275698                      
GPU 1           71.016            0.000        0.000        0.000        511987                      304467                      
GPU 2           70.092            0.000        0.000        0.000        499975                      303968                      
GPU 3           69.975            0.000        0.000        0.000        509792                      302836                      
GPU 4           71.562            0.000        0.000        0.000        496294                      298196                      
GPU 5           72.719            0.000        0.000        0.000        509873                      304981                      
GPU 6           72.436            0.000        0.000        0.000        498940                      300307                      
GPU 7           72.266            0.000        0.000        0.000        501020                      302394                      
GPU 0           96.906            0.000        0.000        0.000        492691                      276221                      
GPU 1           71.140            0.000        0.000        0.000        513026                      303938                      
GPU 2           70.090            0.000        0.000        0.000        497877                      300823                      
GPU 3           69.963            0.000        0.000        0.000        505190                      300284                      
GPU 4           71.563            0.000        0.000        0.000        494731                      296629                      
GPU 5           72.783            0.000        0.000        0.000        505712                      298710                      
GPU 6           72.420            0.000        0.000        0.000        496838                      298207                      
