#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           101.651           N/A          N/A          N/A          N/A                         N/A                         
GPU 1           70.908            N/A          N/A          N/A          N/A                         N/A                         
GPU 2           69.897            N/A          N/A          N/A          N/A                         N/A                         
GPU 3           69.686            N/A          N/A          N/A          N/A                         N/A                         
GPU 4           71.250            N/A          N/A          N/A          N/A                         N/A                         
GPU 5           72.311            N/A          N/A          N/A          N/A                         N/A                         
GPU 6           72.147            N/A          N/A          N/A          N/A                         N/A                         
GPU 7           71.799            N/A          N/A          N/A          N/A                         N/A                         
GPU 0           101.539           0.000        0.000        0.000        496357                      279889                      
GPU 1           70.875            0.000        0.000        0.000        510958                      303430                      
GPU 2           69.830            0.000        0.000        0.000        501029                      306592                      
GPU 3           69.656            0.000        0.000        0.000        510934                      303416                      
GPU 4           71.273            0.000        0.000        0.000        502070                      303443                      
GPU 5           72.298            0.000        0.000        0.000        510420                      300277                      
GPU 6           72.160            0.000        0.000        0.000        494738                      302398                      
GPU 7           71.836            0.000        0.000        0.000        501018                      302917                      
GPU 0           101.439           0.000        0.000        0.000        494273                      278323                      
GPU 1           70.877            0.000        0.000        0.000        510429                      302903                      
GPU 2           69.809            0.000        0.000        0.000        500488                      303961                      
GPU 3           69.647            0.000        0.000        0.000        511978                      303938                      
GPU 4           71.254            0.000        0.000        0.000        486852                      292425                      
GPU 5           72.346            0.000        0.000        0.000        508326                      299755                      
GPU 6           72.165            0.000        0.000        0.000        491581                      298722                      
GPU 7           71.814            0.000        0.000        0.000        491033                      293991                      
GPU 0           101.367           0.000        0.000        0.000        3764859                     77571                       
GPU 1           70.871            0.000        0.000        0.000        243687                      50833                       
GPU 2           69.820            0.000        0.000        0.000        234267                      55029                       
GPU 3           69.658            0.000        0.000        0.000        242625                      49782                       
GPU 4           71.229            0.000        0.000        0.000        198627                      19915                       
GPU 5           72.358            0.000        0.000        0.000        210138                      22009                       
GPU 6           72.161            0.000        0.000        0.000        198620                      13101                       
GPU 7           71.839            0.000        0.000        0.000        244750                      67607                       
GPU 0           101.310           0.000        0.000        0.000        718090                      522581                      
GPU 1           70.864            0.000        0.000        0.000        755686                      570695                      
GPU 2           69.783            0.000        0.000        0.000        739489                      563395                      
GPU 3           69.662            0.000        0.000        0.000        746222                      562287                      
GPU 4           71.206            0.000        0.000        0.000        768288                      594296                      
GPU 5           72.321            0.000        0.000        0.000        786595                      597414                      
GPU 6           72.155            0.000        0.000        0.000        768850                      601139                      
GPU 7           71.831            0.000        0.000        0.000        732658                      552376                      
GPU 0           101.236           0.000        0.000        0.000        498462                      281990                      
GPU 1           70.853            0.000        0.000        0.000        501505                      297130                      
GPU 2           69.790            0.000        0.000        0.000        503112                      307108                      
GPU 3           69.666            0.000        0.000        0.000        510410                      305512                      
GPU 4           71.221            0.000        0.000        0.000        498388                      304483                      
GPU 5           72.320            0.000        0.000        0.000        508854                      303949                      
GPU 6           72.155            0.000        0.000        0.000        499995                      305552                      
GPU 7           71.833            0.000        0.000        0.000        507845                      312883                      
GPU 0           101.222           0.000        0.000        0.000        528856                      321297                      
GPU 1           70.845            0.000        0.000        0.000        542400                      344306                      
GPU 2           69.768            0.000        0.000        0.000        541900                      352706                      
GPU 3           69.652            0.000        0.000        0.000        542376                      343767                      
GPU 4           71.191            0.000        0.000        0.000        551334                      363189                      
GPU 5           72.297            0.000        0.000        0.000        547617                      349531                      
GPU 6           72.166            0.000        0.000        0.000        537190                      351139                      
GPU 7           71.830            0.000        0.000        0.000        529786                      344806                      
GPU 0           101.209           0.000        0.000        0.000        498463                      282515                      
GPU 1           70.870            0.000        0.000        0.000        505175                      300275                      
GPU 2           69.787            0.000        0.000        0.000        487360                      296084                      
GPU 3           69.650            0.000        0.000        0.000        514065                      307600                      
GPU 4           71.206            0.000        0.000        0.000        498391                      304485                      
GPU 5           72.366            0.000        0.000        0.000        508325                      303423                      
GPU 6           72.160            0.000        0.000        0.000        494754                      300836                      
GPU 7           71.844            0.000        0.000        0.000        503652                      308166                      
GPU 0           101.158           0.000        0.000        0.000        490070                      273600                      
GPU 1           70.876            0.000        0.000        0.000        509387                      303431                      
GPU 2           69.858            0.000        0.000        0.000        495781                      299775                      
GPU 3           69.666            0.000        0.000        0.000        514604                      307610                      
GPU 4           71.284            0.000        0.000        0.000        503643                      307636                      
GPU 5           72.373            0.000        0.000        0.000        515126                      307608                      
GPU 6           72.138            0.000        0.000        0.000        501026                      305018                      
GPU 7           71.844            0.000        0.000        0.000        499957                      303433                      
GPU 0           101.122           0.000        0.000        0.000        495319                      279370                      
GPU 1           70.888            0.000        0.000        0.000        501513                      296610                      
GPU 2           69.849            0.000        0.000        0.000        492640                      299252                      
GPU 3           69.665            0.000        0.000        0.000        504111                      298693                      
GPU 4           71.229            0.000        0.000        0.000        511349                      326404                      
GPU 5           72.313            0.000        0.000        0.000        516189                      310238                      
GPU 6           72.157            0.000        0.000        0.000        500517                      307123                      
GPU 7           71.840            0.000        0.000        0.000        494732                      300822                      
GPU 0           101.021           0.000        0.000        0.000        448144                      263120                      
GPU 1           70.850            0.000        0.000        0.000        448598                      243689                      
GPU 2           69.828            0.000        0.000        0.000        447030                      256269                      
GPU 3           69.662            0.000        0.000        0.000        447528                      243677                      
GPU 4           71.273            0.000        0.000        0.000        441267                      247885                      
GPU 5           72.388            0.000        0.000        0.000        453829                      251021                      
GPU 6           72.177            0.000        0.000        0.000        246325                      67608                       
GPU 7           71.863            0.000        0.000        0.000        520914                      328254                      
GPU 0           228.182           0.357        0.017        0.219        8001627                     56097862                    
GPU 1           70.861            0.000        0.000        0.000        274604                      75987                       
GPU 2           69.891            0.000        0.000        0.000        255708                      66023                       
GPU 3           69.744            0.000        0.000        0.000        275116                      75984                       
GPU 4           71.261            0.000        0.000        0.000        255230                      70227                       
GPU 5           72.343            0.000        0.000        0.000        267783                      69172                       
GPU 6           72.181            0.000        0.000        0.000        460682                      258904                      
GPU 7           71.944            0.000        0.000        0.000        199678                      17819                       
GPU 0           236.718           0.388        0.018        0.237        8621139                     57338701                    
GPU 1           70.868            0.000        0.000        0.000        520903                      310760                      
GPU 2           69.918            0.000        0.000        0.000        496899                      300341                      
GPU 3           69.724            0.000        0.000        0.000        513019                      304981                      
GPU 4           71.329            0.000        0.000        0.000        495771                      298196                      
GPU 5           72.358            0.000        0.000        0.000        506126                      302313                      
GPU 6           72.181            0.000        0.000        0.000        498416                      299783                      
GPU 7           71.920            0.000        0.000        0.000        496313                      294014                      
GPU 0           237.124           0.381        0.018        0.236        8445335                     56264328                    
GPU 1           70.896            0.000        0.000        0.000        509386                      301858                      
GPU 2           69.897            0.000        0.000        0.000        496309                      299777                      
GPU 3           69.691            0.000        0.000        0.000        508835                      301318                      
GPU 4           71.233            0.000        0.000        0.000        482385                      292783                      
