#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           96.828            N/A          N/A          N/A          N/A                         N/A                         
GPU 1           97.850            N/A          N/A          N/A          N/A                         N/A                         
GPU 2           70.218            N/A          N/A          N/A          N/A                         N/A                         
GPU 3           70.152            N/A          N/A          N/A          N/A                         N/A                         
GPU 4           71.642            N/A          N/A          N/A          N/A                         N/A                         
GPU 5           72.622            N/A          N/A          N/A          N/A                         N/A                         
GPU 6           72.650            N/A          N/A          N/A          N/A                         N/A                         
GPU 7           72.070            N/A          N/A          N/A          N/A                         N/A                         
GPU 0           96.925            0.000        0.000        0.000        465964                      244251                      
GPU 1           97.866            0.000        0.000        0.000        457606                      244790                      
GPU 2           70.270            0.000        0.000        0.000        442861                      239511                      
GPU 3           70.157            0.000        0.000        0.000        474254                      259398                      
GPU 4           71.662            0.000        0.000        0.000        250512                      61841                       
GPU 5           72.646            0.000        0.000        0.000        471109                      255730                      
GPU 6           72.675            0.000        0.000        0.000        500490                      295053                      
GPU 7           72.241            0.000        0.000        0.000        501028                      296633                      
GPU 0           96.799            0.000        0.000        0.000        499517                      283566                      
GPU 1           97.887            0.000        0.000        0.000        486952                      282002                      
GPU 2           70.268            0.000        0.000        0.000        499446                      303441                      
GPU 3           70.155            0.000        0.000        0.000        509801                      303890                      
GPU 4           71.669            0.000        0.000        0.000        491056                      295053                      
GPU 5           72.632            0.000        0.000        0.000        507296                      299766                      
GPU 6           72.686            0.000        0.000        0.000        498396                      299771                      
GPU 7           72.258            0.000        0.000        0.000        496823                      299770                      
GPU 0           96.812            0.000        0.000        0.000        496369                      279895                      
GPU 1           97.874            0.000        0.000        0.000        485909                      280957                      
GPU 2           70.263            0.000        0.000        0.000        503123                      309735                      
GPU 3           70.157            0.000        0.000        0.000        506196                      301831                      
GPU 4           71.662            0.000        0.000        0.000        496305                      298202                      
GPU 5           72.616            0.000        0.000        0.000        506209                      297122                      
GPU 6           72.691            0.000        0.000        0.000        497343                      299768                      
GPU 7           72.215            0.000        0.000        0.000        501007                      310247                      
GPU 0           96.785            0.000        0.000        0.000        714423                      516293                      
GPU 1           97.887            0.000        0.000        0.000        705004                      517352                      
GPU 2           70.266            0.000        0.000        0.000        765169                      589599                      
GPU 3           70.151            0.000        0.000        0.000        777149                      587447                      
GPU 4           71.701            0.000        0.000        0.000        757821                      576489                      
GPU 5           72.639            0.000        0.000        0.000        767686                      579039                      
GPU 6           72.695            0.000        0.000        0.000        758346                      577538                      
GPU 7           72.297            0.000        0.000        0.000        740453                      569095                      
GPU 0           96.833            0.000        0.000        0.000        495324                      278849                      
GPU 1           97.886            0.000        0.000        0.000        488004                      282529                      
GPU 2           70.270            0.000        0.000        0.000        512014                      318109                      
GPU 3           70.155            0.000        0.000        0.000        514074                      305509                      
GPU 4           71.677            0.000        0.000        0.000        501932                      303884                      
GPU 5           72.658            0.000        0.000        0.000        508833                      299745                      
GPU 6           72.663            0.000        0.000        0.000        493690                      296633                      
GPU 7           72.244            0.000        0.000        0.000        499455                      300826                      
GPU 0           96.867            0.000        0.000        0.000        449193                      237438                      
GPU 1           97.885            0.000        0.000        0.000        440306                      240595                      
GPU 2           70.270            0.000        0.000        0.000        504172                      306591                      
GPU 3           70.157            0.000        0.000        0.000        455906                      254679                      
GPU 4           71.667            0.000        0.000        0.000        509403                      311302                      
GPU 5           72.628            0.000        0.000        0.000        513543                      302361                      
GPU 6           72.705            0.000        0.000        0.000        242118                      67604                       
GPU 7           72.219            0.000        0.000        0.000        242652                      66559                       
GPU 0           96.878            0.000        0.000        0.000        256310                      237438                      
GPU 1           97.879            0.000        0.000        0.000        245312                      54513                       
GPU 2           70.270            0.000        0.000        0.000        199148                      306591                      
GPU 3           70.159            0.000        0.000        0.000        455906                      63931                       
GPU 4           71.667            0.000        0.000        0.000        232163                      52931                       
GPU 5           72.628            0.000        0.000        0.000        513543                      15196                       
GPU 6           72.705            0.000        0.000        0.000        454381                      245795                      
GPU 7           72.219            0.000        0.000        0.000        432603                      66559                       
GPU 0           96.777            0.000        0.000        0.000        526242                      316583                      
GPU 1           97.889            0.000        0.000        0.000        514216                      315553                      
GPU 2           70.269            0.000        0.000        0.000        548722                      355857                      
GPU 3           70.158            0.000        0.000        0.000        553401                      350592                      
GPU 4           71.668            0.000        0.000        0.000        509409                      308161                      
GPU 5           72.631            0.000        0.000        0.000        543410                      340613                      
GPU 6           72.682            0.000        0.000        0.000        534522                      350583                      
GPU 7           72.241            0.000        0.000        0.000        561939                      363950                      
