#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           96.812            0.000        0.000        0.000        494798                      278326                      
GPU 1           71.117            0.000        0.000        0.000        518260                      304460                      
GPU 2           70.289            0.000        0.000        0.000        498398                      302917                      
GPU 3           70.165            0.000        0.000        0.000        512509                      245780                      
GPU 4           71.698            0.000        0.000        0.000        500492                      301867                      
GPU 5           72.540            0.000        0.000        0.000        510951                      297653                      
GPU 6           72.308            0.000        0.000        0.000        495765                      300300                      
GPU 7           72.168            0.000        0.000        0.000        493682                      296628                      
GPU 0           96.784            0.000        0.000        0.000        238489                      278848                      
GPU 1           71.029            0.000        0.000        0.000        243080                      310222                      
GPU 2           70.330            0.000        0.000        0.000        498408                      302399                      
GPU 3           70.192            0.000        0.000        0.000        453306                      75462                       
GPU 4           71.695            0.000        0.000        0.000        502071                      303443                      
GPU 5           72.556            0.000        0.000        0.000        506220                      52929                       
GPU 6           72.297            0.000        0.000        0.000        245241                      298193                      
GPU 7           72.217            0.000        0.000        0.000        493691                      298206                      
GPU 0           96.777            0.000        0.000        0.000        453910                      45077                       
GPU 1           71.011            0.000        0.000        0.000        475809                      50816                       
GPU 2           70.305            0.000        0.000        0.000        496792                      304468                      
GPU 3           70.188            0.000        0.000        0.000        273028                      300288                      
GPU 4           71.689            0.000        0.000        0.000        437594                      244214                      
GPU 5           72.571            0.000        0.000        0.000        245256                      262016                      
GPU 6           72.365            0.000        0.000        0.000        460132                      68122                       
GPU 7           72.232            0.000        0.000        0.000        198098                      13101                       
GPU 0           96.818            0.000        0.000        0.000        481698                      234293                      
GPU 1           70.982            0.000        0.000        0.000        507251                      262533                      
GPU 2           70.323            0.000        0.000        0.000        196533                      14150                       
GPU 3           70.215            0.000        0.000        0.000        509913                      299759                      
GPU 4           71.686            0.000        0.000        0.000        265711                      75992                       
GPU 5           72.541            0.000        0.000        0.000        474774                      301856                      
GPU 6           72.347            0.000        0.000        0.000        502591                      254173                      
GPU 7           72.225            0.000        0.000        0.000        501552                      303971                      
GPU 0           96.715            0.000        0.000        0.000        484318                      266270                      
GPU 1           70.991            0.000        0.000        0.000        514070                      297119                      
GPU 2           70.270            0.000        0.000        0.000        498935                      300828                      
GPU 3           70.174            0.000        0.000        0.000        509905                      300266                      
GPU 4           71.666            0.000        0.000        0.000        502594                      304491                      
GPU 5           72.558            0.000        0.000        0.000        509382                      308668                      
GPU 6           72.343            0.000        0.000        0.000        504166                      305013                      
GPU 7           72.189            0.000        0.000        0.000        497343                      300292                      
GPU 0           96.738            0.000        0.000        0.000        483782                      267843                      
GPU 1           71.023            0.000        0.000        0.000        511978                      303411                      
GPU 2           70.297            0.000        0.000        0.000        496301                      298200                      
GPU 3           70.161            0.000        0.000        0.000        509352                      301837                      
GPU 4           71.686            0.000        0.000        0.000        508352                      305014                      
GPU 5           72.540            0.000        0.000        0.000        516718                      307087                      
GPU 6           72.329            0.000        0.000        0.000        498388                      306063                      
GPU 7           72.265            0.000        0.000        0.000        499878                      310197                      
GPU 0           96.753            0.000        0.000        0.000        494806                      268360                      
GPU 1           70.971            0.000        0.000        0.000        508811                      301318                      
GPU 2           70.299            0.000        0.000        0.000        494728                      301344                      
GPU 3           70.164            0.000        0.000        0.000        511447                      304455                      
GPU 4           71.677            0.000        0.000        0.000        502591                      300815                      
GPU 5           72.611            0.000        0.000        0.000        515131                      300280                      
GPU 6           72.317            0.000        0.000        0.000        496832                      301338                      
GPU 7           72.202            0.000        0.000        0.000        496313                      299255                      
GPU 0           96.704            0.000        0.000        0.000        449196                      278328                      
GPU 1           71.062            0.000        0.000        0.000        512500                      303400                      
GPU 2           70.292            0.000        0.000        0.000        501543                      310778                      
GPU 3           70.155            0.000        0.000        0.000        512492                      64981                       
GPU 4           71.718            0.000        0.000        0.000        499438                      300823                      
GPU 5           72.530            0.000        0.000        0.000        509900                      300801                      
GPU 6           72.331            0.000        0.000        0.000        500492                      299252                      
GPU 7           72.183            0.000        0.000        0.000        505200                      306054                      
GPU 0           96.949            0.000        0.000        0.000        256312                      240060                      
GPU 1           71.006            0.000        0.000        0.000        210131                      305509                      
GPU 2           70.262            0.000        0.000        0.000        506793                      309211                      
GPU 3           70.205            0.000        0.000        0.000        255734                      257822                      
GPU 4           71.678            0.000        0.000        0.000        499975                      64461                       
GPU 5           72.497            0.000        0.000        0.000        509895                      13101                       
GPU 6           72.334            0.000        0.000        0.000        231642                      301867                      
GPU 7           72.237            0.000        0.000        0.000        242126                      67606                       
GPU 0           96.807            0.000        0.000        0.000        493230                      52415                       
GPU 1           70.978            0.000        0.000        0.000        511449                      13624                       
GPU 2           70.298            0.000        0.000        0.000        449143                      251038                      
GPU 3           70.179            0.000        0.000        0.000        472674                      302367                      
GPU 4           71.685            0.000        0.000        0.000        243173                      253126                      
GPU 5           72.474            0.000        0.000        0.000        210144                      305519                      
GPU 6           72.334            0.000        0.000        0.000        462240                      51883                       
GPU 7           72.213            0.000        0.000        0.000        457502                      247879                      
GPU 0           96.847            0.000        0.000        0.000        493748                      277278                      
GPU 1           70.983            0.000        0.000        0.000        510402                      309699                      
GPU 2           70.289            0.000        0.000        0.000        263611                      77039                       
GPU 3           70.179            0.000        0.000        0.000        509885                      305513                      
GPU 4           71.660            0.000        0.000        0.000        459086                      296627                      
GPU 5           72.512            0.000        0.000        0.000        516185                      295556                      
GPU 6           72.341            0.000        0.000        0.000        495243                      258372                      
GPU 7           72.321            0.000        0.000        0.000        498943                      301357                      
GPU 0           96.958            0.000        0.000        0.000        495851                      277798                      
GPU 1           70.999            0.000        0.000        0.000        522972                      302887                      
GPU 2           70.321            0.000        0.000        0.000        501027                      304494                      
GPU 3           70.169            0.000        0.000        0.000        514080                      300269                      
GPU 4           71.688            0.000        0.000        0.000        486342                      293480                      
GPU 5           72.534            0.000        0.000        0.000        503599                      293471                      
GPU 6           72.326            0.000        0.000        0.000        492116                      297670                      
GPU 7           72.267            0.000        0.000        0.000        502071                      302919                      
GPU 0           96.989            0.000        0.000        0.000        496367                      279375                      
GPU 1           71.054            0.000        0.000        0.000        509886                      313888                      
GPU 2           70.276            0.000        0.000        0.000        499446                      303441                      
GPU 3           70.159            0.000        0.000        0.000        507261                      309713                      
GPU 4           71.688            0.000        0.000        0.000        490007                      300823                      
GPU 5           72.609            0.000        0.000        0.000        500472                      301325                      
GPU 6           72.283            0.000        0.000        0.000        496823                      295584                      
GPU 7           72.220            0.000        0.000        0.000        498394                      299770                      
GPU 0           96.908            0.000        0.000        0.000        494805                      280418                      
GPU 1           70.978            0.000        0.000        0.000        514586                      302368                      
GPU 2           70.279            0.000        0.000        0.000        504696                      305017                      
GPU 3           70.153            0.000        0.000        0.000        518284                      303939                      
GPU 4           71.677            0.000        0.000        0.000        498926                      300827                      
GPU 5           72.536            0.000        0.000        0.000        509895                      295564                      
GPU 6           72.363            0.000        0.000        0.000        495254                      298722                      
GPU 7           72.150            0.000        0.000        0.000        504632                      297679                      
GPU 0           96.788            0.000        0.000        0.000        448674                      280424                      
GPU 1           70.993            0.000        0.000        0.000        461665                      259915                      
GPU 2           70.329            0.000        0.000        0.000        495774                      308687                      
GPU 3           70.181            0.000        0.000        0.000        511456                      52402                       
GPU 4           71.687            0.000        0.000        0.000        497867                      299768                      
GPU 5           72.492            0.000        0.000        0.000        503088                      296615                      
GPU 6           72.343            0.000        0.000        0.000        497878                      299251                      
GPU 7           72.236            0.000        0.000        0.000        242652                      305504                      
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           96.937            0.000        0.000        0.000        256308                      55035                       
GPU 1           70.981            0.000        0.000        0.000        266205                      63931                       
GPU 2           70.314            0.000        0.000        0.000        436563                      240555                      
GPU 3           70.175            0.000        0.000        0.000        477914                      264634                      
GPU 4           71.688            0.000        0.000        0.000        244221                      63413                       
GPU 5           72.617            0.000        0.000        0.000        504665                      14149                       
GPU 6           72.323            0.000        0.000        0.000        198622                      22534                       
GPU 7           72.255            0.000        0.000        0.000        448619                      66559                       
GPU 0           96.901            0.000        0.000        0.000        494802                      279374                      
GPU 1           70.977            0.000        0.000        0.000        518251                      310217                      
GPU 2           70.292            0.000        0.000        0.000        263611                      78087                       
GPU 3           70.169            0.000        0.000        0.000        524560                      313898                      
GPU 4           71.667            0.000        0.000        0.000        448608                      246315                      
GPU 5           72.548            0.000        0.000        0.000        209615                      306570                      
GPU 6           72.359            0.000        0.000        0.000        496834                      289296                      
GPU 7           72.259            0.000        0.000        0.000        505733                      242128                      
