#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           96.905            N/A          N/A          N/A          N/A                         N/A                         
GPU 1           98.206            N/A          N/A          N/A          N/A                         N/A                         
GPU 2           98.938            N/A          N/A          N/A          N/A                         N/A                         
GPU 3           96.932            N/A          N/A          N/A          N/A                         N/A                         
GPU 4           97.445            N/A          N/A          N/A          N/A                         N/A                         
GPU 5           98.585            N/A          N/A          N/A          N/A                         N/A                         
GPU 6           100.006           N/A          N/A          N/A          N/A                         N/A                         
GPU 7           101.477           N/A          N/A          N/A          N/A                         N/A                         
GPU 0           96.819            0.000        0.000        0.000        487455                      270459                      
GPU 1           98.205            0.000        0.000        0.000        478567                      272568                      
GPU 2           98.998            0.000        0.000        0.000        484330                      272042                      
GPU 3           96.871            0.000        0.000        0.000        487985                      271510                      
GPU 4           97.489            0.000        0.000        0.000        495841                      282514                      
GPU 5           98.601            0.000        0.000        0.000        493231                      284616                      
GPU 6           100.015           0.000        0.000        0.000        492641                      281434                      
GPU 7           101.465           0.000        0.000        0.000        490611                      279376                      
GPU 0           96.914            0.000        0.000        0.000        485353                      268883                      
GPU 1           98.258            0.000        0.000        0.000        479087                      272566                      
GPU 2           98.848            0.000        0.000        0.000        488513                      277278                      
GPU 3           96.999            0.000        0.000        0.000        486407                      270459                      
GPU 4           97.540            0.000        0.000        0.000        497423                      284616                      
GPU 5           98.596            0.000        0.000        0.000        484835                      279894                      
GPU 6           100.068           0.000        0.000        0.000        492182                      280947                      
GPU 7           101.331           0.000        0.000        0.000        490600                      277797                      
GPU 0           96.914            0.000        0.000        0.000        407404                      268883                      
GPU 1           98.152            0.000        0.000        0.000        415667                      272566                      
GPU 2           98.848            0.000        0.000        0.000        405511                      277278                      
GPU 3           96.999            0.000        0.000        0.000        486407                      197271                      
GPU 4           97.540            0.000        0.000        0.000        497423                      54796                       
GPU 5           98.596            0.000        0.000        0.000        484835                      55752                       
GPU 6           100.068           0.000        0.000        0.000        242160                      280947                      
GPU 7           101.331           0.000        0.000        0.000        241113                      277797                      
GPU 0           97.002            0.000        0.000        0.000        487458                      307151                      
GPU 1           98.185            0.000        0.000        0.000        480664                      315550                      
GPU 2           98.985            0.000        0.000        0.000        491660                      313971                      
GPU 3           96.880            0.000        0.000        0.000        520077                      343029                      
GPU 4           97.517            0.000        0.000        0.000        677623                      477952                      
GPU 5           98.592            0.000        0.000        0.000        670933                      472798                      
GPU 6           100.047           0.000        0.000        0.000        684540                      483790                      
GPU 7           101.392           0.000        0.000        0.000        682460                      478560                      
GPU 0           96.829            0.000        0.000        0.000        481692                      264694                      
GPU 1           98.239            0.000        0.000        0.000        477512                      272564                      
GPU 2           98.938            0.000        0.000        0.000        486418                      273610                      
GPU 3           96.949            0.000        0.000        0.000        485883                      269411                      
GPU 4           97.501            0.000        0.000        0.000        493746                      280942                      
GPU 5           98.575            0.000        0.000        0.000        481186                      276236                      
GPU 6           100.062           0.000        0.000        0.000        489569                      279379                      
GPU 7           101.411           0.000        0.000        0.000        491644                      277794                      
GPU 0           96.983            0.000        0.000        0.000        483264                      266791                      
GPU 1           98.216            0.000        0.000        0.000        476470                      270996                      
GPU 2           99.024            0.000        0.000        0.000        483805                      270993                      
GPU 3           96.910            0.000        0.000        0.000        486938                      270987                      
GPU 4           97.574            0.000        0.000        0.000        489562                      280424                      
GPU 5           98.574            0.000        0.000        0.000        486425                      279379                      
GPU 6           100.053           0.000        0.000        0.000        494275                      281469                      
GPU 7           101.443           0.000        0.000        0.000        486950                      276759                      
GPU 0           97.016            0.000        0.000        0.000        524145                      312914                      
GPU 1           98.164            0.000        0.000        0.000        440292                      237967                      
GPU 2           98.985            0.000        0.000        0.000        519966                      316592                      
GPU 3           96.932            0.000        0.000        0.000        442902                      228527                      
GPU 4           97.498            0.000        0.000        0.000        492705                      286188                      
GPU 5           98.572            0.000        0.000        0.000        515260                      316599                      
GPU 6           100.028           0.000        0.000        0.000        430331                      220669                      
GPU 7           101.352           0.000        0.000        0.000        495843                      280419                      
GPU 0           97.016            0.000        0.000        0.000        237435                      312914                      
GPU 1           98.102            0.000        0.000        0.000        280951                      237967                      
GPU 2           98.985            0.000        0.000        0.000        234821                      316592                      
GPU 3           96.932            0.000        0.000        0.000        442902                      104304                      
GPU 4           97.498            0.000        0.000        0.000        492705                      84817                       
GPU 5           98.572            0.000        0.000        0.000        515260                      20966                       
GPU 6           100.028           0.000        0.000        0.000        299815                      220669                      
GPU 7           101.352           0.000        0.000        0.000        265891                      280419                      
GPU 0           96.914            0.000        0.000        0.000        454957                      236389                      
GPU 1           98.198            0.000        0.000        0.000        474898                      269947                      
GPU 2           98.941            0.000        0.000        0.000        454446                      242161                      
GPU 3           96.923            0.000        0.000        0.000        489033                      270986                      
