#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           97.203            N/A          N/A          N/A          N/A                         N/A                         
GPU 1           98.286            N/A          N/A          N/A          N/A                         N/A                         
GPU 2           98.920            N/A          N/A          N/A          N/A                         N/A                         
GPU 3           97.476            N/A          N/A          N/A          N/A                         N/A                         
GPU 4           98.373            N/A          N/A          N/A          N/A                         N/A                         
GPU 5           98.736            N/A          N/A          N/A          N/A                         N/A                         
GPU 6           99.565            N/A          N/A          N/A          N/A                         N/A                         
GPU 7           101.643           N/A          N/A          N/A          N/A                         N/A                         
GPU 0           97.159            0.000        0.000        0.000        489565                      273087                      
GPU 1           98.245            0.000        0.000        0.000        486960                      279386                      
GPU 2           98.958            0.000        0.000        0.000        491142                      281476                      
GPU 3           97.440            0.000        0.000        0.000        494280                      278327                      
GPU 4           98.438            0.000        0.000        0.000        499524                      289336                      
GPU 5           98.740            0.000        0.000        0.000        490094                      286193                      
GPU 6           99.554            0.000        0.000        0.000        500048                      289336                      
GPU 7           101.603           0.000        0.000        0.000        496911                      285147                      
GPU 0           97.260            0.000        0.000        0.000        496898                      279374                      
GPU 1           98.333            0.000        0.000        0.000        501106                      293011                      
GPU 2           99.145            0.000        0.000        0.000        480639                      275175                      
GPU 3           97.439            0.000        0.000        0.000        557174                      334409                      
GPU 4           98.411            0.000        0.000        0.000        548271                      327075                      
GPU 5           98.748            0.000        0.000        0.000        539359                      323930                      
GPU 6           99.557            0.000        0.000        0.000        495839                      278320                      
GPU 7           101.626           0.000        0.000        0.000        552466                      330745                      
GPU 0           97.260            0.000        0.000        0.000        288285                      279374                      
GPU 1           98.260            0.000        0.000        0.000        247416                      293011                      
GPU 2           99.145            0.000        0.000        0.000        257777                      275175                      
GPU 3           97.498            0.000        0.000        0.000        557174                      18869                       
GPU 4           98.411            0.000        0.000        0.000        240158                      54798                       
GPU 5           98.748            0.000        0.000        0.000        539359                      19918                       
GPU 6           99.557            0.000        0.000        0.000        253498                      63374                       
GPU 7           101.626           0.000        0.000        0.000        238730                      330745                      
GPU 0           96.952            0.000        0.000        0.000        466489                      247921                      
GPU 1           98.321            0.000        0.000        0.000        488538                      281486                      
GPU 2           98.925            0.000        0.000        0.000        502140                      283043                      
GPU 3           97.477            0.000        0.000        0.000        493751                      272559                      
GPU 4           98.418            0.000        0.000        0.000        447637                      229584                      
GPU 5           98.753            0.000        0.000        0.000        471679                      260471                      
GPU 6           99.629            0.000        0.000        0.000        517748                      297021                      
GPU 7           101.648           0.000        0.000        0.000        472341                      253934                      
GPU 0           96.906            0.000        0.000        0.000        483798                      266796                      
GPU 1           98.331            0.000        0.000        0.000        477480                      271498                      
GPU 2           98.976            0.000        0.000        0.000        483794                      273084                      
GPU 3           97.421            0.000        0.000        0.000        490078                      273081                      
GPU 4           98.396            0.000        0.000        0.000        495341                      284100                      
GPU 5           98.766            0.000        0.000        0.000        487872                      279308                      
GPU 6           99.558            0.000        0.000        0.000        494796                      283040                      
GPU 7           101.595           0.000        0.000        0.000        492712                      279902                      
GPU 0           96.912            0.000        0.000        0.000        506196                      272486                      
GPU 1           98.239            0.000        0.000        0.000        483848                      274687                      
GPU 2           98.783            0.000        0.000        0.000        489049                      277285                      
GPU 3           97.497            0.000        0.000        0.000        493231                      280947                      
GPU 4           98.404            0.000        0.000        0.000        494797                      282516                      
GPU 5           98.766            0.000        0.000        0.000        487989                      279375                      
GPU 6           99.590            0.000        0.000        0.000        494806                      284094                      
GPU 7           101.629           0.000        0.000        0.000        490097                      277285                      
GPU 0           97.088            0.000        0.000        0.000        437667                      227482                      
GPU 1           98.321            0.000        0.000        0.000        396267                      190271                      
GPU 2           98.941            0.000        0.000        0.000        436103                      221720                      
GPU 3           97.631            0.000        0.000        0.000        424032                      208609                      
GPU 4           98.326            0.000        0.000        0.000        442912                      234298                      
GPU 5           98.802            0.000        0.000        0.000        236925                      60803                       
GPU 6           99.588            0.000        0.000        0.000        234815                      49269                       
GPU 7           101.594           0.000        0.000        0.000        310650                      120543                      
GPU 0           97.032            0.000        0.000        0.000        255786                      52415                       
GPU 1           98.283            0.000        0.000        0.000        286196                      96447                       
GPU 2           98.981            0.000        0.000        0.000        259458                      67092                       
GPU 3           97.486            0.000        0.000        0.000        272557                      75477                       
GPU 4           98.368            0.000        0.000        0.000        262598                      63946                       
GPU 5           98.740            0.000        0.000        0.000        448685                      232204                      
GPU 6           99.552            0.000        0.000        0.000        462822                      247397                      
GPU 7           101.616           0.000        0.000        0.000        396038                      175887                      
GPU 0           97.149            0.000        0.000        0.000        487461                      268890                      
GPU 1           98.339            0.000        0.000        0.000        480140                      272044                      
GPU 2           99.027            0.000        0.000        0.000        484840                      273607                      
GPU 3           97.457            0.000        0.000        0.000        487989                      272037                      
GPU 4           98.429            0.000        0.000        0.000        479069                      278321                      
GPU 5           98.781            0.000        0.000        0.000        485897                      280426                      
