#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           96.954            N/A          N/A          N/A          N/A                         N/A                         
GPU 1           98.272            N/A          N/A          N/A          N/A                         N/A                         
GPU 2           99.105            N/A          N/A          N/A          N/A                         N/A                         
GPU 3           97.506            N/A          N/A          N/A          N/A                         N/A                         
GPU 4           98.388            N/A          N/A          N/A          N/A                         N/A                         
GPU 5           98.708            N/A          N/A          N/A          N/A                         N/A                         
GPU 6           99.580            N/A          N/A          N/A          N/A                         N/A                         
GPU 7           101.622           N/A          N/A          N/A          N/A                         N/A                         
GPU 0           97.001            0.000        0.000        0.000        483787                      269411                      
GPU 1           98.343            0.000        0.000        0.000        478042                      272043                      
GPU 2           99.049            0.000        0.000        0.000        490611                      275706                      
GPU 3           97.447            0.000        0.000        0.000        490598                      274651                      
GPU 4           98.418            0.000        0.000        0.000        493240                      281477                      
GPU 5           98.716            0.000        0.000        0.000        486950                      280429                      
GPU 6           99.627            0.000        0.000        0.000        495853                      283045                      
GPU 7           101.521           0.000        0.000        0.000        494269                      278321                      
GPU 0           97.061            0.000        0.000        0.000        483261                      266265                      
GPU 1           98.285            0.000        0.000        0.000        468589                      270985                      
GPU 2           99.148            0.000        0.000        0.000        484340                      275717                      
GPU 3           97.430            0.000        0.000        0.000        491121                      275698                      
GPU 4           98.535            0.000        0.000        0.000        491152                      281482                      
GPU 5           98.764            0.000        0.000        0.000        480651                      277803                      
GPU 6           99.568            0.000        0.000        0.000        494787                      282511                      
GPU 7           101.578           0.000        0.000        0.000        493231                      280948                      
GPU 0           97.061            0.000        0.000        0.000        439236                      266265                      
GPU 1           98.350            0.000        0.000        0.000        432963                      270985                      
GPU 2           99.148            0.000        0.000        0.000        484340                      275717                      
GPU 3           97.430            0.000        0.000        0.000        491121                      224847                      
GPU 4           98.535            0.000        0.000        0.000        491152                      57657                       
GPU 5           98.764            0.000        0.000        0.000        480651                      222243                      
GPU 6           99.568            0.000        0.000        0.000        244253                      282511                      
GPU 7           101.578           0.000        0.000        0.000        243206                      280948                      
GPU 0           96.973            0.000        0.000        0.000        492181                      308202                      
GPU 1           98.338            0.000        0.000        0.000        482242                      312409                      
GPU 2           99.150            0.000        0.000        0.000        683517                      483809                      
GPU 3           97.430            0.000        0.000        0.000        491127                      309772                      
GPU 4           98.430            0.000        0.000        0.000        680870                      476451                      
GPU 5           98.791            0.000        0.000        0.000        476930                      307646                      
GPU 6           99.599            0.000        0.000        0.000        680347                      475404                      
GPU 7           101.636           0.000        0.000        0.000        673020                      471743                      
GPU 0           96.954            0.000        0.000        0.000        496886                      281988                      
GPU 1           98.314            0.000        0.000        0.000        490620                      283050                      
GPU 2           99.065            0.000        0.000        0.000        494816                      282003                      
GPU 3           97.428            0.000        0.000        0.000        497411                      280940                      
GPU 4           98.473            0.000        0.000        0.000        505834                      273622                      
GPU 5           98.700            0.000        0.000        0.000        476473                      271521                      
GPU 6           99.553            0.000        0.000        0.000        478024                      270461                      
GPU 7           101.590           0.000        0.000        0.000        486940                      274133                      
GPU 0           97.212            0.000        0.000        0.000        495845                      278323                      
GPU 1           98.268            0.000        0.000        0.000        489570                      281477                      
GPU 2           99.200            0.000        0.000        0.000        492630                      280904                      
GPU 3           97.428            0.000        0.000        0.000        498465                      281467                      
GPU 4           98.467            0.000        0.000        0.000        483279                      272565                      
GPU 5           98.682            0.000        0.000        0.000        475425                      269949                      
GPU 6           99.572            0.000        0.000        0.000        486410                      273605                      
GPU 7           101.588           0.000        0.000        0.000        484845                      273610                      
GPU 0           97.107            0.000        0.000        0.000        495833                      279365                      
GPU 1           98.320            0.000        0.000        0.000        489047                      282001                      
GPU 2           99.054            0.000        0.000        0.000        446592                      238497                      
GPU 3           97.430            0.000        0.000        0.000        495319                      278846                      
GPU 4           98.390            0.000        0.000        0.000        485898                      274136                      
GPU 5           98.714            0.000        0.000        0.000        478036                      272040                      
GPU 6           99.616            0.000        0.000        0.000        482742                      269413                      
GPU 7           101.625           0.000        0.000        0.000        486419                      273611                      
GPU 0           96.983            0.000        0.000        0.000        444091                      238246                      
GPU 1           98.326            0.000        0.000        0.000        410280                      212526                      
GPU 2           99.054            0.000        0.000        0.000        303068                      115794                      
GPU 3           97.428            0.000        0.000        0.000        267309                      82813                       
GPU 4           98.390            0.000        0.000        0.000        267323                      87678                       
GPU 5           98.714            0.000        0.000        0.000        478036                      83341                       
GPU 6           99.616            0.000        0.000        0.000        259218                      79576                       
GPU 7           101.575           0.000        0.000        0.000        266357                      273611                      
GPU 0           97.011            0.000        0.000        0.000        272554                      72215                       
GPU 1           98.329            0.000        0.000        0.000        294705                      108330                      
GPU 2           99.129            0.000        0.000        0.000        462844                      245836                      
GPU 3           97.411            0.000        0.000        0.000        466486                      244774                      
GPU 4           98.384            0.000        0.000        0.000        448671                      225908                      
GPU 5           98.713            0.000        0.000        0.000        449207                      235873                      
GPU 6           99.559            0.000        0.000        0.000        454961                      237439                      
GPU 7           101.557           0.000        0.000        0.000        476401                      252760                      
GPU 0           96.964            0.000        0.000        0.000        483255                      267310                      
GPU 1           98.332            0.000        0.000        0.000        478566                      273091                      
GPU 2           99.096            0.000        0.000        0.000        484331                      272043                      
GPU 3           97.467            0.000        0.000        0.000        487450                      271504                      
GPU 4           98.407            0.000        0.000        0.000        492186                      279901                      
GPU 5           98.700            0.000        0.000        0.000        483807                      277809                      
GPU 6           99.572            0.000        0.000        0.000        496363                      281464                      
GPU 7           101.630           0.000        0.000        0.000        488513                      277278                      
GPU 0           96.905            0.000        0.000        0.000        492652                      276199                      
GPU 1           98.247            0.000        0.000        0.000        487997                      279904                      
GPU 2           99.133            0.000        0.000        0.000        482231                      278331                      
GPU 3           97.421            0.000        0.000        0.000        492698                      276225                      
GPU 4           98.424            0.000        0.000        0.000        472769                      268356                      
GPU 5           98.739            0.000        0.000        0.000        473326                      267851                      
GPU 6           99.569            0.000        0.000        0.000        481676                      270451                      
GPU 7           101.637           0.000        0.000        0.000        484842                      273084                      
GPU 0           96.838            0.000        0.000        0.000        440274                      282509                      
GPU 1           98.266            0.000        0.000        0.000        439245                      283045                      
GPU 2           99.090            0.000        0.000        0.000        439776                      285671                      
GPU 3           97.457            0.000        0.000        0.000        445520                      285133                      
GPU 4           98.445            0.000        0.000        0.000        487995                      328125                      
GPU 5           98.666            0.000        0.000        0.000        431903                      278325                      
GPU 6           99.593            0.000        0.000        0.000        374238                      230098                      
GPU 7           101.544           0.000        0.000        0.000        248447                      116885                      
GPU 0           104.619           0.020        0.003        0.007        721136752                   3946089704                  
GPU 1           107.013           0.020        0.003        0.007        552217018                   2658906099                  
GPU 2           106.520           0.019        0.003        0.007        671746729                   3171924677                  
GPU 3           104.839           0.019        0.003        0.007        537657321                   2350527728                  
GPU 4           106.095           0.019        0.003        0.007        732174526                   4164690238                  
GPU 5           107.416           0.019        0.003        0.007        559975900                   2830132308                  
GPU 6           107.184           0.019        0.003        0.007        687120786                   3414821243                  
GPU 7           109.772           0.020        0.003        0.007        543776390                   2464839469                  
GPU 0           97.535            0.000        0.000        0.000        11571965                    105896220                   
GPU 1           98.372            0.000        0.000        0.000        9169746                     119447814                   
GPU 2           99.453            0.000        0.000        0.000        10848426                    96247352                    
GPU 3           97.557            0.000        0.000        0.000        9387276                     124342369                   
GPU 4           98.211            0.000        0.000        0.000        10450763                    93824668                    
GPU 5           99.091            0.000        0.000        0.000        4275534                     22730518                    
GPU 6           99.772            0.000        0.000        0.000        3422148                     3518066                     
GPU 7           101.685           0.001        0.000        0.000        4301146                     22769976                    
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           101.317           0.005        0.000        0.002        63594360                    554368183                   
GPU 1           101.597           0.005        0.000        0.002        67770457                    848976220                   
GPU 2           102.193           0.005        0.000        0.002        55030666                    352423636                   
GPU 3           101.558           0.005        0.000        0.002        67241091                    835126244                   
GPU 4           100.468           0.008        0.000        0.003        138398468                   1131097046                  
GPU 5           100.493           0.005        0.000        0.002        71124629                    904702000                   
GPU 6           102.424           0.005        0.000        0.002        57850890                    330856400                   
GPU 7           104.784           0.005        0.000        0.002        56613175                    594006180                   
GPU 0           159.911           0.182        0.010        0.082        1613326591                  3914464996                  
GPU 1           161.214           0.164        0.008        0.073        1299335651                  2670059465                  
GPU 2           156.060           0.180        0.010        0.081        1636617552                  4294464983                  
GPU 3           153.055           0.179        0.009        0.079        1377098243                  2808388027                  
GPU 4           160.426           0.193        0.010        0.086        1798148376                  5099306171                  
GPU 5           156.901           0.178        0.009        0.079        1393823499                  2873385983                  
GPU 6           163.174           0.182        0.010        0.082        1672527957                  4570309625                  
GPU 7           159.913           0.170        0.009        0.076        1351446561                  3072018671                  
GPU 0           160.685           0.187        0.011        0.085        1662608638                  4330675283                  
GPU 1           159.992           0.186        0.010        0.082        1451533171                  2967401605                  
GPU 2           154.615           0.189        0.010        0.085        1683863114                  4207270012                  
GPU 3           150.564           0.187        0.010        0.082        1437766024                  2942694857                  
GPU 4           158.133           0.186        0.010        0.083        1760212195                  5498533127                  
GPU 5           159.937           0.186        0.010        0.082        1421767762                  2882823684                  
GPU 6           161.927           0.189        0.010        0.085        1757149567                  5201859280                  
GPU 7           156.423           0.190        0.010        0.085        1492895529                  3422520888                  
GPU 0           159.739           0.192        0.011        0.086        1688760719                  3993243204                  
GPU 1           161.843           0.183        0.010        0.081        1418761778                  2881799228                  
GPU 2           155.328           0.187        0.010        0.083        1708857837                  4546276261                  
GPU 3           151.388           0.186        0.010        0.081        1429182008                  2887877831                  
GPU 4           159.851           0.191        0.010        0.085        1774821096                  5063542600                  
GPU 5           158.615           0.186        0.010        0.082        1442197937                  2962777052                  
GPU 6           162.687           0.189        0.010        0.084        1745888642                  4899047755                  
GPU 7           160.173           0.184        0.010        0.082        1459533776                  3385671195                  
GPU 0           162.770           0.194        0.011        0.088        1656275560                  3642347404                  
GPU 1           163.512           0.188        0.010        0.084        1470112567                  3032737745                  
GPU 2           157.084           0.191        0.010        0.086        1735254540                  4505884766                  
GPU 3           153.369           0.190        0.010        0.084        1467513011                  3027424906                  
GPU 4           161.173           0.195        0.011        0.087        1800590912                  5100372843                  
GPU 5           161.153           0.190        0.010        0.085        1456003106                  2924028195                  
GPU 6           165.768           0.193        0.011        0.087        1755847430                  4780241430                  
GPU 7           160.542           0.191        0.010        0.086        1511498124                  3509180933                  
GPU 0           161.152           0.190        0.011        0.086        1647095581                  4119203144                  
GPU 1           161.365           0.183        0.010        0.082        1402079396                  2839436438                  
GPU 2           155.394           0.186        0.010        0.083        1700560030                  4659477071                  
GPU 3           152.419           0.185        0.010        0.082        1411387248                  2865682526                  
GPU 4           159.941           0.188        0.010        0.084        1747582016                  5290996576                  
GPU 5           159.484           0.184        0.010        0.082        1409117182                  2925960200                  
GPU 6           162.312           0.186        0.010        0.084        1735319598                  5162320754                  
GPU 7           158.812           0.185        0.010        0.083        1443478788                  3309337159                  
GPU 0           171.605           0.218        0.013        0.101        1858974018                  4251993725                  
GPU 1           171.582           0.210        0.012        0.096        1644384331                  3511804359                  
GPU 2           163.259           0.213        0.012        0.097        1871239887                  4365085168                  
GPU 3           162.109           0.214        0.012        0.097        1642316701                  3503583314                  
GPU 4           168.787           0.215        0.012        0.097        1930742028                  4955085663                  
GPU 5           169.086           0.212        0.012        0.096        1636873380                  3401797923                  
GPU 6           173.152           0.215        0.012        0.098        1939298891                  5113761696                  
GPU 7           166.811           0.212        0.012        0.096        1687962330                  3998605260                  
GPU 0           170.371           0.219        0.013        0.101        1884236329                  4229264376                  
GPU 1           172.121           0.214        0.012        0.097        1685847705                  3681463686                  
GPU 2           164.905           0.216        0.012        0.099        1890376746                  4296064148                  
GPU 3           162.176           0.217        0.012        0.098        1680635624                  3687260720                  
GPU 4           170.199           0.217        0.012        0.098        1974836079                  5249400863                  
GPU 5           170.242           0.214        0.012        0.097        1655849455                  3447243591                  
GPU 6           173.702           0.218        0.012        0.100        1972200256                  5307889468                  
GPU 7           167.960           0.214        0.012        0.097        1719812293                  4124988250                  
GPU 0           170.791           0.220        0.013        0.101        1884179414                  4177696565                  
GPU 1           171.819           0.213        0.012        0.096        1675753222                  3605807877                  
GPU 2           164.954           0.215        0.012        0.097        1913011951                  4473005481                  
GPU 3           162.755           0.216        0.012        0.097        1689338229                  3716508360                  
GPU 4           168.851           0.216        0.012        0.097        1963397735                  5054178707                  
GPU 5           171.332           0.217        0.012        0.099        1666477167                  3473150705                  
GPU 6           173.854           0.218        0.012        0.099        1964497799                  5108709594                  
GPU 7           167.563           0.216        0.012        0.098        1725752491                  4110842719                  
GPU 0           172.697           0.221        0.013        0.102        1904558568                  4350659921                  
GPU 1           172.072           0.217        0.012        0.098        1697778433                  3668983225                  
GPU 2           165.331           0.219        0.012        0.100        1933196917                  4577648194                  
