#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           72.110            N/A          N/A          N/A          N/A                         N/A                         
GPU 1           72.484            N/A          N/A          N/A          N/A                         N/A                         
GPU 2           70.301            N/A          N/A          N/A          N/A                         N/A                         
GPU 3           70.142            N/A          N/A          N/A          N/A                         N/A                         
GPU 4           71.618            N/A          N/A          N/A          N/A                         N/A                         
GPU 5           72.746            N/A          N/A          N/A          N/A                         N/A                         
GPU 6           72.665            N/A          N/A          N/A          N/A                         N/A                         
GPU 7           72.325            N/A          N/A          N/A          N/A                         N/A                         
GPU 0           72.111            0.000        0.000        0.000        507837                      308161                      
GPU 1           72.449            0.000        0.000        0.000        504685                      307632                      
GPU 2           70.279            0.000        0.000        0.000        503128                      306593                      
GPU 3           70.136            0.000        0.000        0.000        514621                      306048                      
GPU 4           71.639            0.000        0.000        0.000        494205                      296104                      
GPU 5           72.716            0.000        0.000        0.000        502532                      293973                      
GPU 6           72.663            0.000        0.000        0.000        489499                      292966                      
GPU 7           72.360            0.000        0.000        0.000        495260                      297680                      
GPU 0           72.064            0.000        0.000        0.000        500490                      303438                      
GPU 1           72.442            0.000        0.000        0.000        503121                      306065                      
GPU 2           70.286            0.000        0.000        0.000        502063                      305535                      
GPU 3           70.164            0.000        0.000        0.000        514611                      306042                      
GPU 4           71.677            0.000        0.000        0.000        494213                      296632                      
GPU 5           72.648            0.000        0.000        0.000        506210                      296599                      
GPU 6           72.649            0.000        0.000        0.000        495273                      297164                      
GPU 7           72.343            0.000        0.000        0.000        488960                      294005                      
GPU 0           72.074            0.000        0.000        0.000        509933                      311305                      
GPU 1           72.434            0.000        0.000        0.000        500491                      304487                      
GPU 2           70.295            0.000        0.000        0.000        501551                      305018                      
GPU 3           70.140            0.000        0.000        0.000        507812                      299761                      
GPU 4           71.668            0.000        0.000        0.000        494718                      297145                      
GPU 5           72.667            0.000        0.000        0.000        504119                      295554                      
GPU 6           72.697            0.000        0.000        0.000        499987                      301355                      
GPU 7           72.360            0.000        0.000        0.000        492564                      296586                      
GPU 0           72.060            0.000        0.000        0.000        507827                      309727                      
GPU 1           72.421            0.000        0.000        0.000        499979                      303446                      
GPU 2           70.285            0.000        0.000        0.000        500504                      303971                      
GPU 3           70.091            0.000        0.000        0.000        508326                      300279                      
GPU 4           71.669            0.000        0.000        0.000        496304                      298726                      
GPU 5           72.710            0.000        0.000        0.000        507778                      298168                      
GPU 6           72.660            0.000        0.000        0.000        491595                      294013                      
GPU 7           72.354            0.000        0.000        0.000        495777                      298200                      
GPU 0           72.046            0.000        0.000        0.000        542134                      342400                      
GPU 1           72.429            0.000        0.000        0.000        501545                      305015                      
GPU 2           70.300            0.000        0.000        0.000        503072                      312324                      
GPU 3           70.129            0.000        0.000        0.000        501527                      298715                      
GPU 4           71.639            0.000        0.000        0.000        499441                      303437                      
GPU 5           72.712            0.000        0.000        0.000        511455                      302366                      
GPU 6           72.633            0.000        0.000        0.000        490007                      292956                      
GPU 7           72.328            0.000        0.000        0.000        489908                      294468                      
GPU 0           72.085            0.000        0.000        0.000        232169                      49788                       
GPU 1           72.429            0.000        0.000        0.000        243169                      63412                       
GPU 2           70.283            0.000        0.000        0.000        244747                      64986                       
GPU 3           70.094            0.000        0.000        0.000        446500                      240544                      
GPU 4           71.678            0.000        0.000        0.000        242647                      62889                       
GPU 5           72.729            0.000        0.000        0.000        253624                      65502                       
GPU 6           72.682            0.000        0.000        0.000        242059                      64968                       
GPU 7           72.352            0.000        0.000        0.000        379973                      191820                      
GPU 0           72.004            0.000        0.000        0.000        475858                      274614                      
GPU 1           72.383            0.000        0.000        0.000        458578                      255231                      
GPU 2           70.342            0.000        0.000        0.000        454895                      252603                      
GPU 3           70.147            0.000        0.000        0.000        273551                      74938                       
GPU 4           71.647            0.000        0.000        0.000        448092                      245795                      
GPU 5           72.678            0.000        0.000        0.000        457996                      241574                      
GPU 6           72.650            0.000        0.000        0.000        448645                      246335                      
GPU 7           72.344            0.000        0.000        0.000        316544                      121062                      
GPU 0           72.013            0.000        0.000        0.000        509404                      310778                      
GPU 1           72.405            0.000        0.000        0.000        499441                      302914                      
GPU 2           70.297            0.000        0.000        0.000        499984                      302925                      
GPU 3           70.140            0.000        0.000        0.000        510956                      302381                      
GPU 4           71.649            0.000        0.000        0.000        482143                      292954                      
GPU 5           72.634            0.000        0.000        0.000        507262                      297650                      
GPU 6           72.703            0.000        0.000        0.000        489988                      293468                      
GPU 7           72.339            0.000        0.000        0.000        496834                      298729                      
GPU 0           72.004            0.000        0.000        0.000        493644                      298702                      
GPU 1           72.413            0.000        0.000        0.000        498772                      303350                      
GPU 2           70.306            0.000        0.000        0.000        496835                      300302                      
GPU 3           70.099            0.000        0.000        0.000        515140                      306044                      
GPU 4           71.697            0.000        0.000        0.000        496306                      298727                      
GPU 5           72.666            0.000        0.000        0.000        507767                      303402                      
