#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           147.515           0.188        0.013        0.113        330141784                   389190575                   
GPU 1           148.963           0.209        0.012        0.119        357509169                   420303685                   
GPU 2           69.597            0.000        0.000        0.000        499443                      305535                      
GPU 3           69.608            0.000        0.000        0.000        450680                      244205                      
GPU 4           71.122            0.000        0.000        0.000        494733                      300299                      
GPU 5           71.862            0.000        0.000        0.000        507795                      303419                      
GPU 6           71.701            0.000        0.000        0.000        494731                      300821                      
GPU 7           71.312            0.000        0.000        0.000        243693                      68653                       
GPU 0           100.273           0.000        0.000        0.000        475665                      260327                      
GPU 1           101.319           0.000        0.000        0.000        510168                      292211                      
GPU 2           69.647            0.000        0.000        0.000        471239                      276454                      
GPU 3           69.614            0.000        0.000        0.000        510342                      304754                      
GPU 4           71.138            0.000        0.000        0.000        503102                      307292                      
GPU 5           71.931            0.000        0.000        0.000        522609                      312517                      
GPU 6           71.637            0.000        0.000        0.000        477349                      282129                      
GPU 7           71.263            0.000        0.000        0.000        688301                      476919                      
GPU 0           100.273           0.000        0.000        0.000        433467                      260327                      
GPU 1           101.254           0.000        0.000        0.000        235342                      292211                      
GPU 2           69.647            0.000        0.000        0.000        232690                      276454                      
GPU 3           69.614            0.000        0.000        0.000        510342                      65504                       
GPU 4           71.138            0.000        0.000        0.000        503102                      18866                       
GPU 5           71.931            0.000        0.000        0.000        522609                      54498                       
GPU 6           71.637            0.000        0.000        0.000        243166                      282129                      
GPU 7           71.263            0.000        0.000        0.000        198098                      476919                      
GPU 0           99.979            0.000        0.000        0.000        262075                      67615                       
GPU 1           101.081           0.000        0.000        0.000        460192                      246344                      
GPU 2           69.678            0.000        0.000        0.000        475347                      270429                      
GPU 3           69.617            0.000        0.000        0.000        471119                      254163                      
GPU 4           71.166            0.000        0.000        0.000        508877                      304488                      
GPU 5           71.914            0.000        0.000        0.000        472680                      258873                      
GPU 6           71.668            0.000        0.000        0.000        459097                      254704                      
GPU 7           71.291            0.000        0.000        0.000        503646                      305542                      
GPU 0           99.795            0.000        0.000        0.000        722287                      524156                      
GPU 1           100.967           0.000        0.000        0.000        719678                      527310                      
GPU 2           69.672            0.000        0.000        0.000        762523                      586959                      
GPU 3           69.623            0.000        0.000        0.000        777171                      588512                      
GPU 4           71.141            0.000        0.000        0.000        766004                      588912                      
GPU 5           71.921            0.000        0.000        0.000        778048                      588906                      
GPU 6           71.670            0.000        0.000        0.000        768281                      588526                      
GPU 7           71.295            0.000        0.000        0.000        770387                      592202                      
GPU 0           99.719            0.000        0.000        0.000        493741                      277794                      
GPU 1           100.782           0.000        0.000        0.000        490088                      280949                      
GPU 2           69.696            0.000        0.000        0.000        509859                      318596                      
GPU 3           69.612            0.000        0.000        0.000        510408                      303415                      
GPU 4           71.177            0.000        0.000        0.000        496817                      299767                      
GPU 5           71.893            0.000        0.000        0.000        502024                      295031                      
GPU 6           71.669            0.000        0.000        0.000        503121                      307637                      
GPU 7           71.282            0.000        0.000        0.000        505216                      305540                      
GPU 0           99.645            0.000        0.000        0.000        493750                      277800                      
GPU 1           100.796           0.000        0.000        0.000        485886                      280944                      
GPU 2           69.681            0.000        0.000        0.000        504170                      306066                      
GPU 3           69.617            0.000        0.000        0.000        510951                      302378                      
GPU 4           71.169            0.000        0.000        0.000        499973                      301346                      
GPU 5           71.911            0.000        0.000        0.000        496258                      290313                      
GPU 6           71.666            0.000        0.000        0.000        495251                      297674                      
GPU 7           71.297            0.000        0.000        0.000        506790                      307638                      
GPU 0           99.664            0.000        0.000        0.000        535148                      325492                      
GPU 1           100.732           0.000        0.000        0.000        524669                      323922                      
GPU 2           69.681            0.000        0.000        0.000        532983                      345888                      
GPU 3           69.619            0.000        0.000        0.000        557576                      358966                      
GPU 4           71.137            0.000        0.000        0.000        530891                      343271                      
GPU 5           71.925            0.000        0.000        0.000        530840                      334853                      
GPU 6           71.666            0.000        0.000        0.000        526162                      339594                      
GPU 7           71.280            0.000        0.000        0.000        532456                      344314                      
GPU 0           99.442            0.000        0.000        0.000        495322                      279896                      
GPU 1           100.727           0.000        0.000        0.000        439238                      240585                      
GPU 2           69.680            0.000        0.000        0.000        502599                      306591                      
GPU 3           69.623            0.000        0.000        0.000        508849                      301851                      
GPU 4           71.168            0.000        0.000        0.000        448558                      257292                      
GPU 5           71.953            0.000        0.000        0.000        510410                      299748                      
GPU 6           71.669            0.000        0.000        0.000        492109                      296628                      
GPU 7           71.279            0.000        0.000        0.000        242123                      67605                       
GPU 0           99.254            0.000        0.000        0.000        239011                      279896                      
GPU 1           100.687           0.000        0.000        0.000        251041                      53457                       
GPU 2           69.680            0.000        0.000        0.000        198622                      306591                      
GPU 3           69.628            0.000        0.000        0.000        508849                      51875                       
GPU 4           71.168            0.000        0.000        0.000        288244                      102910                      
GPU 5           71.953            0.000        0.000        0.000        510410                      86225                       
GPU 6           71.669            0.000        0.000        0.000        198623                      19914                       
GPU 7           71.279            0.000        0.000        0.000        455422                      67605                       
GPU 0           99.239            0.000        0.000        0.000        465962                      245298                      
GPU 1           100.535           0.000        0.000        0.000        490598                      279368                      
GPU 2           69.672            0.000        0.000        0.000        507841                      311308                      
GPU 3           69.599            0.000        0.000        0.000        474292                      267805                      
GPU 4           71.169            0.000        0.000        0.000        463800                      257317                      
GPU 5           71.904            0.000        0.000        0.000        444374                      223235                      
GPU 6           71.670            0.000        0.000        0.000        508887                      301873                      
GPU 7           71.291            0.000        0.000        0.000        521994                      322839                      
GPU 0           99.200            0.000        0.000        0.000        496371                      280420                      
GPU 1           100.421           0.000        0.000        0.000        493225                      279896                      
GPU 2           69.703            0.000        0.000        0.000        512558                      314453                      
GPU 3           69.614            0.000        0.000        0.000        511991                      303945                      
GPU 4           71.169            0.000        0.000        0.000        501548                      302920                      
GPU 5           71.896            0.000        0.000        0.000        510923                      301313                      
GPU 6           71.670            0.000        0.000        0.000        501545                      302918                      
GPU 7           71.291            0.000        0.000        0.000        502075                      305018                      
GPU 0           99.170            0.000        0.000        0.000        497935                      281988                      
GPU 1           100.354           0.000        0.000        0.000        490609                      281471                      
GPU 2           69.688            0.000        0.000        0.000        505732                      309204                      
GPU 3           69.623            0.000        0.000        0.000        514611                      309710                      
GPU 4           71.158            0.000        0.000        0.000        501547                      303968                      
GPU 5           71.920            0.000        0.000        0.000        505170                      296080                      
GPU 6           71.670            0.000        0.000        0.000        499437                      301339                      
GPU 7           71.291            0.000        0.000        0.000        494197                      297147                      
GPU 0           112.854           0.059        0.003        0.022        198505372                   268903976                   
GPU 1           115.007           0.038        0.003        0.022        195768320                   228069842                   
GPU 2           69.658            0.000        0.000        0.000        501552                      305543                      
GPU 3           69.584            0.000        0.000        0.000        510950                      303949                      
GPU 4           71.183            0.000        0.000        0.000        496814                      303958                      
GPU 5           71.914            0.000        0.000        0.000        508318                      299750                      
GPU 6           71.674            0.000        0.000        0.000        491589                      295058                      
GPU 7           71.284            0.000        0.000        0.000        492639                      301872                      
GPU 0           111.768           0.008        0.002        0.003        232394122                   223084772                   
GPU 1           109.530           0.000        0.000        0.000        13163097                    12634791                    
GPU 2           69.675            0.000        0.000        0.000        499971                      305537                      
GPU 3           69.605            0.000        0.000        0.000        509378                      307618                      
GPU 4           71.103            0.000        0.000        0.000        494204                      300820                      
GPU 5           71.959            0.000        0.000        0.000        503584                      299216                      
GPU 6           71.654            0.000        0.000        0.000        497862                      305006                      
GPU 7           71.265            0.000        0.000        0.000        504684                      309204                      
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           107.692           0.025        0.007        0.009        838797135                   779647739                   
GPU 1           112.917           0.031        0.009        0.012        1055866706                  978863721                   
GPU 2           69.682            0.000        0.000        0.000        493538                      304401                      
GPU 3           69.611            0.000        0.000        0.000        511468                      306566                      
GPU 4           71.102            0.000        0.000        0.000        500484                      305007                      
GPU 5           71.948            0.000        0.000        0.000        503077                      298702                      
GPU 6           71.603            0.000        0.000        0.000        512500                      320181                      
GPU 7           71.242            0.000        0.000        0.000        240028                      67082                       
GPU 0           113.908           0.048        0.013        0.014        1483088233                  1412848111                  
