#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           96.131            0.000        0.000        0.000        237960                      46648                       
GPU 1           71.313            0.000        0.000        0.000        422576                      214384                      
GPU 2           70.217            0.000        0.000        0.000        421172                      224402                      
GPU 3           70.139            0.000        0.000        0.000        243669                      51877                       
GPU 4           96.503            0.000        0.000        0.000        238233                      53364                       
GPU 5           72.656            0.000        0.000        0.000        210143                      19913                       
GPU 6           72.155            0.000        0.000        0.000        198097                      20962                       
GPU 7           72.312            0.000        0.000        0.000        198624                      23059                       
GPU 0           96.089            0.000        0.000        0.000        506091                      283621                      
GPU 1           71.286            0.000        0.000        0.000        428173                      224105                      
GPU 2           70.195            0.000        0.000        0.000        411234                      218564                      
GPU 3           70.128            0.000        0.000        0.000        527217                      316738                      
GPU 4           96.515            0.000        0.000        0.000        508776                      288306                      
GPU 5           72.712            0.000        0.000        0.000        540634                      325486                      
GPU 6           72.162            0.000        0.000        0.000        531646                      324927                      
GPU 7           72.294            0.000        0.000        0.000        538062                      329010                      
GPU 0           96.140            0.000        0.000        0.000        497412                      287231                      
GPU 1           71.321            0.000        0.000        0.000        509898                      304995                      
GPU 2           70.205            0.000        0.000        0.000        498398                      304489                      
GPU 3           70.137            0.000        0.000        0.000        515112                      310744                      
GPU 4           96.483            0.000        0.000        0.000        500048                      287763                      
GPU 5           72.653            0.000        0.000        0.000        505186                      300281                      
GPU 6           72.152            0.000        0.000        0.000        492109                      298724                      
GPU 7           72.289            0.000        0.000        0.000        492645                      298731                      
GPU 0           96.194            0.000        0.000        0.000        745348                      549838                      
GPU 1           71.342            0.000        0.000        0.000        786047                      605780                      
GPU 2           70.205            0.000        0.000        0.000        782467                      611613                      
GPU 3           70.128            0.000        0.000        0.000        785026                      604229                      
GPU 4           96.544            0.000        0.000        0.000        742215                      550371                      
GPU 5           72.669            0.000        0.000        0.000        787641                      606321                      
GPU 6           72.149            0.000        0.000        0.000        781726                      611968                      
GPU 7           72.296            0.000        0.000        0.000        787183                      614757                      
