#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           112.842           0.139        0.005        0.065        1142411225                  3486481297                  
GPU 1           117.541           0.140        0.006        0.066        966407558                   2513743669                  
GPU 2           115.470           0.140        0.007        0.066        1176249565                  3739837154                  
GPU 3           111.955           0.129        0.007        0.063        975297135                   2720813830                  
GPU 4           71.670            0.000        0.000        0.000        493141                      299239                      
GPU 5           72.357            0.000        0.000        0.000        503597                      299223                      
GPU 6           72.634            0.000        0.000        0.000        502592                      307110                      
GPU 7           71.780            0.000        0.000        0.000        503106                      308152                      
GPU 0           98.250            0.000        0.000        0.000        610306                      383611                      
GPU 1           99.791            0.004        0.000        0.002        32047668                    81517361                    
GPU 2           99.738            0.003        0.000        0.002        29635487                    92114991                    
GPU 3           98.454            0.008        0.000        0.004        58577307                    165459625                   
GPU 4           71.733            0.000        0.000        0.000        584992                      388138                      
GPU 5           72.365            0.000        0.000        0.000        607248                      395661                      
GPU 6           72.624            0.000        0.000        0.000        592222                      392740                      
GPU 7           71.807            0.000        0.000        0.000        581985                      380694                      
GPU 0           98.295            0.000        0.000        0.000        241629                      383611                      
GPU 1           99.753            0.000        0.000        0.002        253691                      58181                       
GPU 2           99.738            0.000        0.000        0.000        208091                      92114991                    
GPU 3           98.324            0.000        0.000        0.004        58577307                    46649                       
GPU 4           71.733            0.000        0.000        0.000        244223                      66034                       
GPU 5           72.365            0.000        0.000        0.000        607248                      183414                      
GPU 6           72.624            0.000        0.000        0.000        197057                      18867                       
GPU 7           71.807            0.000        0.000        0.000        198622                      380694                      
GPU 0           98.194            0.000        0.000        0.000        713893                      511046                      
GPU 1           99.656            0.000        0.000        0.000        741141                      548256                      
GPU 2           99.421            0.000        0.000        0.000        740655                      546187                      
GPU 3           98.129            0.000        0.000        0.000        714953                      513676                      
GPU 4           71.769            0.000        0.000        0.000        747856                      567050                      
GPU 5           72.334            0.000        0.000        0.000        624149                      436537                      
GPU 6           72.632            0.000        0.000        0.000        789750                      611048                      
GPU 7           71.791            0.000        0.000        0.000        795029                      610553                      
GPU 0           98.110            0.000        0.000        0.000        509997                      292475                      
GPU 1           99.654            0.000        0.000        0.000        500572                      289860                      
GPU 2           99.389            0.000        0.000        0.000        502670                      290909                      
GPU 3           97.989            0.000        0.000        0.000        507910                      291432                      
GPU 4           71.663            0.000        0.000        0.000        494209                      300823                      
GPU 5           72.334            0.000        0.000        0.000        508320                      303944                      
GPU 6           72.632            0.000        0.000        0.000        495787                      301350                      
GPU 7           71.794            0.000        0.000        0.000        502061                      307106                      
GPU 0           98.160            0.000        0.000        0.000        4060009                     359561                      
GPU 1           99.553            0.000        0.000        0.000        528872                      326024                      
