#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           97.052            N/A          N/A          N/A          N/A                         N/A                         
GPU 1           71.566            N/A          N/A          N/A          N/A                         N/A                         
GPU 2           70.589            N/A          N/A          N/A          N/A                         N/A                         
GPU 3           70.579            N/A          N/A          N/A          N/A                         N/A                         
GPU 4           71.895            N/A          N/A          N/A          N/A                         N/A                         
GPU 5           73.118            N/A          N/A          N/A          N/A                         N/A                         
GPU 6           72.621            N/A          N/A          N/A          N/A                         N/A                         
GPU 7           72.318            N/A          N/A          N/A          N/A                         N/A                         
GPU 0           97.003            0.000        0.000        0.000        501095                      292480                      
GPU 1           71.512            0.000        0.000        0.000        533466                      333285                      
GPU 2           70.678            0.000        0.000        0.000        519894                      334367                      
GPU 3           70.593            0.000        0.000        0.000        531913                      329629                      
GPU 4           71.836            0.000        0.000        0.000        517283                      328084                      
GPU 5           73.107            0.000        0.000        0.000        527185                      326477                      
GPU 6           72.666            0.000        0.000        0.000        520411                      331218                      
GPU 7           72.329            0.000        0.000        0.000        525642                      334880                      
GPU 0           97.054            0.000        0.000        0.000        510530                      302439                      
GPU 1           71.514            0.000        0.000        0.000        532952                      335388                      
GPU 2           70.674            0.000        0.000        0.000        526693                      341171                      
GPU 3           70.617            0.000        0.000        0.000        533990                      333809                      
GPU 4           71.906            0.000        0.000        0.000        519890                      329124                      
GPU 5           73.118            0.000        0.000        0.000        528751                      326997                      
GPU 6           72.662            0.000        0.000        0.000        521466                      329650                      
GPU 7           72.317            0.000        0.000        0.000        523034                      331744                      
GPU 0           97.096            0.000        0.000        0.000        514715                      306103                      
GPU 1           71.560            0.000        0.000        0.000        538710                      339052                      
GPU 2           70.649            0.000        0.000        0.000        519368                      330173                      
GPU 3           70.642            0.000        0.000        0.000        526156                      328585                      
GPU 4           71.882            0.000        0.000        0.000        516213                      325974                      
GPU 5           73.092            0.000        0.000        0.000        527722                      325961                      
GPU 6           72.660            0.000        0.000        0.000        517798                      327030                      
GPU 7           72.328            0.000        0.000        0.000        513593                      323354                      
GPU 0           97.180            0.000        0.000        0.000        735924                      545129                      
GPU 1           71.535            0.000        0.000        0.000        794475                      615770                      
GPU 2           70.688            0.000        0.000        0.000        776144                      607394                      
GPU 3           70.600            0.000        0.000        0.000        790783                      607367                      
GPU 4           71.910            0.000        0.000        0.000        794498                      620505                      
GPU 5           73.097            0.000        0.000        0.000        801766                      618879                      
GPU 6           72.653            0.000        0.000        0.000        786639                      614218                      
GPU 7           72.327            0.000        0.000        0.000        782960                      610541                      
GPU 0           97.081            0.000        0.000        0.000        238488                      42456                       
GPU 1           71.563            0.000        0.000        0.000        244728                      51880                       
GPU 2           70.709            0.000        0.000        0.000        430276                      233743                      
GPU 3           70.626            0.000        0.000        0.000        445955                      240533                      
GPU 4           71.892            0.000        0.000        0.000        402485                      207531                      
GPU 5           73.070            0.000        0.000        0.000        254688                      67078                       
GPU 6           72.662            0.000        0.000        0.000        198627                      21487                       
GPU 7           72.333            0.000        0.000        0.000        242124                      67606                       
GPU 0           97.102            0.000        0.000        0.000        481175                      272036                      
GPU 1           71.565            0.000        0.000        0.000        494161                      289789                      
GPU 2           70.662            0.000        0.000        0.000        282482                      105341                      
GPU 3           70.637            0.000        0.000        0.000        292417                      101664                      
GPU 4           71.854            0.000        0.000        0.000        316024                      136262                      
GPU 5           73.064            0.000        0.000        0.000        488936                      278793                      
GPU 6           72.661            0.000        0.000        0.000        516213                      317589                      
GPU 7           72.328            0.000        0.000        0.000        483724                      280906                      
GPU 0           97.078            0.000        0.000        0.000        552988                      351187                      
GPU 1           71.516            0.000        0.000        0.000        568492                      380916                      
GPU 2           70.710            0.000        0.000        0.000        558135                      378379                      
GPU 3           70.639            0.000        0.000        0.000        582711                      393539                      
GPU 4           71.872            0.000        0.000        0.000        559195                      379959                      
GPU 5           73.067            0.000        0.000        0.000        570152                      378878                      
GPU 6           72.687            0.000        0.000        0.000        558146                      378386                      
GPU 7           72.339            0.000        0.000        0.000        559194                      379958                      
GPU 0           96.883            0.000        0.000        0.000        523104                      315015                      
GPU 1           71.513            0.000        0.000        0.000        538171                      346379                      
GPU 2           70.621            0.000        0.000        0.000        523554                      336982                      
GPU 3           70.639            0.000        0.000        0.000        536620                      336960                      
GPU 4           71.905            0.000        0.000        0.000        518827                      332258                      
GPU 5           73.086            0.000        0.000        0.000        534969                      345293                      
GPU 6           72.673            0.000        0.000        0.000        516171                      330140                      
GPU 7           72.330            0.000        0.000        0.000        520934                      333838                      
GPU 0           96.922            0.000        0.000        0.000        543552                      315543                      
GPU 1           71.535            0.000        0.000        0.000        535577                      338011                      
GPU 2           70.725            0.000        0.000        0.000        519880                      340647                      
GPU 3           70.639            0.000        0.000        0.000        540293                      340106                      
GPU 4           71.956            0.000        0.000        0.000        520412                      332791                      
GPU 5           73.088            0.000        0.000        0.000        532423                      333813                      
GPU 6           72.671            0.000        0.000        0.000        519353                      332260                      
GPU 7           72.337            0.000        0.000        0.000        523027                      335408                      
GPU 0           100.299           0.007        0.001        0.005        747418                      3572513                     
GPU 1           71.543            0.000        0.000        0.000        539249                      338537                      
GPU 2           70.745            0.000        0.000        0.000        517795                      330173                      
GPU 3           70.652            0.000        0.000        0.000        533990                      333285                      
GPU 4           71.891            0.000        0.000        0.000        517783                      328069                      
GPU 5           73.097            0.000        0.000        0.000        524577                      323865                      
GPU 6           72.657            0.000        0.000        0.000        521990                      331222                      
GPU 7           72.330            0.000        0.000        0.000        523033                      332267                      
GPU 0           97.772            0.001        0.000        0.001        548261                      780984                      
GPU 1           71.507            0.000        0.000        0.000        466397                      265165                      
GPU 2           70.709            0.000        0.000        0.000        517268                      328598                      
GPU 3           70.633            0.000        0.000        0.000        539151                      344239                      
GPU 4           71.931            0.000        0.000        0.000        512030                      322836                      
GPU 5           73.109            0.000        0.000        0.000        521442                      322822                      
GPU 6           72.667            0.000        0.000        0.000        461717                      273571                      
GPU 7           72.348            0.000        0.000        0.000        518829                      327543                      
GPU 0           104.374           0.054        0.002        0.035        1666958                     10369065                    
GPU 1           71.525            0.000        0.000        0.000        273031                      80179                       
GPU 2           70.684            0.000        0.000        0.000        417831                      222970                      
GPU 3           70.641            0.000        0.000        0.000        244202                      52927                       
GPU 4           71.889            0.000        0.000        0.000        198102                      20439                       
GPU 5           73.126            0.000        0.000        0.000        210138                      20437                       
GPU 6           72.669            0.000        0.000        0.000        292535                      111487                      
GPU 7           72.341            0.000        0.000        0.000        198627                      22011                       
GPU 0           236.679           0.396        0.019        0.248        8506372                     57168948                    
GPU 1           71.533            0.000        0.000        0.000        527707                      333288                      
GPU 2           70.551            0.000        0.000        0.000        281959                      103245                      
GPU 3           70.552            0.000        0.000        0.000        489458                      287177                      
GPU 4           71.877            0.000        0.000        0.000        518310                      320734                      
GPU 5           73.062            0.000        0.000        0.000        524571                      317048                      
GPU 6           72.675            0.000        0.000        0.000        526423                      328432                      
GPU 7           72.445            0.000        0.000        0.000        534566                      331745                      
GPU 0           233.757           0.385        0.019        0.243        8461667                     55783799                    
GPU 1           71.553            0.000        0.000        0.000        531915                      335919                      
GPU 2           70.542            0.000        0.000        0.000        520929                      333834                      
GPU 3           70.333            0.000        0.000        0.000        534528                      334866                      
GPU 4           71.927            0.000        0.000        0.000        502068                      316544                      
GPU 5           73.059            0.000        0.000        0.000        526130                      326473                      
GPU 6           72.703            0.000        0.000        0.000        515687                      326497                      
GPU 7           72.369            0.000        0.000        0.000        511492                      322827                      
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           223.277           0.371        0.017        0.225        8371473                     55992318                    
GPU 1           71.598            0.000        0.000        0.000        533957                      347936                      
GPU 2           70.649            0.000        0.000        0.000        519367                      330696                      
GPU 3           70.439            0.000        0.000        0.000        526650                      325947                      
GPU 4           71.916            0.000        0.000        0.000        516732                      326495                      
GPU 5           73.049            0.000        0.000        0.000        525617                      323336                      
GPU 6           72.628            0.000        0.000        0.000        515698                      325456                      
GPU 7           72.392            0.000        0.000        0.000        508370                      322841                      
GPU 0           226.470           0.364        0.017        0.225        8124809                     54063550                    
GPU 1           71.589            0.000        0.000        0.000        546012                      348462                      
GPU 2           70.613            0.000        0.000        0.000        521464                      332269                      
GPU 3           70.491            0.000        0.000        0.000        527193                      329627                      
GPU 4           71.936            0.000        0.000        0.000        519366                      328076                      
GPU 5           73.084            0.000        0.000        0.000        526665                      324907                      
GPU 6           72.641            0.000        0.000        0.000        519358                      328595                      
GPU 7           72.412            0.000        0.000        0.000        522975                      334326                      
GPU 0           259.130           0.456        0.023        0.285        11322451                    72132513                    
GPU 1           71.562            0.000        0.000        0.000        537153                      339061                      
GPU 2           70.601            0.000        0.000        0.000        525121                      338551                      
GPU 3           70.411            0.000        0.000        0.000        535569                      337481                      
GPU 4           71.931            0.000        0.000        0.000        517267                      330170                      
GPU 5           73.091            0.000        0.000        0.000        526656                      328570                      
GPU 6           72.632            0.000        0.000        0.000        517799                      330175                      
GPU 7           72.394            0.000        0.000        0.000        519369                      332794                      
GPU 0           259.032           0.466        0.022        0.285        12399028                    79512262                    
GPU 1           71.582            0.000        0.000        0.000        244203                      49783                       
GPU 2           70.588            0.000        0.000        0.000        524082                      336984                      
GPU 3           70.491            0.000        0.000        0.000        452780                      246828                      
GPU 4           71.869            0.000        0.000        0.000        244738                      68128                       
GPU 5           73.088            0.000        0.000        0.000        256262                      67079                       
GPU 6           72.645            0.000        0.000        0.000        198626                      19391                       
GPU 7           72.431            0.000        0.000        0.000        243695                      69178                       
GPU 0           267.464           0.484        0.024        0.300        12424477                    80134182                    
GPU 1           71.577            0.000        0.000        0.000        503608                      303422                      
GPU 2           70.463            0.000        0.000        0.000        198051                      13098                       
GPU 3           70.522            0.000        0.000        0.000        293989                      105333                      
GPU 4           71.846            0.000        0.000        0.000        472204                      276719                      
GPU 5           73.172            0.000        0.000        0.000        493114                      288742                      
GPU 6           72.661            0.000        0.000        0.000        518840                      325978                      
GPU 7           72.422            0.000        0.000        0.000        473243                      275665                      
GPU 0           269.427           0.492        0.024        0.304        13023905                    82211865                    
GPU 1           71.548            0.000        0.000        0.000        535058                      337490                      
GPU 2           70.507            0.000        0.000        0.000        521989                      336463                      
GPU 3           70.522            0.000        0.000        0.000        535569                      338006                      
GPU 4           71.954            0.000        0.000        0.000        519882                      332263                      
GPU 5           73.093            0.000        0.000        0.000        532434                      333295                      
GPU 6           72.731            0.000        0.000        0.000        522441                      335368                      
GPU 7           72.390            0.000        0.000        0.000        520938                      332792                      
GPU 0           262.072           0.460        0.023        0.288        11631701                    73796011                    
GPU 1           71.560            0.000        0.000        0.000        537665                      339578                      
GPU 2           70.550            0.000        0.000        0.000        522517                      335417                      
GPU 3           70.492            0.000        0.000        0.000        537626                      341649                      
GPU 4           71.832            0.000        0.000        0.000        518314                      331218                      
GPU 5           73.149            0.000        0.000        0.000        532959                      334868                      
GPU 6           72.709            0.000        0.000        0.000        516216                      329120                      
GPU 7           72.401            0.000        0.000        0.000        515159                      328591                      
GPU 0           270.474           0.492        0.024        0.305        12881166                    81541064                    
GPU 1           71.481            0.000        0.000        0.000        543959                      345870                      
GPU 2           70.602            0.000        0.000        0.000        521980                      335409                      
GPU 3           70.540            0.000        0.000        0.000        539236                      341149                      
GPU 4           72.024            0.000        0.000        0.000        512553                      330172                      
GPU 5           73.140            0.000        0.000        0.000        529683                      333213                      
GPU 6           72.709            0.000        0.000        0.000        519889                      332792                      
GPU 7           72.403            0.000        0.000        0.000        519894                      332795                      
GPU 0           262.649           0.479        0.023        0.295        12726169                    80965372                    
GPU 1           71.562            0.000        0.000        0.000        536622                      339057                      
GPU 2           70.615            0.000        0.000        0.000        518504                      332576                      
GPU 3           70.576            0.000        0.000        0.000        534532                      336965                      
