#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           97.546            N/A          N/A          N/A          N/A                         N/A                         
GPU 1           71.250            N/A          N/A          N/A          N/A                         N/A                         
GPU 2           70.251            N/A          N/A          N/A          N/A                         N/A                         
GPU 3           70.135            N/A          N/A          N/A          N/A                         N/A                         
GPU 4           71.668            N/A          N/A          N/A          N/A                         N/A                         
GPU 5           72.630            N/A          N/A          N/A          N/A                         N/A                         
GPU 6           72.262            N/A          N/A          N/A          N/A                         N/A                         
GPU 7           72.129            N/A          N/A          N/A          N/A                         N/A                         
GPU 0           97.522            0.000        0.000        0.000        515751                      307668                      
GPU 1           71.263            0.000        0.000        0.000        534527                      335913                      
GPU 2           70.280            0.000        0.000        0.000        526181                      336986                      
GPU 3           70.145            0.000        0.000        0.000        534002                      334865                      
GPU 4           71.697            0.000        0.000        0.000        514604                      328571                      
GPU 5           72.629            0.000        0.000        0.000        526645                      325419                      
GPU 6           72.251            0.000        0.000        0.000        515171                      329646                      
GPU 7           72.160            0.000        0.000        0.000        513621                      324420                      
GPU 0           97.508            0.000        0.000        0.000        514708                      306099                      
GPU 1           71.294            0.000        0.000        0.000        528756                      329620                      
GPU 2           70.245            0.000        0.000        0.000        530898                      340655                      
GPU 3           70.158            0.000        0.000        0.000        533490                      332776                      
GPU 4           71.670            0.000        0.000        0.000        515725                      325997                      
GPU 5           72.631            0.000        0.000        0.000        522984                      322280                      
GPU 6           72.267            0.000        0.000        0.000        520922                      330162                      
GPU 7           72.238            0.000        0.000        0.000        522522                      331752                      
GPU 0           97.529            0.000        0.000        0.000        507370                      309244                      
GPU 1           71.280            0.000        0.000        0.000        537673                      339583                      
GPU 2           70.248            0.000        0.000        0.000        530359                      345886                      
GPU 3           70.150            0.000        0.000        0.000        538713                      341150                      
GPU 4           71.677            0.000        0.000        0.000        515717                      328612                      
GPU 5           72.647            0.000        0.000        0.000        529258                      332227                      
GPU 6           72.277            0.000        0.000        0.000        510457                      324407                      
GPU 7           72.193            0.000        0.000        0.000        521963                      342211                      
GPU 0           97.509            0.000        0.000        0.000        762104                      578130                      
GPU 1           71.273            0.000        0.000        0.000        823255                      649800                      
GPU 2           70.246            0.000        0.000        0.000        793828                      635062                      
GPU 3           70.161            0.000        0.000        0.000        825908                      655067                      
GPU 4           71.697            0.000        0.000        0.000        807082                      646713                      
GPU 5           72.608            0.000        0.000        0.000        822225                      653483                      
GPU 6           72.344            0.000        0.000        0.000        799225                      638331                      
GPU 7           72.212            0.000        0.000        0.000        803438                      642016                      
GPU 0           97.509            0.000        0.000        0.000        525190                      317630                      
GPU 1           71.291            0.000        0.000        0.000        530866                      334870                      
GPU 2           70.246            0.000        0.000        0.000        518307                      331213                      
GPU 3           70.168            0.000        0.000        0.000        528771                      332250                      
GPU 4           71.662            0.000        0.000        0.000        515720                      328090                      
GPU 5           72.626            0.000        0.000        0.000        521402                      325941                      
GPU 6           72.314            0.000        0.000        0.000        515158                      329114                      
GPU 7           72.168            0.000        0.000        0.000        515184                      327558                      
GPU 0           97.509            0.000        0.000        0.000        242152                      317630                      
GPU 1           71.273            0.000        0.000        0.000        285083                      334870                      
GPU 2           70.246            0.000        0.000        0.000        518307                      331213                      
GPU 3           70.168            0.000        0.000        0.000        528771                      62361                       
GPU 4           71.662            0.000        0.000        0.000        515720                      57634                       
GPU 5           72.626            0.000        0.000        0.000        521402                      113666                      
GPU 6           72.314            0.000        0.000        0.000        237408                      329114                      
GPU 7           72.168            0.000        0.000        0.000        235849                      327558                      
GPU 0           97.452            0.000        0.000        0.000        530429                      322869                      
GPU 1           71.254            0.000        0.000        0.000        503596                      304463                      
GPU 2           70.242            0.000        0.000        0.000        521995                      336467                      
GPU 3           70.164            0.000        0.000        0.000        537675                      336440                      
GPU 4           71.662            0.000        0.000        0.000        517379                      333387                      
GPU 5           72.625            0.000        0.000        0.000        491059                      293482                      
GPU 6           72.268            0.000        0.000        0.000        538223                      343268                      
GPU 7           72.211            0.000        0.000        0.000        526718                      335422                      
GPU 0           97.423            0.000        0.000        0.000        527814                      320252                      
GPU 1           71.283            0.000        0.000        0.000        531853                      335879                      
GPU 2           70.266            0.000        0.000        0.000        518836                      334361                      
GPU 3           70.174            0.000        0.000        0.000        533998                      337483                      
GPU 4           71.662            0.000        0.000        0.000        540352                      335951                      
GPU 5           72.618            0.000        0.000        0.000        535025                      338517                      
GPU 6           72.282            0.000        0.000        0.000        523030                      338030                      
GPU 7           72.196            0.000        0.000        0.000        515722                      331236                      
GPU 0           97.360            0.000        0.000        0.000        544568                      557671                      
GPU 1           71.329            0.000        0.000        0.000        539235                      340625                      
GPU 2           70.265            0.000        0.000        0.000        531949                      343801                      
GPU 3           70.150            0.000        0.000        0.000        552861                      361587                      
GPU 4           71.689            0.000        0.000        0.000        514661                      327035                      
GPU 5           72.662            0.000        0.000        0.000        528747                      330139                      
