#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           96.996            N/A          N/A          N/A          N/A                         N/A                         
GPU 1           71.359            N/A          N/A          N/A          N/A                         N/A                         
GPU 2           70.479            N/A          N/A          N/A          N/A                         N/A                         
GPU 3           70.373            N/A          N/A          N/A          N/A                         N/A                         
GPU 4           71.846            N/A          N/A          N/A          N/A                         N/A                         
GPU 5           72.712            N/A          N/A          N/A          N/A                         N/A                         
GPU 6           72.583            N/A          N/A          N/A          N/A                         N/A                         
GPU 7           72.287            N/A          N/A          N/A          N/A                         N/A                         
GPU 0           96.987            0.000        0.000        0.000        514176                      307143                      
GPU 1           71.342            0.000        0.000        0.000        533999                      334338                      
GPU 2           70.480            0.000        0.000        0.000        516755                      329130                      
GPU 3           70.505            0.000        0.000        0.000        534544                      333828                      
GPU 4           71.853            0.000        0.000        0.000        511495                      322305                      
GPU 5           72.807            0.000        0.000        0.000        521440                      321249                      
GPU 6           72.597            0.000        0.000        0.000        513054                      324392                      
GPU 7           72.317            0.000        0.000        0.000        518847                      329127                      
GPU 0           97.008            0.000        0.000        0.000        523628                      315015                      
GPU 1           71.324            0.000        0.000        0.000        539253                      341160                      
GPU 2           70.581            0.000        0.000        0.000        512544                      329642                      
GPU 3           70.525            0.000        0.000        0.000        534539                      337493                      
GPU 4           71.792            0.000        0.000        0.000        518319                      331745                      
GPU 5           72.790            0.000        0.000        0.000        524037                      326999                      
GPU 6           72.630            0.000        0.000        0.000        512545                      326498                      
GPU 7           72.320            0.000        0.000        0.000        513592                      327545                      
GPU 0           96.915            0.000        0.000        0.000        764741                      578142                      
GPU 1           71.333            0.000        0.000        0.000        832705                      656103                      
GPU 2           70.477            0.000        0.000        0.000        796084                      633618                      
GPU 3           70.492            0.000        0.000        0.000        818060                      643023                      
GPU 4           71.876            0.000        0.000        0.000        797110                      634648                      
GPU 5           72.765            0.000        0.000        0.000        809135                      635150                      
GPU 6           72.648            0.000        0.000        0.000        803771                      640292                      
GPU 7           72.335            0.000        0.000        0.000        798670                      636210                      
GPU 0           96.810            0.000        0.000        0.000        441863                      228532                      
GPU 1           71.331            0.000        0.000        0.000        243685                      51357                       
GPU 2           70.504            0.000        0.000        0.000        437602                      241074                      
GPU 3           70.539            0.000        0.000        0.000        450085                      245739                      
GPU 4           71.800            0.000        0.000        0.000        198627                      13102                       
GPU 5           72.735            0.000        0.000        0.000        256253                      69696                       
GPU 6           72.656            0.000        0.000        0.000        455304                      267733                      
GPU 7           72.312            0.000        0.000        0.000        295051                      116343                      
GPU 0           96.886            0.000        0.000        0.000        313440                      129464                      
GPU 1           71.331            0.000        0.000        0.000        534533                      342206                      
GPU 2           70.542            0.000        0.000        0.000        320221                      150939                      
GPU 3           70.526            0.000        0.000        0.000        327049                      146753                      
GPU 4           71.831            0.000        0.000        0.000        551340                      370529                      
GPU 5           72.788            0.000        0.000        0.000        524050                      322291                      
GPU 6           72.639            0.000        0.000        0.000        298724                      120538                      
GPU 7           72.301            0.000        0.000        0.000        465391                      277767                      
GPU 0           96.905            0.000        0.000        0.000        523106                      314492                      
GPU 1           71.340            0.000        0.000        0.000        529804                      338006                      
GPU 2           70.511            0.000        0.000        0.000        530365                      350607                      
GPU 3           70.541            0.000        0.000        0.000        531922                      334875                      
GPU 4           71.857            0.000        0.000        0.000        512537                      327017                      
GPU 5           72.782            0.000        0.000        0.000        523517                      326478                      
GPU 6           72.622            0.000        0.000        0.000        520396                      333305                      
GPU 7           72.312            0.000        0.000        0.000        512035                      325983                      
GPU 0           96.839            0.000        0.000        0.000        530446                      323404                      
GPU 1           71.331            0.000        0.000        0.000        527717                      335915                      
GPU 2           70.476            0.000        0.000        0.000        523547                      336978                      
GPU 3           70.581            0.000        0.000        0.000        531913                      335917                      
GPU 4           71.864            0.000        0.000        0.000        516223                      330697                      
GPU 5           72.788            0.000        0.000        0.000        530325                      333811                      
GPU 6           72.657            0.000        0.000        0.000        526174                      339602                      
GPU 7           72.305            0.000        0.000        0.000        517784                      332786                      
GPU 0           96.876            0.000        0.000        0.000        533581                      415648                      
GPU 1           71.332            0.000        0.000        0.000        524042                      331195                      
GPU 2           70.537            0.000        0.000        0.000        528282                      341706                      
GPU 3           70.522            0.000        0.000        0.000        535054                      337488                      
GPU 4           71.817            0.000        0.000        0.000        526655                      343767                      
GPU 5           72.821            0.000        0.000        0.000        518807                      321765                      
GPU 6           72.661            0.000        0.000        0.000        521980                      335933                      
GPU 7           72.323            0.000        0.000        0.000        516224                      329650                      
GPU 0           100.026           0.007        0.001        0.005        770477                      3454043                     
GPU 1           71.338            0.000        0.000        0.000        535060                      339063                      
GPU 2           70.581            0.000        0.000        0.000        534031                      345364                      
GPU 3           70.583            0.000        0.000        0.000        540823                      341683                      
GPU 4           71.832            0.000        0.000        0.000        509925                      324927                      
GPU 5           72.781            0.000        0.000        0.000        529273                      331188                      
GPU 6           72.653            0.000        0.000        0.000        520401                      333308                      
GPU 7           72.316            0.000        0.000        0.000        521976                      334358                      
GPU 0           116.026           0.059        0.002        0.032        1713382                     8236187                     
GPU 1           71.371            0.000        0.000        0.000        535057                      335917                      
GPU 2           70.555            0.000        0.000        0.000        519898                      331749                      
GPU 3           70.543            0.000        0.000        0.000        531383                      331197                      
GPU 4           71.820            0.000        0.000        0.000        517268                      327550                      
GPU 5           72.766            0.000        0.000        0.000        527175                      328043                      
GPU 6           72.612            0.000        0.000        0.000        516743                      327026                      
GPU 7           72.309            0.000        0.000        0.000        520420                      329128                      
GPU 0           234.317           0.464        0.019        0.234        8392063                     40299516                    
GPU 1           71.358            0.000        0.000        0.000        242497                      48185                       
GPU 2           70.520            0.000        0.000        0.000        244223                      65510                       
GPU 3           70.449            0.000        0.000        0.000        446499                      238447                      
GPU 4           71.890            0.000        0.000        0.000        198624                      12577                       
GPU 5           72.824            0.000        0.000        0.000        254162                      64457                       
GPU 6           72.435            0.000        0.000        0.000        368421                      183948                      
GPU 7           72.274            0.000        0.000        0.000        242652                      66558                       
GPU 0           234.848           0.464        0.019        0.235        8277362                     40272685                    
GPU 1           71.391            0.000        0.000        0.000        499420                      297660                      
GPU 2           70.513            0.000        0.000        0.000        485297                      288243                      
GPU 3           70.509            0.000        0.000        0.000        295042                      106382                      
GPU 4           71.942            0.000        0.000        0.000        511483                      322821                      
GPU 5           72.781            0.000        0.000        0.000        485777                      278260                      
GPU 6           72.574            0.000        0.000        0.000        343271                      153030                      
GPU 7           72.316            0.000        0.000        0.000        479007                      278809                      
GPU 0           232.076           0.448        0.019        0.228        8187162                     39314311                    
GPU 1           71.352            0.000        0.000        0.000        530858                      331196                      
GPU 2           70.554            0.000        0.000        0.000        527752                      338558                      
GPU 3           70.425            0.000        0.000        0.000        534533                      334345                      
GPU 4           71.888            0.000        0.000        0.000        514114                      324400                      
GPU 5           72.824            0.000        0.000        0.000        533485                      332249                      
GPU 6           72.525            0.000        0.000        0.000        518316                      327026                      
GPU 7           72.328            0.000        0.000        0.000        513605                      323885                      
GPU 0           235.884           0.463        0.019        0.235        8447937                     40294236                    
GPU 1           71.366            0.000        0.000        0.000        539777                      341160                      
GPU 2           70.518            0.000        0.000        0.000        515685                      327544                      
GPU 3           70.469            0.000        0.000        0.000        532452                      333830                      
GPU 4           71.882            0.000        0.000        0.000        514128                      324933                      
GPU 5           72.848            0.000        0.000        0.000        526134                      324904                      
GPU 6           72.661            0.000        0.000        0.000        517257                      329640                      
GPU 7           72.275            0.000        0.000        0.000        533510                      344842                      
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           236.213           0.463        0.019        0.235        8470233                     40365418                    
GPU 1           71.350            0.000        0.000        0.000        536113                      336970                      
GPU 2           70.512            0.000        0.000        0.000        520945                      331748                      
GPU 3           70.528            0.000        0.000        0.000        531907                      331721                      
GPU 4           71.869            0.000        0.000        0.000        518318                      328076                      
GPU 5           72.811            0.000        0.000        0.000        525579                      326456                      
GPU 6           72.633            0.000        0.000        0.000        513075                      323882                      
GPU 7           72.311            0.000        0.000        0.000        515172                      324931                      
GPU 0           232.813           0.448        0.019        0.229        8246405                     39571215                    
GPU 1           71.327            0.000        0.000        0.000        551742                      336913                      
GPU 2           70.492            0.000        0.000        0.000        530379                      342755                      
GPU 3           70.505            0.000        0.000        0.000        541875                      343782                      
GPU 4           71.872            0.000        0.000        0.000        518807                      339058                      
GPU 5           72.806            0.000        0.000        0.000        531390                      333822                      
GPU 6           72.527            0.000        0.000        0.000        526687                      339595                      
GPU 7           72.321            0.000        0.000        0.000        522514                      333843                      
GPU 0           236.500           0.464        0.019        0.234        8374429                     40171998                    
GPU 1           71.356            0.000        0.000        0.000        489996                      296094                      
GPU 2           70.569            0.000        0.000        0.000        441676                      254632                      
GPU 3           70.479            0.000        0.000        0.000        465887                      262553                      
GPU 4           71.865            0.000        0.000        0.000        198625                      20963                       
GPU 5           72.829            0.000        0.000        0.000        447523                      240530                      
GPU 6           72.588            0.000        0.000        0.000        466954                      279858                      
GPU 7           72.265            0.000        0.000        0.000        443864                      252064                      
GPU 0           236.916           0.464        0.019        0.235        8221570                     40136756                    
GPU 1           71.391            0.000        0.000        0.000        247346                      46115                       
GPU 2           70.506            0.000        0.000        0.000        281437                      101673                      
GPU 3           70.468            0.000        0.000        0.000        271978                      78082                       
GPU 4           71.931            0.000        0.000        0.000        523550                      324402                      
GPU 5           72.816            0.000        0.000        0.000        289272                      97996                       
GPU 6           72.584            0.000        0.000        0.000        250512                      61317                       
GPU 7           72.284            0.000        0.000        0.000        270430                      86474                       
GPU 0           232.214           0.439        0.018        0.224        8152635                     39046806                    
GPU 1           71.369            0.000        0.000        0.000        536114                      336447                      
GPU 2           70.608            0.000        0.000        0.000        531937                      345366                      
GPU 3           70.454            0.000        0.000        0.000        532444                      331729                      
GPU 4           71.910            0.000        0.000        0.000        516748                      326505                      
GPU 5           72.836            0.000        0.000        0.000        521410                      321230                      
