#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           96.740            N/A          N/A          N/A          N/A                         N/A                         
GPU 1           71.358            N/A          N/A          N/A          N/A                         N/A                         
GPU 2           70.722            N/A          N/A          N/A          N/A                         N/A                         
GPU 3           70.638            N/A          N/A          N/A          N/A                         N/A                         
GPU 4           71.957            N/A          N/A          N/A          N/A                         N/A                         
GPU 5           72.855            N/A          N/A          N/A          N/A                         N/A                         
GPU 6           72.665            N/A          N/A          N/A          N/A                         N/A                         
GPU 7           72.337            N/A          N/A          N/A          N/A                         N/A                         
GPU 0           96.738            0.000        0.000        0.000        279894                      88580                       
GPU 1           71.340            0.000        0.000        0.000        496271                      290321                      
GPU 2           70.669            0.000        0.000        0.000        281961                      103770                      
GPU 3           70.637            0.000        0.000        0.000        515251                      311876                      
GPU 4           71.919            0.000        0.000        0.000        476423                      278306                      
GPU 5           72.803            0.000        0.000        0.000        488386                      278254                      
GPU 6           72.663            0.000        0.000        0.000        263103                      79664                       
GPU 7           72.334            0.000        0.000        0.000        465964                      269410                      
GPU 0           96.738            0.000        0.000        0.000        512588                      313423                      
GPU 1           71.346            0.000        0.000        0.000        535034                      337475                      
GPU 2           70.663            0.000        0.000        0.000        525130                      338557                      
GPU 3           70.625            0.000        0.000        0.000        536077                      337996                      
GPU 4           72.023            0.000        0.000        0.000        521476                      334373                      
GPU 5           72.836            0.000        0.000        0.000        527705                      329619                      
GPU 6           72.662            0.000        0.000        0.000        519908                      333328                      
GPU 7           72.345            0.000        0.000        0.000        524615                      336466                      
GPU 0           96.758            0.000        0.000        0.000        516290                      308201                      
GPU 1           71.374            0.000        0.000        0.000        534005                      334342                      
GPU 2           70.714            0.000        0.000        0.000        521981                      333837                      
GPU 3           70.633            0.000        0.000        0.000        534515                      334333                      
GPU 4           71.967            0.000        0.000        0.000        517818                      328091                      
GPU 5           72.841            0.000        0.000        0.000        522449                      321749                      
GPU 6           72.661            0.000        0.000        0.000        515704                      327032                      
GPU 7           72.333            0.000        0.000        0.000        518833                      328594                      
GPU 0           96.749            0.000        0.000        0.000        756877                      570803                      
GPU 1           71.364            0.000        0.000        0.000        823281                      649821                      
GPU 2           70.695            0.000        0.000        0.000        809190                      645675                      
GPU 3           70.627            0.000        0.000        0.000        814856                      645072                      
GPU 4           71.974            0.000        0.000        0.000        832318                      672035                      
GPU 5           72.828            0.000        0.000        0.000        817517                      644580                      
GPU 6           72.696            0.000        0.000        0.000        810253                      649355                      
GPU 7           72.331            0.000        0.000        0.000        795564                      635193                      
GPU 0           96.724            0.000        0.000        0.000        513145                      300863                      
GPU 1           71.332            0.000        0.000        0.000        527702                      326473                      
GPU 2           70.734            0.000        0.000        0.000        515165                      322830                      
GPU 3           70.602            0.000        0.000        0.000        532392                      337985                      
GPU 4           71.908            0.000        0.000        0.000        501570                      311319                      
GPU 5           72.829            0.000        0.000        0.000        523512                      320710                      
GPU 6           72.675            0.000        0.000        0.000        507319                      316026                      
GPU 7           72.329            0.000        0.000        0.000        508839                      316518                      
GPU 0           96.727            0.000        0.000        0.000        550360                      353802                      
GPU 1           71.352            0.000        0.000        0.000        572791                      384131                      
GPU 2           70.700            0.000        0.000        0.000        560255                      383112                      
GPU 3           70.612            0.000        0.000        0.000        570542                      384028                      
GPU 4           71.960            0.000        0.000        0.000        558175                      381027                      
GPU 5           72.786            0.000        0.000        0.000        568040                      379392                      
GPU 6           72.656            0.000        0.000        0.000        552174                      376149                      
GPU 7           72.333            0.000        0.000        0.000        555530                      378389                      
GPU 0           96.737            0.000        0.000        0.000        451283                      237435                      
GPU 1           71.350            0.000        0.000        0.000        245248                      50831                       
GPU 2           70.677            0.000        0.000        0.000        430273                      236362                      
GPU 3           70.629            0.000        0.000        0.000        210133                      18864                       
GPU 4           71.941            0.000        0.000        0.000        244738                      67604                       
GPU 5           72.849            0.000        0.000        0.000        254155                      66552                       
GPU 6           72.667            0.000        0.000        0.000        462776                      275150                      
GPU 7           72.338            0.000        0.000        0.000        244139                      70203                       
GPU 0           122.401           0.058        0.003        0.038        1590192                     10803772                    
GPU 1           71.347            0.000        0.000        0.000        500463                      304470                      
GPU 2           70.700            0.000        0.000        0.000        285622                      111104                      
GPU 3           70.572            0.000        0.000        0.000        535025                      333801                      
GPU 4           71.925            0.000        0.000        0.000        471174                      278826                      
GPU 5           72.843            0.000        0.000        0.000        484190                      279824                      
GPU 6           72.704            0.000        0.000        0.000        259956                      77567                       
GPU 7           72.346            0.000        0.000        0.000        474427                      281511                      
GPU 0           220.055           0.355        0.017        0.224        8462646                     62919580                    
GPU 1           71.358            0.000        0.000        0.000        535535                      342700                      
GPU 2           70.621            0.000        0.000        0.000        531944                      346943                      
GPU 3           70.451            0.000        0.000        0.000        537642                      341660                      
GPU 4           71.949            0.000        0.000        0.000        520949                      335944                      
GPU 5           72.762            0.000        0.000        0.000        528230                      332764                      
GPU 6           72.727            0.000        0.000        0.000        522011                      340669                      
GPU 7           72.374            0.000        0.000        0.000        516226                      331747                      
GPU 0           223.344           0.357        0.018        0.225        8759614                     64974479                    
GPU 1           71.430            0.000        0.000        0.000        542376                      345863                      
GPU 2           70.506            0.000        0.000        0.000        535604                      349557                      
GPU 3           70.549            0.000        0.000        0.000        538178                      342715                      
GPU 4           71.906            0.000        0.000        0.000        522533                      336476                      
GPU 5           72.884            0.000        0.000        0.000        532932                      337995                      
GPU 6           72.708            0.000        0.000        0.000        515191                      332280                      
GPU 7           72.390            0.000        0.000        0.000        521454                      338028                      
GPU 0           244.532           0.431        0.020        0.264        12074824                    86716000                    
GPU 1           71.247            0.000        0.000        0.000        536105                      341158                      
GPU 2           70.572            0.000        0.000        0.000        523035                      336985                      
GPU 3           70.524            0.000        0.000        0.000        535548                      340089                      
GPU 4           72.021            0.000        0.000        0.000        523583                      339621                      
GPU 5           72.860            0.000        0.000        0.000        531365                      335378                      
GPU 6           72.704            0.000        0.000        0.000        519913                      335427                      
GPU 7           72.433            0.000        0.000        0.000        517279                      333322                      
GPU 0           248.384           0.435        0.021        0.270        11978598                    85758316                    
GPU 1           71.379            0.000        0.000        0.000        541329                      347960                      
GPU 2           70.565            0.000        0.000        0.000        528279                      345896                      
GPU 3           70.564            0.000        0.000        0.000        543939                      350049                      
GPU 4           71.927            0.000        0.000        0.000        520424                      338564                      
GPU 5           72.899            0.000        0.000        0.000        535566                      341672                      
GPU 6           72.764            0.000        0.000        0.000        517622                      337397                      
GPU 7           72.384            0.000        0.000        0.000        538738                      360556                      
GPU 0           256.963           0.444        0.022        0.277        12188466                    86571812                    
GPU 1           71.380            0.000        0.000        0.000        539775                      344303                      
GPU 2           70.530            0.000        0.000        0.000        526693                      342743                      
GPU 3           70.510            0.000        0.000        0.000        539229                      343765                      
GPU 4           71.915            0.000        0.000        0.000        519386                      334378                      
GPU 5           72.856            0.000        0.000        0.000        530310                      335374                      
GPU 6           72.713            0.000        0.000        0.000        529817                      351639                      
GPU 7           72.366            0.000        0.000        0.000        519885                      335933                      
GPU 0           247.781           0.440        0.022        0.276        11949134                    85265768                    
GPU 1           71.433            0.000        0.000        0.000        475833                      275648                      
GPU 2           70.574            0.000        0.000        0.000        517258                      331737                      
GPU 3           70.528            0.000        0.000        0.000        459562                      262008                      
GPU 4           71.942            0.000        0.000        0.000        516753                      332273                      
GPU 5           72.884            0.000        0.000        0.000        529277                      332763                      
GPU 6           72.726            0.000        0.000        0.000        518323                      332796                      
GPU 7           72.347            0.000        0.000        0.000        523034                      338033                      
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
