#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           139.996           0.189        0.014        0.089        2768606969                  9520226293                  
GPU 1           142.591           0.180        0.013        0.084        2157580643                  5019095520                  
GPU 2           131.599           0.194        0.014        0.091        2680392721                  8919352970                  
GPU 3           128.172           0.180        0.013        0.084        2163183044                  4966474340                  
GPU 4           131.402           0.188        0.014        0.088        2743088397                  9301278027                  
GPU 5           137.442           0.186        0.014        0.087        2177088403                  5369965762                  
GPU 6           138.918           0.187        0.013        0.087        2790152603                  9813334313                  
GPU 7           133.261           0.183        0.013        0.094        2356131834                  5728275209                  
GPU 0           97.607            0.039        0.002        0.018        367078612                   1184292886                  
GPU 1           99.657            0.044        0.003        0.021        368914813                   1081690267                  
GPU 2           99.272            0.031        0.002        0.015        298861454                   985937569                   
GPU 3           97.693            0.048        0.003        0.022        403516925                   1254234069                  
GPU 4           98.176            0.038        0.002        0.018        349898376                   1028449573                  
GPU 5           100.602           0.042        0.002        0.020        357430064                   1151354072                  
GPU 6           100.959           0.038        0.002        0.018        373632963                   1261021624                  
GPU 7           102.077           0.037        0.002        0.018        311156316                   996520247                   
GPU 0           97.462            0.000        0.000        0.000        497947                      280947                      
GPU 1           99.648            0.000        0.000        0.000        491142                      284097                      
GPU 2           99.004            0.000        0.000        0.000        494803                      283044                      
GPU 3           97.494            0.000        0.000        0.000        499512                      283563                      
GPU 4           98.079            0.000        0.000        0.000        481707                      273613                      
GPU 5           100.565           0.000        0.000        0.000        472769                      271501                      
GPU 6           100.830           0.000        0.000        0.000        486407                      273604                      
GPU 7           101.906           0.000        0.000        0.000        488511                      274656                      
GPU 0           97.279            0.000        0.000        0.000        496367                      280418                      
GPU 1           99.525            0.000        0.000        0.000        492188                      283047                      
GPU 2           98.987            0.000        0.000        0.000        495326                      281471                      
GPU 3           97.428            0.000        0.000        0.000        498989                      283564                      
GPU 4           97.977            0.000        0.000        0.000        484327                      272041                      
GPU 5           100.498           0.000        0.000        0.000        480133                      271516                      
GPU 6           100.568           0.000        0.000        0.000        482742                      270985                      
GPU 7           101.741           0.000        0.000        0.000        483806                      274663                      
GPU 0           97.237            0.000        0.000        0.000        714432                      518920                      
GPU 1           99.399            0.000        0.000        0.000        714874                      524625                      
GPU 2           99.009            0.000        0.000        0.000        721238                      524680                      
GPU 3           97.461            0.000        0.000        0.000        726483                      528351                      
GPU 4           97.928            0.000        0.000        0.000        711785                      517328                      
GPU 5           100.478           0.000        0.000        0.000        705530                      517877                      
GPU 6           100.521           0.000        0.000        0.000        709718                      516301                      
GPU 7           101.618           0.000        0.000        0.000        710240                      515775                      
GPU 0           97.237            0.000        0.000        0.000        424042                      518920                      
GPU 1           99.294            0.000        0.000        0.000        427717                      524625                      
GPU 2           99.009            0.000        0.000        0.000        432951                      524680                      
GPU 3           97.400            0.000        0.000        0.000        726483                      57132                       
GPU 4           97.928            0.000        0.000        0.000        247403                      58705                       
GPU 5           100.478           0.000        0.000        0.000        705530                      154387                      
GPU 6           100.521           0.000        0.000        0.000        418832                      208701                      
GPU 7           101.618           0.000        0.000        0.000        242686                      515775                      
GPU 0           97.200            0.000        0.000        0.000        275179                      79146                       
GPU 1           99.323            0.000        0.000        0.000        252123                      66569                       
GPU 2           98.920            0.000        0.000        0.000        261029                      66043                       
GPU 3           97.398            0.000        0.000        0.000        451283                      229572                      
GPU 4           97.697            0.000        0.000        0.000        456015                      236394                      
GPU 5           100.052           0.000        0.000        0.000        321317                      124228                      
GPU 6           100.511           0.000        0.000        0.000        258930                      63422                       
GPU 7           101.598           0.000        0.000        0.000        451309                      229061                      
GPU 0           97.173            0.000        0.000        0.000        495852                      279899                      
GPU 1           99.284            0.000        0.000        0.000        487475                      280429                      
GPU 2           98.945            0.000        0.000        0.000        489569                      280428                      
GPU 3           97.300            0.000        0.000        0.000        498989                      283040                      
GPU 4           97.663            0.000        0.000        0.000        501625                      290387                      
GPU 5           100.047           0.000        0.000        0.000        495757                      287706                      
GPU 6           100.469           0.000        0.000        0.000        502655                      290901                      
GPU 7           101.587           0.000        0.000        0.000        499516                      286711                      
GPU 0           97.154            0.000        0.000        0.000        514714                      305055                      
GPU 1           99.283            0.000        0.000        0.000        511587                      309258                      
GPU 2           98.921            0.000        0.000        0.000        514725                      308730                      
GPU 3           97.195            0.000        0.000        0.000        518376                      309243                      
GPU 4           97.634            0.000        0.000        0.000        519973                      315548                      
GPU 5           99.963            0.000        0.000        0.000        519438                      315541                      
GPU 6           100.462           0.000        0.000        0.000        525203                      318162                      
GPU 7           101.531           0.000        0.000        0.000        519446                      313450                      
GPU 0           97.119            0.000        0.000        0.000        500045                      284092                      
GPU 1           99.275            0.000        0.000        0.000        493232                      284617                      
GPU 2           98.862            0.000        0.000        0.000        497950                      285666                      
GPU 3           97.124            0.000        0.000        0.000        502138                      286711                      
GPU 4           97.623            0.000        0.000        0.000        503715                      292479                      
GPU 5           100.033           0.000        0.000        0.000        500583                      293535                      
GPU 6           100.451           0.000        0.000        0.000        505814                      294053                      
GPU 7           101.580           0.000        0.000        0.000        501100                      289862                      
GPU 0           97.040            0.000        0.000        0.000        498999                      283046                      
GPU 1           99.275            0.000        0.000        0.000        493765                      286719                      
GPU 2           98.687            0.000        0.000        0.000        501088                      287758                      
GPU 3           97.055            0.000        0.000        0.000        502543                      287691                      
GPU 4           97.550            0.000        0.000        0.000        500795                      290733                      
GPU 5           99.954            0.000        0.000        0.000        506859                      296148                      
GPU 6           100.399           0.000        0.000        0.000        506333                      295098                      
GPU 7           101.535           0.000        0.000        0.000        504236                      291953                      
GPU 0           97.040            0.000        0.000        0.000        185437939                   283046                      
GPU 1           100.484           0.006        0.000        0.000        87433145                    286719                      
GPU 2           98.687            0.012        0.001        0.003        453360501                   287758                      
GPU 3           101.121           0.005        0.000        0.000        502543                      117609356                   
GPU 4           97.550            0.000        0.000        0.001        226104682                   1960159640                  
GPU 5           99.954            0.000        0.000        0.000        506859                      404362704                   
GPU 6           100.399           0.000        0.000        0.002        312597509                   2296930957                  
GPU 7           101.535           0.010        0.000        0.000        134723785                   291953                      
GPU 0           164.714           0.160        0.011        0.070        2673514545                  10292171696                 
GPU 1           164.313           0.163        0.011        0.072        2072555170                  5341837074                  
GPU 2           161.962           0.192        0.013        0.088        2827046863                  8696083235                  
GPU 3           161.115           0.160        0.011        0.071        1940466637                  4293368856                  
GPU 4           159.028           0.161        0.011        0.071        2677050694                  10192665114                 
GPU 5           166.021           0.174        0.012        0.079        2186048020                  5745211968                  
GPU 6           165.230           0.178        0.012        0.080        2806432102                  9650176906                  
GPU 7           160.576           0.180        0.013        0.082        2195639924                  5296047475                  
GPU 0           186.801           0.238        0.018        0.115        3101042789                  8274438585                  
GPU 1           191.966           0.235        0.017        0.113        2674305386                  6705029081                  
GPU 2           181.196           0.237        0.017        0.115        3087494430                  8033340106                  
GPU 3           180.771           0.238        0.018        0.116        2595275518                  5765210604                  
GPU 4           185.224           0.237        0.017        0.114        3047129911                  7499183033                  
GPU 5           189.381           0.236        0.017        0.115        2712311495                  7182523752                  
GPU 6           190.545           0.235        0.017        0.114        3110880828                  8487692718                  
GPU 7           186.155           0.238        0.017        0.115        2665441765                  6638910002                  
GPU 0           177.172           0.239        0.017        0.115        3115525547                  8046486820                  
GPU 1           188.144           0.237        0.017        0.113        2691662500                  6826549642                  
GPU 2           172.540           0.212        0.015        0.102        2770724794                  7488916654                  
GPU 3           170.570           0.240        0.017        0.116        2630777834                  5823193864                  
GPU 4           183.712           0.239        0.017        0.115        3080974354                  7772586557                  
GPU 5           184.195           0.232        0.017        0.112        2607590644                  6791174379                  
GPU 6           182.604           0.223        0.016        0.107        2926614425                  8047925564                  
GPU 7           181.955           0.224        0.016        0.108        2495774558                  6179306226                  
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           134.119           0.104        0.026        0.030        2744954180                  10786403452                 
GPU 1           138.891           0.099        0.025        0.028        1866231628                  3744856875                  
GPU 2           136.678           0.100        0.026        0.027        2702062939                  10240669212                 
GPU 3           135.024           0.104        0.026        0.031        1835632103                  3169539389                  
GPU 4           134.637           0.102        0.026        0.030        2671789120                  10015428626                 
GPU 5           142.478           0.098        0.026        0.027        1890193096                  4135846988                  
GPU 6           140.147           0.098        0.026        0.027        2759641400                  10705462676                 
GPU 7           139.480           0.100        0.026        0.027        1918867225                  4111514905                  
GPU 0           112.528           0.051        0.004        0.011        2190283953                  14225493198                 
GPU 1           116.187           0.050        0.004        0.011        1061354087                  2522519460                  
GPU 2           110.646           0.052        0.004        0.012        1952437000                  10985219314                 
GPU 3           113.326           0.051        0.004        0.011        1033598339                  1908257077                  
GPU 4           111.829           0.051        0.004        0.011        2228100519                  14697596351                 
GPU 5           116.744           0.052        0.004        0.012        1095376739                  2941330655                  
GPU 6           114.311           0.051        0.004        0.011        2267840062                  14900100755                 
GPU 7           118.551           0.052        0.004        0.012        1088304539                  2838518276                  
GPU 0           112.528           0.051        0.006        0.011        2249022255                  14225493198                 
GPU 1           117.908           0.055        0.004        0.011        1025441472                  2522519460                  
GPU 2           110.646           0.057        0.004        0.015        1886222782                  10985219314                 
GPU 3           113.326           0.056        0.006        0.011        1033598339                  1663301435                  
GPU 4           111.829           0.051        0.004        0.014        2228100519                  13086222485                 
GPU 5           116.744           0.052        0.004        0.012        1095376739                  2160081952                  
GPU 6           114.311           0.051        0.004        0.015        2302903686                  14900100755                 
GPU 7           118.551           0.056        0.004        0.012        1064063410                  2838518276                  
GPU 0           116.071           0.059        0.007        0.017        2226364788                  14229017762                 
GPU 1           119.552           0.058        0.006        0.017        1008920156                  1545519733                  
GPU 2           116.559           0.059        0.007        0.017        1840018791                  9953503089                  
GPU 3           118.081           0.059        0.006        0.017        1044722047                  2206841469                  
GPU 4           118.915           0.059        0.007        0.017        2094102744                  12771880215                 
GPU 5           122.798           0.059        0.007        0.017        1033928001                  2023719119                  
GPU 6           119.331           0.058        0.006        0.017        2326914129                  15565573034                 
GPU 7           120.872           0.059        0.006        0.017        1039354240                  2064509730                  
GPU 0           116.174           0.058        0.007        0.017        2153883983                  14372942654                 
GPU 1           121.895           0.058        0.006        0.017        927410604                   1433330251                  
GPU 2           115.240           0.059        0.007        0.017        1891843218                  10722302504                 
