#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           96.447            N/A          N/A          N/A          N/A                         N/A                         
GPU 1           97.819            N/A          N/A          N/A          N/A                         N/A                         
GPU 2           98.050            N/A          N/A          N/A          N/A                         N/A                         
GPU 3           96.482            N/A          N/A          N/A          N/A                         N/A                         
GPU 4           97.489            N/A          N/A          N/A          N/A                         N/A                         
GPU 5           98.044            N/A          N/A          N/A          N/A                         N/A                         
GPU 6           98.663            N/A          N/A          N/A          N/A                         N/A                         
GPU 7           100.456           N/A          N/A          N/A          N/A                         N/A                         
GPU 0           96.412            0.000        0.000        0.000        266265                      76001                       
GPU 1           97.823            0.000        0.000        0.000        255271                      71287                       
GPU 2           98.077            0.000        0.000        0.000        254218                      57133                       
GPU 3           96.480            0.000        0.000        0.000        483787                      269411                      
GPU 4           97.518            0.000        0.000        0.000        269415                      81243                       
GPU 5           98.043            0.000        0.000        0.000        268901                      89633                       
GPU 6           98.649            0.000        0.000        0.000        265745                      79147                       
GPU 7           100.410           0.000        0.000        0.000        269419                      81245                       
GPU 0           96.418            0.000        0.000        0.000        515760                      320253                      
GPU 1           97.836            0.000        0.000        0.000        505826                      321842                      
GPU 2           98.085            0.000        0.000        0.000        514205                      323933                      
GPU 3           96.482            0.000        0.000        0.000        518909                      323401                      
GPU 4           97.465            0.000        0.000        0.000        504765                      310826                      
GPU 5           98.044            0.000        0.000        0.000        495333                      311876                      
GPU 6           98.660            0.000        0.000        0.000        497946                      311347                      
GPU 7           100.460           0.000        0.000        0.000        505287                      313970                      
GPU 0           96.431            0.000        0.000        0.000        515232                      308195                      
GPU 1           97.854            0.000        0.000        0.000        505815                      308730                      
GPU 2           98.129            0.000        0.000        0.000        508970                      308736                      
GPU 3           96.480            0.000        0.000        0.000        517333                      310819                      
GPU 4           97.486            0.000        0.000        0.000        501086                      299813                      
GPU 5           98.032            0.000        0.000        0.000        492722                      297729                      
GPU 6           98.693            0.000        0.000        0.000        501096                      300343                      
GPU 7           100.530           0.000        0.000        0.000        502669                      300867                      
GPU 0           96.443            0.000        0.000        0.000        679822                      489031                      
GPU 1           97.845            0.000        0.000        0.000        685093                      507922                      
GPU 2           98.055            0.000        0.000        0.000        738562                      553528                      
GPU 3           96.492            0.000        0.000        0.000        666199                      469642                      
GPU 4           97.481            0.000        0.000        0.000        677220                      490093                      
GPU 5           98.055            0.000        0.000        0.000        659392                      478557                      
GPU 6           98.671            0.000        0.000        0.000        675129                      492194                      
GPU 7           100.541           0.000        0.000        0.000        678266                      492188                      
GPU 0           96.430            0.000        0.000        0.000        265739                      70234                       
GPU 1           97.851            0.000        0.000        0.000        244790                      57659                       
GPU 2           98.039            0.000        0.000        0.000        209658                      13627                       
GPU 3           96.480            0.000        0.000        0.000        286705                      96966                       
GPU 4           97.477            0.000        0.000        0.000        261555                      68140                       
GPU 5           98.028            0.000        0.000        0.000        262086                      78626                       
GPU 6           98.680            0.000        0.000        0.000        257365                      66569                       
GPU 7           100.482           0.000        0.000        0.000        262076                      68139                       
GPU 0           96.412            0.000        0.000        0.000        515238                      319731                      
GPU 1           97.843            0.000        0.000        0.000        504770                      320788                      
GPU 2           98.062            0.000        0.000        0.000        513678                      322359                      
GPU 3           96.492            0.000        0.000        0.000        515238                      321303                      
GPU 4           97.486            0.000        0.000        0.000        505283                      312919                      
GPU 5           98.056            0.000        0.000        0.000        494294                      310310                      
GPU 6           98.662            0.000        0.000        0.000        504228                      312391                      
GPU 7           100.574           0.000        0.000        0.000        505820                      313975                      
GPU 0           96.470            0.000        0.000        0.000        552975                      353275                      
GPU 1           97.833            0.000        0.000        0.000        546188                      357486                      
GPU 2           98.101            0.000        0.000        0.000        552474                      359055                      
GPU 3           96.469            0.000        0.000        0.000        558221                      359043                      
GPU 4           97.499            0.000        0.000        0.000        550896                      355383                      
GPU 5           98.008            0.000        0.000        0.000        542506                      351711                      
GPU 6           98.642            0.000        0.000        0.000        546688                      352228                      
GPU 7           100.496           0.000        0.000        0.000        551411                      353280                      
GPU 0           96.435            0.000        0.000        0.000        527812                      321300                      
GPU 1           97.812            0.000        0.000        0.000        515249                      319213                      
GPU 2           98.025            0.000        0.000        0.000        524159                      319737                      
GPU 3           96.509            0.000        0.000        0.000        528864                      322350                      
GPU 4           97.524            0.000        0.000        0.000        514728                      313449                      
GPU 5           98.054            0.000        0.000        0.000        508970                      314502                      
GPU 6           98.669            0.000        0.000        0.000        517347                      315021                      
GPU 7           100.592           0.000        0.000        0.000        517353                      315548                      
GPU 0           96.443            0.000        0.000        0.000        445004                      233247                      
GPU 1           97.805            0.000        0.000        0.000        440828                      237449                      
GPU 2           98.159            0.000        0.000        0.000        473848                      273092                      
GPU 3           96.471            0.000        0.000        0.000        209659                      19917                       
GPU 4           97.495            0.000        0.000        0.000        410418                      203374                      
GPU 5           98.054            0.000        0.000        0.000        236921                      58706                       
GPU 6           98.680            0.000        0.000        0.000        317114                      126845                      
GPU 7           100.551           0.000        0.000        0.000        246355                      63947                       
GPU 0           127.505           0.066        0.022        0.017        2985917192                  2717937351                  
GPU 1           129.989           0.070        0.024        0.018        2771655504                  3446220706                  
GPU 2           134.162           0.080        0.027        0.021        3547551010                  3181047502                  
GPU 3           129.143           0.049        0.016        0.013        1956213066                  2393305540                  
GPU 4           129.637           0.066        0.022        0.017        2977650185                  2733474152                  
GPU 5           130.070           0.063        0.022        0.017        2457267939                  3023279504                  
GPU 6           130.236           0.069        0.023        0.018        3106398311                  2756296279                  
GPU 7           133.440           0.067        0.023        0.018        2621295923                  3261740705                  
GPU 0           105.811           0.030        0.010        0.008        1356926778                  1621365548                  
GPU 1           108.451           0.025        0.008        0.007        978731932                   1306316050                  
GPU 2           105.217           0.017        0.005        0.004        777345321                   957764314                   
GPU 3           104.563           0.046        0.016        0.012        1789588910                  2323331637                  
GPU 4           107.296           0.030        0.010        0.008        1355020770                  1643846957                  
GPU 5           109.227           0.033        0.011        0.009        1295879428                  1704546955                  
GPU 6           109.544           0.027        0.009        0.007        1247959750                  1569444946                  
GPU 7           107.330           0.029        0.010        0.008        1135897741                  1629368065                  
GPU 0           96.490            0.000        0.000        0.000        516808                      309770                      
GPU 1           97.797            0.000        0.000        0.000        493202                      308710                      
GPU 2           98.430            0.000        0.000        0.000        515248                      311350                      
GPU 3           96.731            0.001        0.000        0.000        5334718                     21799595                    
GPU 4           97.621            0.000        0.000        0.000        506859                      301914                      
GPU 5           98.123            0.000        0.000        0.000        498478                      302966                      
GPU 6           99.068            0.000        0.000        0.000        502126                      302953                      
GPU 7           100.569           0.000        0.000        0.000        507379                      304532                      
GPU 0           98.384            0.007        0.000        0.002        213672850                   2302960997                  
GPU 1           99.948            0.006        0.000        0.002        93787037                    836377474                   
GPU 2           101.449           0.008        0.000        0.002        252137768                   2656519516                  
GPU 3           99.096            0.006        0.000        0.002        97736018                    934816289                   
GPU 4           99.583            0.007        0.000        0.002        204206207                   2182294437                  
GPU 5           99.813            0.005        0.000        0.002        64254100                    187871893                   
GPU 6           100.799           0.008        0.000        0.002        253030978                   2893264358                  
GPU 7           102.334           0.006        0.000        0.002        97542422                    929118073                   
GPU 0           178.868           0.213        0.015        0.100        2697881216                  7627073050                  
GPU 1           183.582           0.215        0.015        0.101        2307299296                  5483794814                  
GPU 2           179.215           0.230        0.016        0.109        2857517061                  7308748913                  
GPU 3           176.171           0.190        0.013        0.089        2010731282                  4966900321                  
GPU 4           181.246           0.211        0.015        0.100        2756436876                  8473152428                  
GPU 5           179.383           0.206        0.015        0.098        2268832493                  6923190818                  
GPU 6           178.773           0.214        0.015        0.101        2765865710                  8375790673                  
GPU 7           178.562           0.214        0.015        0.101        2335928828                  7091302740                  
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           188.339           0.245        0.018        0.116        2969113564                  7208645465                  
GPU 1           195.063           0.246        0.018        0.117        2580393844                  6197423449                  
GPU 2           182.772           0.244        0.018        0.116        3033448781                  7900185917                  
GPU 3           182.892           0.246        0.018        0.118        2580841545                  6373154214                  
GPU 4           188.690           0.243        0.018        0.116        3050793703                  8352668085                  
GPU 5           191.053           0.243        0.018        0.117        2645089767                  7785386780                  
GPU 6           190.619           0.242        0.017        0.116        3019469349                  8122578041                  
GPU 7           186.341           0.244        0.018        0.117        2628608194                  7392302992                  
GPU 0           156.472           0.173        0.012        0.083        2137888556                  5152718575                  
GPU 1           159.382           0.165        0.012        0.079        1774432251                  4205357706                  
GPU 2           150.335           0.156        0.011        0.075        1930615196                  4846712725                  
