#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           95.886            0.000        0.000        0.000        553927                      221992                      
GPU 1           97.389            0.000        0.000        0.000        422927                      223981                      
GPU 2           97.593            0.000        0.000        0.000        427496                      223406                      
GPU 3           96.363            0.000        0.000        0.000        432031                      223126                      
GPU 4           97.053            0.000        0.000        0.000        429075                      223774                      
GPU 5           97.574            0.000        0.000        0.000        422357                      223339                      
GPU 6           98.134            0.000        0.000        0.000        424939                      223521                      
GPU 7           99.687            0.000        0.000        0.000        428111                      223616                      
GPU 0           95.884            0.000        0.000        0.000        514713                      307674                      
GPU 1           97.396            0.000        0.000        0.000        475947                      278859                      
GPU 2           97.544            0.000        0.000        0.000        510521                      307151                      
GPU 3           96.265            0.000        0.000        0.000        514194                      308726                      
GPU 4           97.094            0.000        0.000        0.000        497954                      297724                      
GPU 5           97.568            0.000        0.000        0.000        457074                      255793                      
GPU 6           98.192            0.000        0.000        0.000        497430                      299296                      
GPU 7           99.679            0.000        0.000        0.000        495619                      283044                      
GPU 0           95.924            0.000        0.000        0.000        514184                      306623                      
GPU 1           97.377            0.000        0.000        0.000        510545                      314504                      
GPU 2           97.569            0.000        0.000        0.000        514198                      310301                      
GPU 3           96.329            0.000        0.000        0.000        516801                      310814                      
GPU 4           97.038            0.000        0.000        0.000        502499                      300242                      
GPU 5           97.517            0.000        0.000        0.000        493246                      297205                      
GPU 6           98.179            0.000        0.000        0.000        498477                      300344                      
GPU 7           99.701            0.000        0.000        0.000        500581                      299300                      
GPU 0           95.892            0.000        0.000        0.000        513670                      306630                      
GPU 1           97.417            0.000        0.000        0.000        506344                      310830                      
GPU 2           97.583            0.000        0.000        0.000        501096                      305060                      
GPU 3           96.139            0.000        0.000        0.000        516292                      309251                      
GPU 4           96.998            0.000        0.000        0.000        502141                      300341                      
GPU 5           97.567            0.000        0.000        0.000        492723                      298779                      
GPU 6           98.197            0.000        0.000        0.000        499530                      300347                      
GPU 7           99.704            0.000        0.000        0.000        507913                      304538                      
GPU 0           95.925            0.000        0.000        0.000        436098                      256312                      
GPU 1           97.385            0.000        0.000        0.000        446068                      283575                      
GPU 2           97.538            0.000        0.000        0.000        435567                      261026                      
GPU 3           96.033            0.000        0.000        0.000        438182                      259449                      
GPU 4           97.038            0.000        0.000        0.000        436101                      260507                      
GPU 5           97.567            0.000        0.000        0.000        463886                      301394                      
GPU 6           98.162            0.000        0.000        0.000        430853                      262600                      
GPU 7           99.718            0.000        0.000        0.000        446020                      278286                      
GPU 0           95.937            0.000        0.000        0.000        515233                      307672                      
GPU 1           97.378            0.000        0.000        0.000        476989                      278331                      
GPU 2           97.620            0.000        0.000        0.000        507388                      308207                      
GPU 3           96.137            0.000        0.000        0.000        512621                      307153                      
GPU 4           97.077            0.000        0.000        0.000        498478                      298772                      
GPU 5           97.567            0.000        0.000        0.000        456556                      254749                      
GPU 6           98.143            0.000        0.000        0.000        497957                      293008                      
GPU 7           99.729            0.000        0.000        0.000        464934                      254744                      
GPU 0           95.977            0.000        0.000        0.000        545114                      336503                      
GPU 1           97.462            0.000        0.000        0.000        529935                      336516                      
GPU 2           97.573            0.000        0.000        0.000        505801                      298239                      
GPU 3           96.058            0.000        0.000        0.000        512090                      307673                      
GPU 4           97.020            0.000        0.000        0.000        501100                      301394                      
GPU 5           97.564            0.000        0.000        0.000        526781                      332317                      
GPU 6           98.192            0.000        0.000        0.000        495842                      299287                      
GPU 7           99.656            0.000        0.000        0.000        532023                      329697                      
GPU 0           95.959            0.000        0.000        0.000        524146                      322874                      
GPU 1           97.447            0.000        0.000        0.000        519982                      324989                      
GPU 2           97.593            0.000        0.000        0.000        550892                      359049                      
GPU 3           96.212            0.000        0.000        0.000        558208                      351697                      
GPU 4           97.063            0.000        0.000        0.000        545648                      347516                      
GPU 5           97.525            0.000        0.000        0.000        512111                      315024                      
GPU 6           98.171            0.000        0.000        0.000        544601                      345945                      
GPU 7           99.822            0.000        0.000        0.000        517868                      313971                      
GPU 0           95.970            0.000        0.000        0.000        523627                      316587                      
GPU 1           97.460            0.000        0.000        0.000        516303                      320789                      
GPU 2           97.538            0.000        0.000        0.000        463880                      266796                      
GPU 3           96.234            0.000        0.000        0.000        527298                      321305                      
GPU 4           97.032            0.000        0.000        0.000        513678                      312924                      
GPU 5           97.564            0.000        0.000        0.000        508967                      312928                      
GPU 6           98.170            0.000        0.000        0.000        515775                      314497                      
GPU 7           99.755            0.000        0.000        0.000        519972                      318168                      
GPU 0           95.956            0.000        0.000        0.000        210184                      13103                       
GPU 1           97.382            0.000        0.000        0.000        229063                      45602                       
GPU 2           97.579            0.000        0.000        0.000        254213                      58180                       
GPU 3           96.290            0.000        0.000        0.000        210176                      13627                       
GPU 4           97.034            0.000        0.000        0.000        204947                      13104                       
GPU 5           97.565            0.000        0.000        0.000        237972                      57658                       
GPU 6           98.151            0.000        0.000        0.000        203895                      13103                       
GPU 7           99.825            0.000        0.000        0.000        245301                      59228                       
