#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           97.306            N/A          N/A          N/A          N/A                         N/A                         
GPU 1           98.309            N/A          N/A          N/A          N/A                         N/A                         
GPU 2           99.016            N/A          N/A          N/A          N/A                         N/A                         
GPU 3           97.422            N/A          N/A          N/A          N/A                         N/A                         
GPU 4           98.256            N/A          N/A          N/A          N/A                         N/A                         
GPU 5           98.587            N/A          N/A          N/A          N/A                         N/A                         
GPU 6           99.570            N/A          N/A          N/A          N/A                         N/A                         
GPU 7           101.542           N/A          N/A          N/A          N/A                         N/A                         
GPU 0           97.207            0.000        0.000        0.000        505268                      287751                      
GPU 1           98.268            0.000        0.000        0.000        489563                      282520                      
GPU 2           99.181            0.000        0.000        0.000        491136                      280948                      
GPU 3           97.478            0.000        0.000        0.000        494267                      277796                      
GPU 4           98.327            0.000        0.000        0.000        485371                      272562                      
GPU 5           98.594            0.000        0.000        0.000        475926                      268887                      
GPU 6           99.591            0.000        0.000        0.000        482754                      270992                      
GPU 7           101.558           0.000        0.000        0.000        485374                      272564                      
GPU 0           96.981            0.000        0.000        0.000        492634                      278809                      
GPU 1           98.287            0.000        0.000        0.000        488000                      281478                      
GPU 2           99.094            0.000        0.000        0.000        493763                      282000                      
GPU 3           97.497            0.000        0.000        0.000        492124                      278817                      
GPU 4           98.375            0.000        0.000        0.000        481703                      270991                      
GPU 5           98.604            0.000        0.000        0.000        467581                      270484                      
GPU 6           99.594            0.000        0.000        0.000        482760                      272044                      
GPU 7           101.575           0.000        0.000        0.000        484321                      273085                      
GPU 0           97.129            0.000        0.000        0.000        498984                      281988                      
GPU 1           98.290            0.000        0.000        0.000        493244                      286721                      
GPU 2           98.966            0.000        0.000        0.000        495840                      280941                      
GPU 3           97.408            0.000        0.000        0.000        495317                      280941                      
GPU 4           98.339            0.000        0.000        0.000        481680                      270453                      
GPU 5           98.583            0.000        0.000        0.000        475939                      269943                      
GPU 6           99.546            0.000        0.000        0.000        486932                      272032                      
GPU 7           101.593           0.000        0.000        0.000        484837                      272033                      
GPU 0           97.129            0.000        0.000        0.000        441324                      281988                      
GPU 1           98.300            0.000        0.000        0.000        228011                      286721                      
GPU 2           98.966            0.000        0.000        0.000        243735                      280941                      
GPU 3           97.437            0.000        0.000        0.000        495317                      188164                      
GPU 4           98.339            0.000        0.000        0.000        369526                      164059                      
GPU 5           98.583            0.000        0.000        0.000        475939                      57134                       
GPU 6           99.546            0.000        0.000        0.000        244783                      58706                       
GPU 7           101.593           0.000        0.000        0.000        243731                      272033                      
GPU 0           97.018            0.000        0.000        0.000        264167                      67614                       
GPU 1           98.308            0.000        0.000        0.000        456557                      245314                      
GPU 2           98.982            0.000        0.000        0.000        454324                      235284                      
GPU 3           97.449            0.000        0.000        0.000        302429                      102207                      
GPU 4           98.370            0.000        0.000        0.000        322357                      123177                      
GPU 5           98.554            0.000        0.000        0.000        434498                      223800                      
GPU 6           99.604            0.000        0.000        0.000        448151                      226958                      
GPU 7           101.560           0.000        0.000        0.000        447104                      224862                      
GPU 0           96.992            0.000        0.000        0.000        497408                      280414                      
GPU 1           98.280            0.000        0.000        0.000        490622                      282527                      
GPU 2           98.976            0.000        0.000        0.000        491140                      280426                      
GPU 3           97.449            0.000        0.000        0.000        495835                      279889                      
GPU 4           98.343            0.000        0.000        0.000        484324                      272039                      
GPU 5           98.590            0.000        0.000        0.000        471268                      269970                      
GPU 6           99.563            0.000        0.000        0.000        486421                      273087                      
GPU 7           101.614           0.000        0.000        0.000        482226                      271514                      
GPU 0           97.137            0.000        0.000        0.000        493219                      278320                      
GPU 1           98.325            0.000        0.000        0.000        491666                      286718                      
GPU 2           99.070            0.000        0.000        0.000        491139                      280426                      
GPU 3           97.448            0.000        0.000        0.000        493744                      277796                      
GPU 4           98.367            0.000        0.000        0.000        484844                      272036                      
GPU 5           98.609            0.000        0.000        0.000        475421                      270995                      
GPU 6           99.560            0.000        0.000        0.000        485372                      272039                      
GPU 7           101.551           0.000        0.000        0.000        484304                      273600                      
GPU 0           97.088            0.000        0.000        0.000        497414                      279894                      
GPU 1           98.281            0.000        0.000        0.000        486919                      281983                      
GPU 2           99.049            0.000        0.000        0.000        491652                      279371                      
GPU 3           97.451            0.000        0.000        0.000        496370                      280420                      
GPU 4           98.383            0.000        0.000        0.000        489027                      275176                      
GPU 5           98.614            0.000        0.000        0.000        477514                      269421                      
GPU 6           99.554            0.000        0.000        0.000        485895                      272562                      
GPU 7           101.567           0.000        0.000        0.000        482223                      270464                      
GPU 0           97.144            0.000        0.000        0.000        439226                      225903                      
GPU 1           98.225            0.000        0.000        0.000        236930                      56611                       
GPU 2           99.028            0.000        0.000        0.000        430337                      218051                      
GPU 3           97.449            0.000        0.000        0.000        441320                      225901                      
GPU 4           98.315            0.000        0.000        0.000        429278                      220142                      
GPU 5           98.606            0.000        0.000        0.000        236925                      59755                       
GPU 6           99.589            0.000        0.000        0.000        241116                      60803                       
GPU 7           101.577           0.000        0.000        0.000        243186                      61320                       
GPU 0           97.196            0.000        0.000        0.000        266788                      66566                       
GPU 1           98.295            0.000        0.000        0.000        449741                      239023                      
GPU 2           99.077            0.000        0.000        0.000        269941                      76003                       
GPU 3           97.423            0.000        0.000        0.000        263119                      65517                       
GPU 4           98.328            0.000        0.000        0.000        256838                      63947                       
GPU 5           98.578            0.000        0.000        0.000        437677                      224342                      
GPU 6           99.572            0.000        0.000        0.000        449197                      225385                      
GPU 7           101.531           0.000        0.000        0.000        446095                      224358                      
GPU 0           97.097            0.000        0.000        0.000        482737                      266789                      
GPU 1           98.228            0.000        0.000        0.000        478551                      272559                      
GPU 2           99.105            0.000        0.000        0.000        485370                      278327                      
GPU 3           97.459            0.000        0.000        0.000        485876                      270455                      
GPU 4           98.405            0.000        0.000        0.000        492709                      280949                      
GPU 5           98.664            0.000        0.000        0.000        484856                      277809                      
GPU 6           99.608            0.000        0.000        0.000        494809                      282523                      
GPU 7           101.538           0.000        0.000        0.000        489558                      277800                      
GPU 0           97.286            0.000        0.000        0.000        487453                      271506                      
GPU 1           98.261            0.000        0.000        0.000        480090                      272540                      
GPU 2           99.068            0.000        0.000        0.000        486940                      273085                      
GPU 3           97.467            0.000        0.000        0.000        485882                      269934                      
GPU 4           98.385            0.000        0.000        0.000        494792                      282514                      
GPU 5           98.639            0.000        0.000        0.000        485910                      279385                      
GPU 6           99.589            0.000        0.000        0.000        493759                      280949                      
GPU 7           101.588           0.000        0.000        0.000        487474                      276235                      
GPU 0           97.227            0.000        0.000        0.000        493745                      277273                      
GPU 1           98.253            0.000        0.000        0.000        487995                      280951                      
GPU 2           99.077            0.000        0.000        0.000        490609                      277802                      
GPU 3           97.421            0.000        0.000        0.000        496369                      280419                      
GPU 4           98.302            0.000        0.000        0.000        481184                      269421                      
GPU 5           98.608            0.000        0.000        0.000        473845                      268896                      
GPU 6           99.553            0.000        0.000        0.000        483790                      270985                      
GPU 7           101.546           0.000        0.000        0.000        468562                      267825                      
GPU 0           97.306            0.000        0.000        0.000        447616                      235339                      
GPU 1           98.200            0.000        0.000        0.000        429818                      224344                      
GPU 2           99.156            0.000        0.000        0.000        433480                      225913                      
GPU 3           97.432            0.000        0.000        0.000        449707                      235860                      
GPU 4           98.295            0.000        0.000        0.000        449196                      239536                      
GPU 5           98.628            0.000        0.000        0.000        420909                      218055                      
GPU 6           99.616            0.000        0.000        0.000        439777                      230634                      
GPU 7           101.653           0.000        0.000        0.000        447096                      237438                      
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           97.088            0.000        0.000        0.000        256303                      55558                       
GPU 1           98.286            0.000        0.000        0.000        256318                      67093                       
GPU 2           99.085            0.000        0.000        0.000        284473                      89582                       
GPU 3           97.432            0.000        0.000        0.000        254206                      55034                       
GPU 4           98.308            0.000        0.000        0.000        240066                      44553                       
GPU 5           98.624            0.000        0.000        0.000        250027                      61851                       
