#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           96.175            N/A          N/A          N/A          N/A                         N/A                         
GPU 1           97.378            N/A          N/A          N/A          N/A                         N/A                         
GPU 2           70.379            N/A          N/A          N/A          N/A                         N/A                         
GPU 3           70.526            N/A          N/A          N/A          N/A                         N/A                         
GPU 4           97.100            N/A          N/A          N/A          N/A                         N/A                         
GPU 5           97.617            N/A          N/A          N/A          N/A                         N/A                         
GPU 6           72.165            N/A          N/A          N/A          N/A                         N/A                         
GPU 7           72.289            N/A          N/A          N/A          N/A                         N/A                         
GPU 0           96.216            0.000        0.000        0.000        513133                      305573                      
GPU 1           97.358            0.000        0.000        0.000        502679                      306639                      
GPU 2           70.487            0.000        0.000        0.000        524602                      340126                      
GPU 3           70.562            0.000        0.000        0.000        539208                      345847                      
GPU 4           97.100            0.000        0.000        0.000        505808                      302436                      
GPU 5           97.588            0.000        0.000        0.000        501642                      305074                      
GPU 6           72.152            0.000        0.000        0.000        510342                      326954                      
GPU 7           72.310            0.000        0.000        0.000        517270                      330172                      
GPU 0           96.148            0.000        0.000        0.000        440278                      223284                      
GPU 1           97.379            0.000        0.000        0.000        226943                      42977                       
GPU 2           70.452            0.000        0.000        0.000        243640                      64446                       
GPU 3           70.603            0.000        0.000        0.000        210104                      13622                       
GPU 4           97.091            0.000        0.000        0.000        245304                      58705                       
GPU 5           97.615            0.000        0.000        0.000        234835                      56087                       
GPU 6           72.161            0.000        0.000        0.000        198099                      18866                       
GPU 7           72.293            0.000        0.000        0.000        198629                      13102                       
GPU 0           95.933            0.000        0.000        0.000        282509                      96441                       
GPU 1           97.361            0.000        0.000        0.000        462351                      269967                      
GPU 2           70.450            0.000        0.000        0.000        474366                      281999                      
GPU 3           70.560            0.000        0.000        0.000        528288                      332800                      
GPU 4           97.178            0.000        0.000        0.000        459172                      249504                      
GPU 5           97.620            0.000        0.000        0.000        453412                      250556                      
GPU 6           72.157            0.000        0.000        0.000        523562                      326505                      
GPU 7           72.320            0.000        0.000        0.000        517785                      327546                      
GPU 0           95.972            0.000        0.000        0.000        735390                      548266                      
GPU 1           97.390            0.000        0.000        0.000        722228                      544553                      
GPU 2           70.407            0.000        0.000        0.000        779796                      611574                      
GPU 3           70.558            0.000        0.000        0.000        797638                      617881                      
GPU 4           97.100            0.000        0.000        0.000        731183                      543539                      
GPU 5           97.626            0.000        0.000        0.000        722318                      540952                      
GPU 6           72.157            0.000        0.000        0.000        790311                      617889                      
GPU 7           72.309            0.000        0.000        0.000        793457                      619987                      
GPU 0           96.017            0.000        0.000        0.000        508947                      301384                      
GPU 1           97.333            0.000        0.000        0.000        504251                      304018                      
GPU 2           70.438            0.000        0.000        0.000        519879                      331737                      
GPU 3           70.602            0.000        0.000        0.000        540298                      340110                      
GPU 4           97.090            0.000        0.000        0.000        498479                      294579                      
GPU 5           97.603            0.000        0.000        0.000        493246                      297205                      
GPU 6           72.155            0.000        0.000        0.000        514637                      325447                      
GPU 7           72.318            0.000        0.000        0.000        509918                      321778                      
GPU 0           96.049            0.000        0.000        0.000        518901                      312389                      
GPU 1           97.367            0.000        0.000        0.000        511587                      316072                      
GPU 2           70.422            0.000        0.000        0.000        525652                      338555                      
GPU 3           70.609            0.000        0.000        0.000        535051                      337486                      
GPU 4           97.127            0.000        0.000        0.000        517867                      316066                      
GPU 5           97.579            0.000        0.000        0.000        513174                      316605                      
GPU 6           72.139            0.000        0.000        0.000        525656                      339606                      
GPU 7           72.292            0.000        0.000        0.000        526175                      339603                      
GPU 0           96.159            0.000        0.000        0.000        547204                      346982                      
GPU 1           97.352            0.000        0.000        0.000        539369                      348047                      
GPU 2           70.449            0.000        0.000        0.000        558137                      381524                      
GPU 3           70.596            0.000        0.000        0.000        570697                      381513                      
GPU 4           97.187            0.000        0.000        0.000        549845                      355381                      
GPU 5           97.578            0.000        0.000        0.000        548809                      358534                      
GPU 6           72.154            0.000        0.000        0.000        559017                      380886                      
GPU 7           72.293            0.000        0.000        0.000        564958                      385199                      
GPU 0           96.068            0.000        0.000        0.000        444993                      226952                      
GPU 1           97.352            0.000        0.000        0.000        198662                      13104                       
GPU 2           70.445            0.000        0.000        0.000        244217                      63936                       
GPU 3           70.622            0.000        0.000        0.000        210140                      13101                       
GPU 4           97.176            0.000        0.000        0.000        245829                      59229                       
GPU 5           97.585            0.000        0.000        0.000        238497                      57658                       
GPU 6           72.141            0.000        0.000        0.000        198103                      13102                       
GPU 7           72.295            0.000        0.000        0.000        198545                      13096                       
GPU 0           95.929            0.000        0.000        0.000        285655                      127889                      
GPU 1           97.376            0.000        0.000        0.000        510536                      342803                      
GPU 2           70.441            0.000        0.000        0.000        471155                      279339                      
GPU 3           70.598            0.000        0.000        0.000        533484                      336441                      
GPU 4           97.196            0.000        0.000        0.000        485887                      305055                      
GPU 5           97.621            0.000        0.000        0.000        479622                      306643                      
GPU 6           72.155            0.000        0.000        0.000        527755                      341704                      
GPU 7           72.299            0.000        0.000        0.000        522125                      337599                      
GPU 0           97.087            0.004        0.000        0.001        100616426                   419282371                   
GPU 1           99.897            0.010        0.000        0.001        315815123                   5410501206                  
GPU 2           70.452            0.000        0.000        0.000        520409                      335409                      
GPU 3           70.585            0.000        0.000        0.000        537680                      341684                      
GPU 4           98.202            0.004        0.000        0.001        114022796                   615551700                   
GPU 5           98.890            0.004        0.000        0.001        89913571                    456725408                   
GPU 6           72.199            0.000        0.000        0.000        531409                      349556                      
GPU 7           72.304            0.000        0.000        0.000        528789                      343792                      
GPU 0           96.431            0.001        0.000        0.000        22327478                    201219854                   
GPU 1           97.992            0.002        0.000        0.000        13594276                    108800860                   
GPU 2           70.452            0.000        0.000        0.000        527232                      337512                      
GPU 3           70.597            0.000        0.000        0.000        530330                      330670                      
GPU 4           97.544            0.001        0.000        0.000        19154484                    169220924                   
GPU 5           97.939            0.001        0.000        0.000        7635796                     33214248                    
GPU 6           72.142            0.000        0.000        0.000        525658                      338035                      
GPU 7           72.331            0.000        0.000        0.000        513044                      330151                      
GPU 0           96.453            0.001        0.000        0.000        39684728                    605441859                   
GPU 1           98.669            0.004        0.000        0.000        314491567                   6724519011                  
GPU 2           70.443            0.000        0.000        0.000        527227                      341178                      
GPU 3           70.606            0.000        0.000        0.000        542390                      344300                      
GPU 4           97.881            0.001        0.000        0.000        17240886                    187922677                   
GPU 5           98.088            0.001        0.000        0.000        8199247                     38884832                    
GPU 6           72.147            0.000        0.000        0.000        521976                      335930                      
GPU 7           72.300            0.000        0.000        0.000        519366                      333841                      
GPU 0           127.202           0.104        0.004        0.049        842282105                   1874093093                  
GPU 1           131.024           0.097        0.004        0.045        653548687                   1311339887                  
GPU 2           70.543            0.000        0.000        0.000        526168                      340647                      
GPU 3           70.307            0.000        0.000        0.000        539241                      342724                      
GPU 4           130.106           0.103        0.005        0.047        822123800                   1699178073                  
GPU 5           129.217           0.096        0.006        0.047        692817887                   1282262834                  
GPU 6           72.134            0.000        0.000        0.000        520417                      340131                      
GPU 7           72.338            0.000        0.000        0.000        517776                      331733                      
GPU 0           134.520           0.126        0.005        0.059        989077491                   1893099999                  
GPU 1           137.870           0.128        0.006        0.061        858567178                   1590169499                  
GPU 2           70.461            0.000        0.000        0.000        441804                      247892                      
GPU 3           70.508            0.000        0.000        0.000        245258                      53977                       
GPU 4           135.818           0.126        0.006        0.059        990156333                   1889915586                  
GPU 5           136.373           0.119        0.007        0.059        858409896                   1587645911                  
GPU 6           72.339            0.000        0.000        0.000        233741                      55028                       
GPU 7           72.366            0.000        0.000        0.000        198627                      22535                       
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           132.477           0.124        0.005        0.058        1044422380                  2285164174                  
GPU 1           137.450           0.127        0.006        0.060        884136591                   1636511004                  
GPU 2           70.509            0.000        0.000        0.000        283524                      105863                      
GPU 3           70.561            0.000        0.000        0.000        508846                      309185                      
GPU 4           135.508           0.125        0.006        0.058        1020646001                  2029566469                  
GPU 5           136.282           0.118        0.007        0.058        887452476                   1707158598                  
GPU 6           72.195            0.000        0.000        0.000        484241                      290859                      
GPU 7           72.108            0.000        0.000        0.000        522504                      327547                      
GPU 0           135.113           0.130        0.005        0.059        1157505947                  3747430685                  
GPU 1           138.636           0.128        0.005        0.059        924592385                   2447612405                  
GPU 2           70.578            0.000        0.000        0.000        524612                      338561                      
GPU 3           70.303            0.000        0.000        0.000        534000                      339055                      
GPU 4           136.581           0.130        0.006        0.059        1060510803                  2802661398                  
GPU 5           137.520           0.122        0.007        0.059        947596656                   2664482023                  
GPU 6           72.325            0.000        0.000        0.000        520940                      334890                      
GPU 7           72.284            0.000        0.000        0.000        517794                      331220                      
GPU 0           135.823           0.131        0.005        0.060        1165724838                  3734176560                  
GPU 1           138.995           0.131        0.005        0.061        936195568                   2464810115                  
GPU 2           70.398            0.000        0.000        0.000        518167                      334791                      
GPU 3           70.453            0.000        0.000        0.000        530341                      338538                      
GPU 4           137.540           0.132        0.006        0.061        1058390166                  2732328853                  
GPU 5           137.932           0.126        0.007        0.061        960611384                   2769827289                  
GPU 6           72.240            0.000        0.000        0.000        517256                      331735                      
GPU 7           72.331            0.000        0.000        0.000        518318                      332792                      
GPU 0           134.469           0.128        0.005        0.059        1185045318                  3654017438                  
GPU 1           139.470           0.128        0.006        0.060        971913513                   2502008869                  
GPU 2           70.430            0.000        0.000        0.000        524600                      338553                      
GPU 3           70.473            0.000        0.000        0.000        533999                      341151                      
GPU 4           136.599           0.128        0.006        0.059        1108638326                  2753113890                  
GPU 5           137.325           0.123        0.007        0.060        988515705                   2680488046                  
GPU 6           72.327            0.000        0.000        0.000        519888                      333839                      
GPU 7           72.291            0.000        0.000        0.000        524071                      339598                      
GPU 0           136.144           0.133        0.005        0.062        1128023083                  3478226217                  
