#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           96.912            N/A          N/A          N/A          N/A                         N/A                         
GPU 1           97.936            N/A          N/A          N/A          N/A                         N/A                         
GPU 2           98.892            N/A          N/A          N/A          N/A                         N/A                         
GPU 3           97.017            N/A          N/A          N/A          N/A                         N/A                         
GPU 4           97.988            N/A          N/A          N/A          N/A                         N/A                         
GPU 5           98.549            N/A          N/A          N/A          N/A                         N/A                         
GPU 6           99.456            N/A          N/A          N/A          N/A                         N/A                         
GPU 7           101.147           N/A          N/A          N/A          N/A                         N/A                         
GPU 0           96.912            N/A          0.000        N/A          439240                      N/A                         
GPU 1           97.964            0.000        N/A          N/A          432433                      N/A                         
GPU 2           98.892            0.000        N/A          0.000        244781                      N/A                         
GPU 3           97.017            0.000        0.000        N/A          N/A                         58704                       
GPU 4           97.988            N/A          N/A          0.000        N/A                         57133                       
GPU 5           98.549            N/A          N/A          N/A          N/A                         57132                       
GPU 6           99.456            N/A          N/A          0.000        245307                      N/A                         
GPU 7           101.147           0.000        N/A          N/A          244255                      N/A                         
GPU 0           96.914            0.000        0.000        0.000        280421                      97492                       
GPU 1           97.927            0.000        0.000        0.000        272569                      98020                       
GPU 2           98.942            0.000        0.000        0.000        470175                      263654                      
GPU 3           97.213            0.000        0.000        0.000        476447                      262072                      
GPU 4           98.003            0.000        0.000        0.000        474885                      267319                      
GPU 5           98.559            0.000        0.000        0.000        468074                      266797                      
GPU 6           99.481            0.000        0.000        0.000        474366                      266274                      
GPU 7           101.133           0.000        0.000        0.000        474353                      265218                      
GPU 0           96.823            0.000        0.000        0.000        758986                      575005                      
GPU 1           97.973            0.000        0.000        0.000        751549                      577026                      
GPU 2           98.942            0.000        0.000        0.000        729634                      549846                      
GPU 3           97.222            0.000        0.000        0.000        768409                      581286                      
GPU 4           98.029            0.000        0.000        0.000        765273                      580769                      
GPU 5           98.521            0.000        0.000        0.000        732767                      556651                      
GPU 6           99.396            0.000        0.000        0.000        764230                      578676                      
GPU 7           101.102           0.000        0.000        0.000        763174                      577622                      
GPU 0           96.811            0.000        0.000        0.000        529915                      324972                      
GPU 1           97.926            0.000        0.000        0.000        523083                      326534                      
GPU 2           98.824            0.000        0.000        0.000        555607                      353806                      
GPU 3           97.362            0.000        0.000        0.000        536723                      330735                      
GPU 4           97.972            0.000        0.000        0.000        516822                      317641                      
GPU 5           98.531            0.000        0.000        0.000        546695                      348040                      
GPU 6           99.450            0.000        0.000        0.000        515246                      318163                      
GPU 7           101.113           0.000        0.000        0.000        513143                      315014                      
GPU 0           96.922            0.000        0.000        0.000        557694                      359041                      
GPU 1           97.936            0.000        0.000        0.000        545657                      357481                      
GPU 2           98.933            0.000        0.000        0.000        554034                      360096                      
GPU 3           97.324            0.000        0.000        0.000        557166                      357991                      
GPU 4           97.977            0.000        0.000        0.000        550362                      354328                      
GPU 5           98.562            0.000        0.000        0.000        540414                      352239                      
GPU 6           99.379            0.000        0.000        0.000        550891                      354331                      
GPU 7           101.052           0.000        0.000        0.000        548791                      353805                      
GPU 0           96.807            0.000        0.000        0.000        526177                      320213                      
GPU 1           97.894            0.000        0.000        0.000        515776                      318691                      
GPU 2           98.935            0.000        0.000        0.000        519973                      318693                      
GPU 3           97.369            0.000        0.000        0.000        523098                      318157                      
GPU 4           97.995            0.000        0.000        0.000        519963                      315018                      
GPU 5           98.506            0.000        0.000        0.000        511054                      312922                      
GPU 6           99.440            0.000        0.000        0.000        516824                      315021                      
GPU 7           101.074           0.000        0.000        0.000        518908                      316062                      
GPU 0           96.805            0.000        0.000        0.000        240039                      47169                       
GPU 1           97.959            0.000        0.000        0.000        230109                      49795                       
GPU 2           98.942            0.000        0.000        0.000        203373                      18345                       
GPU 3           97.180            0.000        0.000        0.000        240583                      48221                       
GPU 4           97.972            0.000        0.000        0.000        208612                      20441                       
GPU 5           98.552            0.000        0.000        0.000        199179                      18869                       
GPU 6           99.428            0.000        0.000        0.000        233774                      48222                       
GPU 7           101.076           0.000        0.000        0.000        207561                      22014                       
GPU 0           96.951            0.000        0.000        0.000        488523                      374779                      
GPU 1           97.987            0.000        0.000        0.000        488521                      377398                      
GPU 2           98.956            0.000        0.000        0.000        532479                      417179                      
GPU 3           97.381            0.000        0.000        0.000        503689                      384188                      
GPU 4           97.980            0.000        0.000        0.000        523624                      403594                      
GPU 5           98.533            0.000        0.000        0.000        515239                      401498                      
GPU 6           99.475            0.000        0.000        0.000        493756                      374772                      
GPU 7           101.080           0.000        0.000        0.000        519431                      399401                      
GPU 0           103.181           0.019        0.002        0.008        1421560746                  1497515231                  
GPU 1           104.990           0.021        0.002        0.009        1372905918                  1726271020                  
GPU 2           105.290           0.018        0.002        0.008        1257871722                  1124556115                  
GPU 3           103.462           0.020        0.002        0.008        1268689784                  1599046929                  
GPU 4           104.343           0.019        0.002        0.008        1377281190                  1407360615                  
GPU 5           105.006           0.018        0.002        0.008        1103928143                  1394018937                  
GPU 6           106.241           0.021        0.002        0.008        1566800376                  1482121227                  
GPU 7           106.969           0.029        0.002        0.008        1274524250                  1757702553                  
GPU 0           97.490            0.005        0.000        0.001        420854255                   741492287                   
GPU 1           98.776            0.003        0.000        0.000        189825542                   268817309                   
GPU 2           99.853            0.006        0.001        0.001        560825924                   749034753                   
GPU 3           97.720            0.004        0.000        0.001        297042408                   435344122                   
GPU 4           98.444            0.005        0.000        0.001        452928339                   724222937                   
GPU 5           99.070            0.006        0.001        0.001        462829658                   641539466                   
GPU 6           100.334           0.003        0.000        0.001        250559106                   377548428                   
GPU 7           101.737           0.008        0.000        0.001        355080735                   1315025044                  
GPU 0           97.330            0.001        0.000        0.000        52735617                    686390653                   
GPU 1           98.612            0.001        0.000        0.000        21158098                    153429498                   
GPU 2           99.249            0.001        0.000        0.000        22904625                    133541653                   
GPU 3           97.669            0.001        0.000        0.000        27744274                    298620596                   
GPU 4           98.235            0.001        0.000        0.000        28835423                    247462382                   
GPU 5           98.965            0.001        0.000        0.000        22100241                    174525029                   
GPU 6           99.827            0.001        0.000        0.000        18732632                    65222205                    
GPU 7           102.900           0.004        0.000        0.000        418689511                   8907627046                  
GPU 0           123.465           0.086        0.004        0.030        1475776388                  2975034643                  
GPU 1           124.211           0.086        0.004        0.032        1273300624                  1866864147                  
GPU 2           121.162           0.081        0.004        0.029        1401378947                  2467264376                  
GPU 3           121.985           0.086        0.004        0.030        1254126828                  1942540380                  
GPU 4           124.650           0.082        0.006        0.030        1438541975                  2596370642                  
GPU 5           123.247           0.083        0.004        0.030        1263776094                  2455574721                  
GPU 6           123.425           0.086        0.004        0.030        1615257072                  4316406384                  
GPU 7           125.251           0.086        0.003        0.029        1284773555                  2485745385                  
GPU 0           104.989           0.031        0.001        0.011        537947578                   1121237266                  
GPU 1           109.058           0.028        0.001        0.010        410570940                   627247255                   
GPU 2           106.575           0.033        0.002        0.012        557397140                   988809775                   
GPU 3           104.958           0.030        0.001        0.011        441500083                   732311729                   
GPU 4           107.350           0.030        0.002        0.011        527791916                   916135286                   
GPU 5           106.299           0.034        0.002        0.012        501733492                   1025602000                  
GPU 6           107.263           0.028        0.001        0.010        488642454                   942055412                   
GPU 7           108.635           0.031        0.001        0.010        619043305                   4529498057                  
GPU 0           96.895            0.001        0.000        0.000        59494244                    897829626                   
GPU 1           98.687            0.001        0.000        0.000        27831381                    422027256                   
GPU 2           99.068            0.001        0.000        0.000        11990463                    43692124                    
GPU 3           97.877            0.002        0.000        0.000        33749224                    551801655                   
GPU 4           98.340            0.001        0.000        0.000        48232738                    751503264                   
GPU 5           99.067            0.001        0.000        0.000        30970099                    490373280                   
GPU 6           99.889            0.001        0.000        0.000        44406240                    648466864                   
GPU 7           102.397           0.006        0.000        0.000        98996054                    1798984606                  
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           102.667           0.021        0.001        0.005        601785890                   1453081524                  
GPU 1           103.687           0.023        0.001        0.006        511427173                   707626403                   
GPU 2           103.640           0.018        0.001        0.005        524273874                   1318958199                  
GPU 3           102.220           0.024        0.001        0.006        508501086                   928130297                   
