#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           104.352           0.011        0.001        0.006        29659953                    335804007                   
GPU 1           105.582           0.002        0.000        0.001        4797513                     31356897                    
GPU 2           105.495           0.004        0.000        0.002        6988666                     57766641                    
GPU 3           103.702           0.003        0.000        0.001        31162107                    41301286                    
GPU 4           103.139           0.005        0.000        0.002        13776491                    136284885                   
GPU 5           108.578           0.003        0.000        0.002        6139524                     48225270                    
GPU 6           108.476           0.000        0.000        0.000        2375110                     1895323                     
GPU 7           108.652           0.005        0.000        0.003        75549712                    80431029                    
GPU 0           104.352           0.011        0.000        0.006        3837869                     335804007                   
GPU 1           105.389           0.000        0.000        0.001        3829242                     31356897                    
GPU 2           105.495           0.000        0.000        0.000        3645753                     57766641                    
GPU 3           103.591           0.000        0.000        0.001        31162107                    3119220                     
GPU 4           103.139           0.005        0.000        0.000        3511709                     2901806                     
GPU 5           108.578           0.003        0.000        0.002        6139524                     3147040                     
GPU 6           108.476           0.000        0.000        0.000        3792174                     3145381                     
GPU 7           108.652           0.000        0.000        0.003        3737647                     80431029                    
GPU 0           104.122           0.000        0.000        0.000        463347                      241632                      
GPU 1           105.371           0.000        0.000        0.000        462828                      246352                      
GPU 2           105.121           0.000        0.000        0.000        262658                      72216                       
GPU 3           103.366           0.000        0.000        0.000        490613                      275707                      
GPU 4           102.903           0.000        0.000        0.000        465437                      242153                      
GPU 5           108.245           0.000        0.000        0.000        460204                      239012                      
GPU 6           108.070           0.000        0.000        0.000        463861                      243723                      
GPU 7           108.230           0.000        0.000        0.000        456026                      241117                      
GPU 0           104.122           0.000        0.000        0.000        463347                      241632                      
GPU 1           105.371           0.000        0.000        0.000        5037780                     246352                      
GPU 2           105.121           0.000        0.000        0.000        262658                      72216                       
GPU 3           103.366           0.000        0.000        0.000        490613                      3188124                     
GPU 4           102.903           0.000        0.000        0.000        465437                      242153                      
GPU 5           108.245           0.000        0.000        0.000        460204                      239012                      
GPU 6           108.070           0.000        0.000        0.000        463861                      243723                      
GPU 7           108.230           0.000        0.000        0.000        456026                      241117                      
GPU 0           103.965           0.000        0.000        0.000        7240034                     4902623                     
GPU 1           105.081           0.000        0.000        0.000        7108940                     4185921                     
GPU 2           105.047           0.000        0.000        0.000        7078072                     4484563                     
GPU 3           103.238           0.000        0.000        0.000        3867331                     6289235                     
GPU 4           102.736           0.000        0.000        0.000        4557575                     6891750                     
GPU 5           107.117           0.000        0.000        0.000        4612495                     5912443                     
GPU 6           107.930           0.000        0.000        0.000        6866990                     3720987                     
GPU 7           108.200           0.000        0.000        0.000        7422362                     3821794                     
GPU 0           103.865           0.000        0.000        0.000        6766334                     6055596                     
GPU 1           104.931           0.000        0.000        0.000        7343289                     5945430                     
GPU 2           104.704           0.000        0.000        0.000        6560692                     5926182                     
GPU 3           103.081           0.000        0.000        0.000        7550751                     5072493                     
GPU 4           102.586           0.000        0.000        0.000        5050809                     4233939                     
GPU 5           106.981           0.000        0.000        0.000        7045137                     4835507                     
GPU 6           107.669           0.000        0.000        0.000        5638738                     4742467                     
GPU 7           107.867           0.000        0.000        0.000        5062708                     6235012                     
GPU 0           103.548           0.000        0.000        0.000        3901134                     3224476                     
GPU 1           104.873           0.000        0.000        0.000        4310469                     3534752                     
GPU 2           104.611           0.000        0.000        0.000        3821561                     3156417                     
GPU 3           102.795           0.000        0.000        0.000        7557379                     6296166                     
GPU 4           102.446           0.000        0.000        0.000        5640534                     4690400                     
GPU 5           106.585           0.000        0.000        0.000        4849584                     4014244                     
GPU 6           107.466           0.000        0.000        0.000        3824398                     3165598                     
