#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           97.368            N/A          N/A          N/A          N/A                         N/A                         
GPU 1           99.010            N/A          N/A          N/A          N/A                         N/A                         
GPU 2           99.101            N/A          N/A          N/A          N/A                         N/A                         
GPU 3           97.741            N/A          N/A          N/A          N/A                         N/A                         
GPU 4           72.136            N/A          N/A          N/A          N/A                         N/A                         
GPU 5           74.022            N/A          N/A          N/A          N/A                         N/A                         
GPU 6           73.714            N/A          N/A          N/A          N/A                         N/A                         
GPU 7           73.653            N/A          N/A          N/A          N/A                         N/A                         
GPU 0           97.449            0.000        0.000        0.000        4485198                     3662798                     
GPU 1           99.011            0.000        0.000        0.000        4364173                     3590602                     
GPU 2           99.095            0.000        0.000        0.000        4153910                     3386026                     
GPU 3           97.852            0.000        0.000        0.000        3861966                     3131504                     
GPU 4           72.142            0.000        0.000        0.000        4200734                     3566641                     
GPU 5           74.049            0.000        0.000        0.000        4164690                     3513285                     
GPU 6           73.697            0.000        0.000        0.000        4088828                     3455746                     
GPU 7           73.611            0.000        0.000        0.000        4066818                     3440025                     
GPU 0           97.406            0.000        0.000        0.000        380012                      170350                      
GPU 1           98.975            0.000        0.000        0.000        371117                      175075                      
GPU 2           99.120            0.000        0.000        0.000        611172                      383686                      
GPU 3           97.697            0.000        0.000        0.000        619642                      383782                      
GPU 4           72.121            0.000        0.000        0.000        586452                      371052                      
GPU 5           74.075            0.000        0.000        0.000        602067                      380942                      
GPU 6           73.720            0.000        0.000        0.000        631522                      418744                      
GPU 7           73.654            0.000        0.000        0.000        613172                      401968                      
GPU 0           97.406            0.000        0.000        0.000        7581258                     170350                      
GPU 1           99.041            0.000        0.000        0.000        6827495                     175075                      
GPU 2           99.120            0.000        0.000        0.000        611172                      383686                      
GPU 3           97.697            0.000        0.000        0.000        619642                      5297620                     
GPU 4           72.121            0.000        0.000        0.000        586452                      6507350                     
GPU 5           74.075            0.000        0.000        0.000        602067                      5448014                     
GPU 6           73.720            0.000        0.000        0.000        6144679                     418744                      
GPU 7           73.654            0.000        0.000        0.000        5719197                     401968                      
