#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 0           98.974            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1           101.720           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2           100.563           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3           99.639            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 4           98.822            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 5           101.788           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 6           102.624           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 7           103.959           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0           98.973            0.000        0.000        0.000        489009                      294558                      0                           0                           
GPU 1           101.781           0.000        0.000        0.000        506334                      301389                      0                           0                           
GPU 2           100.491           0.000        0.000        0.000        1676274                     1291014                     0                           0                           
GPU 3           99.619            0.000        0.000        0.000        538588                      329557                      0                           0                           
GPU 4           98.825            0.000        0.000        0.000        2092409                     1674661                     0                           0                           
GPU 5           101.780           0.000        0.000        0.000        1557304                     1210305                     0                           0                           
GPU 6           102.618           0.000        0.000        0.000        2970393                     2439947                     0                           0                           
GPU 7           103.977           0.000        0.000        0.000        1499100                     1161016                     0                           0                           
GPU 0           98.973            0.000        0.000        0.000        4204708                     294558                      0                           0                           
GPU 1           101.779           0.000        0.000        0.000        4077031                     301389                      0                           0                           
GPU 2           100.491           0.000        0.000        0.000        3793016                     1291014                     0                           0                           
GPU 3           99.619            0.000        0.000        0.000        538588                      3392735                     0                           0                           
GPU 4           98.825            0.000        0.000        0.000        2092409                     3156580                     0                           0                           
GPU 5           101.780           0.000        0.000        0.000        1557304                     3096154                     0                           0                           
GPU 6           102.618           0.000        0.000        0.000        3431093                     2439947                     0                           0                           
GPU 7           103.977           0.000        0.000        0.000        3694043                     1161016                     0                           0                           
GPU 0           98.874            0.000        0.000        0.000        476451                      266267                      0                           0                           
GPU 1           101.204           0.000        0.000        0.000        483273                      273086                      0                           0                           
GPU 2           100.505           0.000        0.000        0.000        490090                      264177                      0                           0                           
GPU 3           99.632            0.000        0.000        0.000        480110                      270979                      0                           0                           
GPU 4           98.713            0.000        0.000        0.000        489038                      281472                      0                           0                           
GPU 5           101.625           0.000        0.000        0.000        474371                      263656                      0                           0                           
GPU 6           102.621           0.000        0.000        0.000        480124                      268890                      0                           0                           
GPU 7           103.862           0.000        0.000        0.000        476450                      262073                      0                           0                           
GPU 0           98.874            0.000        0.000        0.000        6627664                     266267                      0                           0                           
GPU 1           100.876           0.000        0.000        0.000        6503877                     273086                      0                           0                           
GPU 2           100.505           0.000        0.000        0.000        6544445                     264177                      0                           0                           
GPU 3           99.632            0.000        0.000        0.000        480110                      4582576                     0                           0                           
GPU 4           98.713            0.000        0.000        0.000        489038                      4357926                     0                           0                           
GPU 5           101.625           0.000        0.000        0.000        474371                      5005776                     0                           0                           
GPU 6           102.621           0.000        0.000        0.000        4666249                     268890                      0                           0                           
GPU 7           103.862           0.000        0.000        0.000        4794053                     262073                      0                           0                           
GPU 0           98.932            0.000        0.000        0.000        6290577                     5517375                     0                           0                           
GPU 1           100.913           0.000        0.000        0.000        4643469                     3826752                     0                           0                           
GPU 2           100.560           0.000        0.000        0.000        6108867                     5441546                     0                           0                           
GPU 3           99.549            0.000        0.000        0.000        5529490                     5490281                     0                           0                           
GPU 4           98.880            0.000        0.000        0.000        5587524                     4707747                     0                           0                           
GPU 5           101.875           0.000        0.000        0.000        6034266                     4151325                     0                           0                           
GPU 6           102.618           0.000        0.000        0.000        6133289                     5173250                     0                           0                           
GPU 7           103.918           0.000        0.000        0.000        5852255                     3931140                     0                           0                           
