#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 0           158.224           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1           162.428           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2           159.125           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3           156.996           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 4           71.851            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 5           73.926            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 6           73.715            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 7           73.268            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0           158.224           N/A          N/A          N/A          3888704                     N/A                         N/A                         N/A                         
GPU 1           103.104           0.000        N/A          N/A          3861487                     N/A                         N/A                         N/A                         
GPU 2           159.125           0.000        N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3           156.996           0.000        N/A          N/A          N/A                         3162729                     N/A                         N/A                         
GPU 4           71.851            N/A          N/A          N/A          N/A                         3608279                     N/A                         N/A                         
GPU 5           73.926            N/A          N/A          N/A          N/A                         3533352                     N/A                         N/A                         
GPU 6           73.715            N/A          N/A          0.000        4128157                     N/A                         N/A                         N/A                         
GPU 7           73.268            0.000        N/A          N/A          3755002                     N/A                         N/A                         N/A                         
GPU 0           101.428           0.000        0.000        0.000        489553                      278846                      0                           0                           
GPU 1           102.913           0.000        0.000        0.000        491130                      282518                      0                           0                           
GPU 2           102.854           0.000        0.000        0.000        481166                      269935                      0                           0                           
GPU 3           102.240           0.000        0.000        0.000        516821                      307681                      0                           0                           
GPU 4           71.691            0.000        0.000        0.000        490534                      299770                      0                           0                           
GPU 5           73.968            0.000        0.000        0.000        528762                      340630                      0                           0                           
GPU 6           73.620            0.000        0.000        0.000        562336                      367903                      0                           0                           
GPU 7           73.237            0.000        0.000        0.000        519457                      334423                      0                           0                           
GPU 0           101.363           0.000        0.000        0.000        4455547                     3646829                     0                           0                           
GPU 1           102.891           0.000        0.000        0.000        4372561                     3587890                     0                           0                           
GPU 2           102.714           0.000        0.000        0.000        4435591                     3649417                     0                           0                           
GPU 3           102.086           0.000        0.000        0.000        4406089                     3593641                     0                           0                           
GPU 4           71.767            0.000        0.000        0.000        4344095                     3698507                     0                           0                           
GPU 5           73.960            0.000        0.000        0.000        4271452                     3626359                     0                           0                           
GPU 6           73.661            0.000        0.000        0.000        4381778                     3725716                     0                           0                           
GPU 7           73.235            0.000        0.000        0.000        4211696                     3576195                     0                           0                           
GPU 0           101.363           0.000        0.000        0.000        4455547                     3646829                     0                           0                           
GPU 1           102.891           0.000        0.000        0.000        5910673                     3587890                     0                           0                           
GPU 2           102.714           0.000        0.000        0.000        4435591                     3649417                     0                           0                           
GPU 3           102.086           0.000        0.000        0.000        4406089                     3713273                     0                           0                           
GPU 4           71.767            0.000        0.000        0.000        4344095                     3698507                     0                           0                           
GPU 5           73.960            0.000        0.000        0.000        4271452                     3626359                     0                           0                           
GPU 6           73.661            0.000        0.000        0.000        4381778                     3725716                     0                           0                           
GPU 7           73.235            0.000        0.000        0.000        4211696                     3576195                     0                           0                           
GPU 0           101.170           0.000        0.000        0.000        5805334                     4747047                     0                           0                           
GPU 1           102.618           0.000        0.000        0.000        4552133                     4882632                     0                           0                           
GPU 2           102.498           0.000        0.000        0.000        5841585                     4821610                     0                           0                           
GPU 3           101.912           0.000        0.000        0.000        6911052                     5714394                     0                           0                           
GPU 4           71.791            0.000        0.000        0.000        5008441                     4272845                     0                           0                           
GPU 5           73.931            0.000        0.000        0.000        4994933                     4255543                     0                           0                           
GPU 6           73.683            0.000        0.000        0.000        5798655                     4002106                     0                           0                           
GPU 7           73.260            0.000        0.000        0.000        4671506                     3973743                     0                           0                           
GPU 0           100.970           0.000        0.000        0.000        5018717                     4126552                     0                           0                           
GPU 1           102.618           0.000        0.000        0.000        4552133                     4977556                     0                           0                           
GPU 2           102.459           0.000        0.000        0.000        4767184                     3918491                     0                           0                           
GPU 3           101.680           0.000        0.000        0.000        4868202                     5714394                     0                           0                           
GPU 4           71.791            0.000        0.000        0.000        5668450                     4863451                     0                           0                           
GPU 5           73.931            0.000        0.000        0.000        4994933                     4811587                     0                           0                           
GPU 6           73.683            0.000        0.000        0.000        5798655                     5097001                     0                           0                           
GPU 7           73.261            0.000        0.000        0.000        5397600                     3973743                     0                           0                           
GPU 0           100.828           0.000        0.000        0.000        4408104                     3593050                     0                           0                           
GPU 1           102.378           0.000        0.000        0.000        309780                      112694                      0                           0                           
GPU 2           102.191           0.000        0.000        0.000        3476109                     2816877                     0                           0                           
GPU 3           101.529           0.000        0.000        0.000        2198553                     1721569                     0                           0                           
GPU 4           71.719            0.000        0.000        0.000        3487178                     2931698                     0                           0                           
GPU 5           73.870            0.000        0.000        0.000        4199878                     3562532                     0                           0                           
GPU 6           73.650            0.000        0.000        0.000        973642                      707520                      0                           0                           
GPU 7           73.254            0.000        0.000        0.000        6381165                     5491428                     0                           0                           
GPU 0           100.832           0.000        0.000        0.000        3511831                     2872363                     0                           0                           
GPU 1           102.392           0.000        0.000        0.000        4107806                     3427976                     0                           0                           
GPU 2           102.136           0.000        0.000        0.000        3445014                     2825579                     0                           0                           
GPU 3           101.528           0.000        0.000        0.000        3794921                     3134479                     0                           0                           
GPU 4           71.760            0.000        0.000        0.000        3399618                     2824717                     0                           0                           
GPU 5           73.920            0.000        0.000        0.000        2123911                     1711325                     0                           0                           
GPU 6           73.686            0.000        0.000        0.000        4285231                     3656360                     0                           0                           
GPU 7           73.256            0.000        0.000        0.000        387817                      191050                      0                           0                           
GPU 0           100.832           0.000        0.000        0.000        549204                      2872363                     0                           0                           
GPU 1           102.392           0.000        0.000        0.000        4107806                     3427976                     0                           0                           
GPU 2           102.136           0.000        0.000        0.000        515250                      2825579                     0                           0                           
