#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 0           103.932           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1           102.703           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2           102.797           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3           101.226           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 4           101.153           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 5           103.803           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 6           105.067           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 7           105.830           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0           100.305           0.000        0.000        0.000        793556                      7159306                     0                           0                           
GPU 1           102.039           0.000        0.000        0.000        940340                      10648807                    0                           0                           
GPU 2           102.313           0.000        0.000        0.000        288871                      105997                      0                           0                           
GPU 3           100.676           0.000        0.000        0.000        965977                      10638854                    0                           0                           
GPU 4           100.504           0.000        0.000        0.000        481700                      279376                      0                           0                           
GPU 5           103.232           0.000        0.000        0.000        480649                      274656                      0                           0                           
GPU 6           104.449           0.000        0.000        0.000        1685144                     11253517                    0                           0                           
GPU 7           105.291           0.000        0.000        0.000        1261066                     10869490                    0                           0                           
GPU 0           100.045           0.000        0.000        0.000        4112129                     3435509                     0                           0                           
GPU 1           101.836           0.000        0.000        0.000        4042608                     3360716                     0                           0                           
GPU 2           101.933           0.000        0.000        0.000        4073711                     3396507                     0                           0                           
GPU 3           100.346           0.000        0.000        0.000        4030756                     3351450                     0                           0                           
GPU 4           100.321           0.000        0.000        0.000        4329560                     3570052                     0                           0                           
GPU 5           102.911           0.000        0.000        0.000        4289651                     3531729                     0                           0                           
GPU 6           104.067           0.000        0.000        0.000        4112113                     3404140                     0                           0                           
GPU 7           105.013           0.000        0.000        0.000        4383980                     3593563                     0                           0                           
GPU 0           100.045           0.000        0.000        0.000        4112129                     3435509                     0                           0                           
GPU 1           101.836           0.000        0.000        0.000        1898844                     3360716                     0                           0                           
GPU 2           101.933           0.000        0.000        0.000        4073711                     3396507                     0                           0                           
GPU 3           100.346           0.000        0.000        0.000        4030756                     57655                       0                           0                           
GPU 4           100.321           0.000        0.000        0.000        4329560                     3570052                     0                           0                           
GPU 5           102.911           0.000        0.000        0.000        4289651                     3531729                     0                           0                           
GPU 6           104.067           0.000        0.000        0.000        4112113                     3404140                     0                           0                           
GPU 7           105.013           0.000        0.000        0.000        4383980                     3593563                     0                           0                           
GPU 0           99.859            0.000        0.000        0.000        4087091                     3334978                     0                           0                           
GPU 1           101.505           0.000        0.000        0.000        6100118                     1502949                     0                           0                           
GPU 2           101.604           0.000        0.000        0.000        3950605                     3234386                     0                           0                           
GPU 3           100.046           0.000        0.000        0.000        8302740                     6965823                     0                           0                           
GPU 4           100.012           0.000        0.000        0.000        3941576                     3236338                     0                           0                           
GPU 5           102.597           0.000        0.000        0.000        3295136                     2660936                     0                           0                           
GPU 6           103.677           0.000        0.000        0.000        6794732                     1456456                     0                           0                           
