#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           122.121           N/A          N/A          N/A          N/A                         N/A                         
GPU 1           118.698           N/A          N/A          N/A          N/A                         N/A                         
GPU 2           117.645           N/A          N/A          N/A          N/A                         N/A                         
GPU 3           118.603           N/A          N/A          N/A          N/A                         N/A                         
GPU 4           71.548            N/A          N/A          N/A          N/A                         N/A                         
GPU 5           73.722            N/A          N/A          N/A          N/A                         N/A                         
GPU 6           73.571            N/A          N/A          N/A          N/A                         N/A                         
GPU 7           73.238            N/A          N/A          N/A          N/A                         N/A                         
GPU 0           105.909           0.000        0.000        0.000        2641451                     2122875                     
GPU 1           106.785           0.000        0.000        0.000        2859569                     2301732                     
GPU 2           106.448           0.000        0.000        0.000        2951918                     2379504                     
GPU 3           105.257           0.000        0.000        0.000        1096351                     784480                      
GPU 4           71.547            0.000        0.000        0.000        2169968                     1758583                     
GPU 5           73.658            0.000        0.000        0.000        2162313                     1738308                     
GPU 6           73.585            0.000        0.000        0.000        2174876                     1763858                     
GPU 7           73.233            0.000        0.000        0.000        2030988                     1630241                     
GPU 0           105.505           0.000        0.000        0.000        508421                      298762                      
GPU 1           106.453           0.000        0.000        0.000        586384                      375417                      
GPU 2           106.192           0.000        0.000        0.000        506345                      303492                      
GPU 3           104.941           0.000        0.000        0.000        4055424                     3341958                     
GPU 4           71.539            0.000        0.000        0.000        1703830                     1370506                     
GPU 5           73.583            0.000        0.000        0.000        1682784                     1348428                     
GPU 6           73.596            0.000        0.000        0.000        1656100                     1330645                     
GPU 7           73.244            0.000        0.000        0.000        1577354                     1259787                     
GPU 0           105.505           0.000        0.000        0.000        5832966                     298762                      
GPU 1           106.226           0.000        0.000        0.000        3525567                     375417                      
GPU 2           106.192           0.000        0.000        0.000        5745310                     303492                      
GPU 3           104.513           0.000        0.000        0.000        4055424                     1223670                     
GPU 4           71.539            0.000        0.000        0.000        5073811                     4344143                     
GPU 5           73.583            0.000        0.000        0.000        1682784                     4724632                     
GPU 6           73.596            0.000        0.000        0.000        4892285                     4192094                     
GPU 7           73.244            0.000        0.000        0.000        5401656                     1259787                     
GPU 0           104.836           0.000        0.000        0.000        6813168                     5663029                     
GPU 1           106.005           0.000        0.000        0.000        7971301                     3455513                     
GPU 2           105.354           0.000        0.000        0.000        5288978                     4377616                     
GPU 3           104.245           0.000        0.000        0.000        6325295                     5774273                     
GPU 4           71.539            0.000        0.000        0.000        6091401                     5238185                     
GPU 5           73.706            0.000        0.000        0.000        5496552                     4539097                     
GPU 6           73.590            0.000        0.000        0.000        5768507                     4950647                     
GPU 7           73.241            0.000        0.000        0.000        5065799                     4646634                     
GPU 0           104.502           0.000        0.000        0.000        5052200                     4131037                     
GPU 1           105.849           0.000        0.000        0.000        4198714                     5504455                     
GPU 2           105.354           0.000        0.000        0.000        6475795                     5407852                     
GPU 3           103.962           0.000        0.000        0.000        5960848                     5255136                     
GPU 4           71.551            0.000        0.000        0.000        5721952                     4891741                     
GPU 5           73.565            0.000        0.000        0.000        5308305                     5393227                     
GPU 6           73.608            0.000        0.000        0.000        5573743                     5290660                     
GPU 7           73.240            0.000        0.000        0.000        5495990                     4326204                     
GPU 0           104.313           0.000        0.000        0.000        4570479                     3821617                     
GPU 1           105.314           0.000        0.000        0.000        578674                      368485                      
GPU 2           104.952           0.000        0.000        0.000        612668                      408833                      
GPU 3           103.757           0.000        0.000        0.000        565564                      361667                      
GPU 4           71.546            0.000        0.000        0.000        2256195                     1861557                     
GPU 5           73.561            0.000        0.000        0.000        3636877                     3074401                     
GPU 6           73.604            0.000        0.000        0.000        2201162                     1811242                     
GPU 7           73.244            0.000        0.000        0.000        7532537                     6484441                     
GPU 0           104.218           0.000        0.000        0.000        3301961                     2715819                     
GPU 1           105.299           0.000        0.000        0.000        4130892                     3455776                     
GPU 2           104.600           0.000        0.000        0.000        3871901                     3218285                     
GPU 3           103.567           0.000        0.000        0.000        4162324                     3502936                     
GPU 4           71.554            0.000        0.000        0.000        4429487                     3777013                     
GPU 5           73.610            0.000        0.000        0.000        3777364                     3171385                     
GPU 6           73.607            0.000        0.000        0.000        4491390                     3858822                     
GPU 7           73.259            0.000        0.000        0.000        586766                      392399                      
GPU 0           103.905           0.000        0.000        0.000        605382                      2882347                     
GPU 1           105.299           0.000        0.000        0.000        4130892                     2155310                     
GPU 2           104.563           0.000        0.000        0.000        487461                      284614                      
GPU 3           103.420           0.000        0.000        0.000        2733847                     3502936                     
GPU 4           71.554            0.000        0.000        0.000        718870                      485216                      
GPU 5           73.610            0.000        0.000        0.000        3777364                     405233                      
GPU 6           73.607            0.000        0.000        0.000        4491390                     1875294                     
GPU 7           73.238            0.000        0.000        0.000        1830787                     392399                      
GPU 0           103.824           0.000        0.000        0.000        4536971                     3733461                     
GPU 1           104.658           0.000        0.000        0.000        4309625                     3576852                     
GPU 2           104.420           0.000        0.000        0.000        6981727                     5853199                     
GPU 3           103.347           0.000        0.000        0.000        4381385                     3627220                     
GPU 4           71.543            0.000        0.000        0.000        6869681                     5914750                     
GPU 5           73.637            0.000        0.000        0.000        4606347                     3881737                     
GPU 6           73.592            0.000        0.000        0.000        4950948                     4249734                     
GPU 7           73.251            0.000        0.000        0.000        6955294                     5988917                     
GPU 0           103.606           0.000        0.000        0.000        4536971                     2255311                     
GPU 1           104.658           0.000        0.000        0.000        4309625                     2228404                     
GPU 2           104.129           0.000        0.000        0.000        3416140                     2795240                     
GPU 3           102.977           0.000        0.000        0.000        2723351                     3627220                     
GPU 4           71.552            0.000        0.000        0.000        1732076                     1389853                     
GPU 5           73.600            0.000        0.000        0.000        3307480                     3143422                     
GPU 6           73.603            0.000        0.000        0.000        4950948                     438317                      
GPU 7           73.237            0.000        0.000        0.000        515705                      316550                      
GPU 0           103.377           0.000        0.000        0.000        594253                      380662                      
GPU 1           104.524           0.000        0.000        0.000        506862                      306633                      
GPU 2           104.046           0.000        0.000        0.000        518393                      308205                      
GPU 3           102.933           0.000        0.000        0.000        513674                      310301                      
GPU 4           71.564            0.000        0.000        0.000        4205146                     3558079                     
GPU 5           73.588            0.000        0.000        0.000        568040                      358955                      
GPU 6           73.604            0.000        0.000        0.000        4093832                     3476060                     
GPU 7           73.262            0.000        0.000        0.000        4225230                     3592730                     
GPU 0           103.334           0.000        0.000        0.000        3864266                     3199694                     
GPU 1           104.542           0.000        0.000        0.000        4104604                     3427929                     
GPU 2           104.003           0.000        0.000        0.000        4104614                     3434227                     
GPU 3           102.726           0.000        0.000        0.000        4040171                     3363489                     
GPU 4           71.549            0.000        0.000        0.000        302537                      122444                      
GPU 5           73.616            0.000        0.000        0.000        4439365                     3788552                     
GPU 6           73.600            0.000        0.000        0.000        2415435                     1984277                     
GPU 7           73.235            0.000        0.000        0.000        1113492                     821800                      
GPU 0           103.334           0.000        0.002        0.000        3864266                     3199694                     
GPU 1           104.542           0.000        0.000        0.000        4104604                     3427929                     
GPU 2           104.003           0.000        0.000        0.045        2570891                     3434227                     
GPU 3           102.726           0.000        0.047        0.000        4040171                     3363489                     
GPU 4           71.549            0.000        0.000        0.000        302537                      4215944                     
GPU 5           73.616            0.000        0.000        0.000        4439365                     3788552                     
GPU 6           73.600            0.000        0.000        0.000        2415435                     1984277                     
GPU 7           73.235            0.000        0.000        0.000        3628185                     821800                      
GPU 0           296.369           0.029        0.156        0.005        1134746                     5450975                     
GPU 1           333.204           0.242        0.060        0.077        7217433                     35945658                    
GPU 2           320.243           0.117        0.208        0.176        10240616                    17407355                    
GPU 3           350.644           0.210        0.200        0.066        5414372                     31908225                    
GPU 4           71.201            0.000        0.000        0.000        1550789                     2098189                     
GPU 5           73.690            0.000        0.000        0.000        2469602                     2016201                     
GPU 6           73.220            0.000        0.000        0.000        2160983                     3548029                     
GPU 7           73.345            0.000        0.000        0.000        2983049                     2485716                     
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           370.419           0.507        0.084        0.163        12711231                    66618405                    
GPU 1           370.927           0.515        0.149        0.174        9273684                     63762737                    
GPU 2           352.877           0.576        0.044        0.205        12746685                    52393403                    
GPU 3           275.750           0.546        0.040        0.163        11564922                    64119651                    
GPU 4           71.320            0.000        0.000        0.000        4540582                     1244195                     
GPU 5           73.709            0.000        0.000        0.000        1178123                     912416                      
GPU 6           73.610            0.000        0.000        0.000        4182167                     342746                      
GPU 7           73.436            0.000        0.000        0.000        1443994                     1156244                     
GPU 0           302.187           0.474        0.046        0.194        12742405                    69489937                    
GPU 1           309.400           0.472        0.044        0.223        14457751                    74797088                    
GPU 2           284.692           0.433        0.045        0.231        10873511                    69520664                    
GPU 3           280.794           0.465        0.043        0.211        13867178                    73808055                    
GPU 4           71.723            0.000        0.000        0.000        267279                      3884964                     
GPU 5           73.780            0.000        0.000        0.000        4592736                     3941871                     
GPU 6           73.699            0.000        0.000        0.000        534558                      3939619                     
GPU 7           73.379            0.000        0.000        0.000        4505920                     3867608                     
GPU 0           281.342           0.472        0.046        0.233        13434680                    73469689                    
GPU 1           316.738           0.477        0.046        0.231        13188604                    70364845                    
GPU 2           287.884           0.481        0.046        0.233        14457831                    75494265                    
GPU 3           265.290           0.475        0.041        0.225        10826815                    71620807                    
GPU 4           71.782            0.000        0.000        0.000        5593274                     88140                       
GPU 5           73.811            0.000        0.000        0.000        2066576                     1663111                     
GPU 6           73.736            0.000        0.000        0.000        1807167                     1441467                     
GPU 7           73.308            0.000        0.000        0.000        2069325                     1680125                     
GPU 0           281.342           0.336        0.064        0.145        8175231                     67774918                    
GPU 1           290.321           0.391        0.047        0.166        9289823                     70364845                    
GPU 2           275.795           0.414        0.059        0.148        8628347                     70272053                    
GPU 3           291.216           0.464        0.074        0.214        14210306                    75062807                    
GPU 4           71.480            0.000        0.000        0.000        1113226                     4826803                     
GPU 5           73.930            0.000        0.000        0.000        1717230                     1378710                     
GPU 6           73.630            0.000        0.000        0.000        2214789                     1829061                     
GPU 7           73.275            0.000        0.000        0.000        1634594                     1318576                     
GPU 0           305.010           0.453        0.058        0.205        13761439                    74198262                    
GPU 1           328.700           0.439        0.073        0.174        12481314                    72186455                    
GPU 2           307.218           0.483        0.063        0.201        14024744                    75945134                    
GPU 3           276.176           0.419        0.041        0.148        8310654                     69854946                    
GPU 4           71.581            0.000        0.000        0.000        3728023                     821490                      
GPU 5           73.677            0.000        0.000        0.000        4363028                     3703281                     
GPU 6           73.768            0.000        0.000        0.000        4133082                     3518910                     
GPU 7           73.288            0.000        0.000        0.000        4307613                     3670982                     
GPU 0           305.319           0.482        0.043        0.232        11900408                    72596255                    
GPU 1           313.748           0.484        0.041        0.227        10754854                    74913552                    
GPU 2           286.934           0.489        0.042        0.230        12115498                    73949452                    
GPU 3           279.860           0.484        0.039        0.224        13330737                    74583676                    
GPU 4           71.661            0.000        0.000        0.000        2782411                     2305494                     
GPU 5           73.705            0.000        0.000        0.000        2097095                     1700798                     
GPU 6           73.656            0.000        0.000        0.000        477969                      282483                      
GPU 7           73.369            0.000        0.000        0.000        2034607                     1649106                     
GPU 0           276.880           0.484        0.043        0.234        13237222                    73859052                    
GPU 1           296.916           0.488        0.042        0.231        14249034                    71485108                    
GPU 2           274.683           0.490        0.042        0.233        13025009                    74692447                    
GPU 3           269.767           0.470        0.039        0.211        10578644                    72085191                    
GPU 4           71.697            0.000        0.000        0.000        1782398                     1452227                     
GPU 5           73.716            0.000        0.000        0.000        1678933                     1355618                     
GPU 6           73.630            0.000        0.000        0.000        4573643                     3933217                     
GPU 7           73.294            0.000        0.000        0.000        1672033                     1363309                     
GPU 0           283.803           0.346        0.051        0.155        11350020                    71752721                    
GPU 1           280.955           0.447        0.040        0.201        10059488                    74914787                    
GPU 2           266.508           0.418        0.052        0.136        12115363                    74622399                    
GPU 3           261.050           0.402        0.054        0.123        12250769                    74985856                    
GPU 4           71.664            0.000        0.000        0.000        4571510                     3922705                     
GPU 5           73.735            0.000        0.000        0.000        4655581                     4006818                     
GPU 6           73.509            0.000        0.000        0.000        1242041                     941417                      
GPU 7           73.060            0.000        0.000        0.000        4556471                     3929727                     
GPU 0           283.803           0.459        0.051        0.232        11350020                    80414740                    
GPU 1           280.955           0.447        0.046        0.252        10059488                    74914787                    
GPU 2           266.508           0.418        0.052        0.136        12115363                    84464270                    
GPU 3           261.050           0.402        0.054        0.123        12391108                    74985856                    
GPU 4           71.664            0.000        0.000        0.000        4571510                     3922705                     
GPU 5           73.735            0.000        0.000        0.000        4655581                     4006818                     
GPU 6           73.509            0.000        0.000        0.000        1242041                     941417                      
GPU 7           73.221            0.000        0.000        0.000        4556471                     3929727                     
GPU 0           294.251           0.362        0.049        0.179        11373193                    78459750                    
GPU 1           301.660           0.522        0.052        0.132        15033728                    87045302                    
GPU 2           277.059           0.507        0.048        0.232        12102110                    83611348                    
GPU 3           273.643           0.515        0.047        0.132        14468060                    85560229                    
GPU 4           71.451            0.000        0.000        0.000        2162000                     1764050                     
GPU 5           73.484            0.000        0.000        0.000        2172251                     1761483                     
GPU 6           73.322            0.000        0.000        0.000        2834814                     2370840                     
GPU 7           73.251            0.000        0.000        0.000        2113604                     1715338                     
GPU 0           284.362           0.415        0.045        0.201        13403990                    75549233                    
GPU 1           300.883           0.390        0.044        0.232        10268141                    89051477                    
GPU 2           288.290           0.450        0.045        0.174        14255704                    93059247                    
GPU 3           270.611           0.405        0.050        0.208        12239472                    89028623                    
GPU 4           71.491            0.000        0.000        0.000        1967670                     1622935                     
GPU 5           73.726            0.000        0.000        0.000        1723198                     1396692                     
GPU 6           73.594            0.000        0.000        0.000        1717946                     1397731                     
GPU 7           73.350            0.000        0.000        0.000        1679315                     1371126                     
GPU 0           296.842           0.383        0.053        0.185        10039552                    78973884                    
GPU 1           310.815           0.486        0.053        0.120        14685957                    85114967                    
GPU 2           259.507           0.487        0.050        0.213        12279612                    81232782                    
GPU 3           278.909           0.476        0.046        0.140        12081969                    82012769                    
GPU 4           71.273            0.000        0.000        0.000        4331574                     3701775                     
GPU 5           73.839            0.000        0.000        0.000        4625197                     3968048                     
GPU 6           73.539            0.000        0.000        0.000        4571429                     3941502                     
GPU 7           73.282            0.000        0.000        0.000        4556867                     3927972                     
GPU 0           287.329           0.352        0.048        0.153        11549983                    73363879                    
GPU 1           301.367           0.389        0.046        0.184        8235437                     72002715                    
GPU 2           281.386           0.432        0.048        0.151        12516951                    77772484                    
GPU 3           279.881           0.435        0.049        0.161        13256605                    78015485                    
GPU 4           71.378            0.000        0.000        0.000        541912                      352190                      
GPU 5           73.711            0.000        0.000        0.000        673253                      423948                      
GPU 6           73.578            0.000        0.000        0.000        1436357                     1118914                     
GPU 7           73.494            0.000        0.000        0.000        1821568                     1452293                     
GPU 0           249.704           0.407        0.031        0.147        9807793                     69670183                    
GPU 1           253.298           0.399        0.026        0.114        12494755                    68227767                    
GPU 2           281.386           0.424        0.032        0.157        10129545                    71214476                    
GPU 3           237.325           0.409        0.031        0.161        10004415                    70916623                    
GPU 4           71.378            0.000        0.000        0.000        4519159                     3868249                     
GPU 5           73.711            0.000        0.000        0.000        4890828                     4209453                     
GPU 6           73.454            0.000        0.000        0.000        3441918                     2927759                     
GPU 7           73.256            0.000        0.000        0.000        1989421                     1630424                     
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       
ID               W                                                                                                               
GPU 0           206.329           0.344        0.024        0.077        12482569                    68124329                    
GPU 1           211.823           0.228        0.029        0.078        6758133                     50863549                    
GPU 2           219.618           0.347        0.025        0.081        12255746                    67807445                    
GPU 3           202.150           0.344        0.023        0.077        12358126                    68750597                    
GPU 4           71.540            0.000        0.000        0.000        1115656                     824407                      
GPU 5           73.536            0.000        0.000        0.000        2757170                     2268216                     
GPU 6           73.712            0.000        0.000        0.000        2697531                     2222057                     
GPU 7           73.058            0.000        0.000        0.000        4325176                     3695240                     
GPU 0           206.329           0.344        0.027        0.077        11686166                    68124329                    
GPU 1           241.448           0.237        0.029        0.078        8948169                     50863549                    
