#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 0           97.405            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1           99.075            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2           99.490            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3           97.601            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 4           72.083            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 5           74.022            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 6           73.994            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 7           73.354            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0           97.312            0.000        0.000        0.000        504757                      296145                      0                           0                           
GPU 1           99.017            0.000        0.000        0.000        572657                      369541                      0                           0                           
GPU 2           99.408            0.000        0.000        0.000        508425                      301386                      0                           0                           
GPU 3           97.508            0.000        0.000        0.000        4783804                     3964771                     0                           0                           
GPU 4           72.073            0.000        0.000        0.000        529314                      337503                      0                           0                           
GPU 5           74.020            0.000        0.000        0.000        1663132                     1337737                     0                           0                           
GPU 6           74.035            0.000        0.000        0.000        2180372                     1793565                     0                           0                           
GPU 7           73.319            0.000        0.000        0.000        2117309                     1733677                     0                           0                           
GPU 0           97.312            0.000        0.000        0.000        4267686                     296145                      0                           0                           
GPU 1           99.144            0.000        0.000        0.000        3547286                     369541                      0                           0                           
GPU 2           99.408            0.000        0.000        0.000        4162310                     301386                      0                           0                           
GPU 3           97.540            0.000        0.000        0.000        4783804                     821098                      0                           0                           
GPU 4           72.073            0.000        0.000        0.000        4146886                     3521761                     0                           0                           
GPU 5           74.020            0.000        0.000        0.000        1663132                     3131410                     0                           0                           
GPU 6           74.035            0.000        0.000        0.000        3689297                     3101411                     0                           0                           
GPU 7           73.319            0.000        0.000        0.000        3977389                     1733677                     0                           0                           
GPU 0           97.314            0.000        0.000        0.000        5354026                     3452621                     0                           0                           
