#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 0           100.822           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1           103.440           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2           102.623           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3           101.298           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 4           100.869           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 5           104.321           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 6           105.024           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 7           105.663           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0           100.761           0.000        0.000        0.000        520482                      310821                      0                           0                           
GPU 1           103.148           0.000        0.000        0.000        546873                      341286                      0                           0                           
GPU 2           102.579           0.000        0.000        0.000        508958                      307157                      0                           0                           
GPU 3           101.270           0.000        0.000        0.000        2812989                     2303972                     0                           0                           
GPU 4           100.727           0.000        0.000        0.000        538830                      323927                      0                           0                           
GPU 5           104.234           0.000        0.000        0.000        1624207                     1261001                     0                           0                           
GPU 6           105.016           0.000        0.000        0.000        2096589                     1658402                     0                           0                           
GPU 7           105.619           0.000        0.000        0.000        1569935                     1215586                     0                           0                           
GPU 0           100.761           0.000        0.000        0.000        3978151                     310821                      0                           0                           
GPU 1           103.297           0.000        0.000        0.000        3807420                     341286                      0                           0                           
GPU 2           102.579           0.000        0.000        0.000        3644807                     307157                      0                           0                           
GPU 3           101.270           0.000        0.000        0.000        2812989                     2817066                     0                           0                           
GPU 4           100.727           0.000        0.000        0.000        538830                      3325747                     0                           0                           
GPU 5           104.234           0.000        0.000        0.000        1624207                     3305011                     0                           0                           
GPU 6           105.016           0.000        0.000        0.000        3939964                     1658402                     0                           0                           
GPU 7           105.619           0.000        0.000        0.000        4107808                     1215586                     0                           0                           
GPU 0           100.714           0.000        0.000        0.000        4497596                     3686522                     0                           0                           
GPU 1           103.434           0.000        0.000        0.000        7177156                     5972068                     0                           0                           
GPU 2           102.532           0.000        0.000        0.000        4213515                     3458757                     0                           0                           
GPU 3           101.178           0.000        0.000        0.000        6012239                     4988227                     0                           0                           
GPU 4           100.737           0.000        0.000        0.000        4094678                     3357982                     0                           0                           
GPU 5           104.074           0.000        0.000        0.000        3006160                     2431658                     0                           0                           
GPU 6           104.970           0.000        0.000        0.000        6658831                     5556402                     0                           0                           
GPU 7           105.569           0.000        0.000        0.000        860930                      594483                      0                           0                           
GPU 0           100.653           0.000        0.000        0.000        6704400                     3778557                     0                           0                           
GPU 1           103.434           0.000        0.000        0.000        7177156                     4783400                     0                           0                           
GPU 2           102.350           0.000        0.000        0.000        4994532                     4112802                     0                           0                           
GPU 3           101.140           0.000        0.000        0.000        6105734                     4988227                     0                           0                           
GPU 4           100.737           0.000        0.000        0.000        4372098                     3668964                     0                           0                           
GPU 5           104.074           0.000        0.000        0.000        3006160                     5817559                     0                           0                           
GPU 6           104.970           0.000        0.000        0.000        6658831                     4332854                     0                           0                           
GPU 7           105.514           0.000        0.000        0.000        5038870                     594483                      0                           0                           
GPU 0           100.580           0.000        0.000        0.000        4326303                     3534414                     0                           0                           
GPU 1           103.170           0.000        0.000        0.000        4228194                     3460337                     0                           0                           
GPU 2           102.295           0.000        0.000        0.000        7476784                     6235656                     0                           0                           
GPU 3           101.055           0.000        0.000        0.000        4198465                     3441588                     0                           0                           
GPU 4           100.632           0.000        0.000        0.000        7902850                     6709101                     0                           0                           
GPU 5           104.031           0.000        0.000        0.000        4954141                     4160773                     0                           0                           
GPU 6           104.819           0.000        0.000        0.000        5876814                     4945917                     0                           0                           
GPU 7           105.496           0.000        0.000        0.000        6517809                     5523234                     0                           0                           
GPU 0           100.534           0.000        0.000        0.000        4151809                     3460976                     0                           0                           
GPU 1           103.190           0.000        0.000        0.000        4102599                     3423288                     0                           0                           
GPU 2           102.200           0.000        0.000        0.000        3833110                     3159577                     0                           0                           
GPU 3           100.820           0.000        0.000        0.000        4061965                     3395278                     0                           0                           
GPU 4           100.612           0.000        0.000        0.000        4139301                     3398231                     0                           0                           
GPU 5           103.987           0.000        0.000        0.000        4418575                     3663801                     0                           0                           
GPU 6           104.742           0.000        0.000        0.000        4140167                     3435814                     0                           0                           
GPU 7           105.495           0.000        0.000        0.000        4290231                     3513953                     0                           0                           
GPU 0           100.393           0.000        0.000        0.000        4151809                     2423192                     0                           0                           
GPU 1           103.190           0.000        0.000        0.000        4102599                     2431976                     0                           0                           
GPU 2           102.180           0.000        0.000        0.000        547340                      341796                      0                           0                           
GPU 3           100.909           0.000        0.000        0.000        2924335                     3395278                     0                           0                           
GPU 4           100.633           0.000        0.000        0.000        500577                      296152                      0                           0                           
GPU 5           103.969           0.000        0.000        0.000        2871341                     2380229                     0                           0                           
GPU 6           104.603           0.000        0.000        0.000        4140167                     788807                      0                           0                           
GPU 7           105.394           0.000        0.000        0.000        751280                      3513953                     0                           0                           
GPU 0           100.394           0.000        0.000        0.000        2994114                     2423192                     0                           0                           
GPU 1           103.120           0.000        0.000        0.000        2993201                     2835786                     0                           0                           
GPU 2           102.180           0.000        0.000        0.000        3818946                     3033979                     0                           0                           
GPU 3           100.748           0.000        0.000        0.000        2401008                     2367127                     0                           0                           
GPU 4           100.633           0.000        0.000        0.000        3483678                     3510034                     0                           0                           
GPU 5           103.969           0.000        0.000        0.000        2871341                     2287428                     0                           0                           
GPU 6           104.603           0.000        0.000        0.000        1107213                     2817535                     0                           0                           
GPU 7           105.362           0.000        0.000        0.000        4583610                     473481                      0                           0                           
GPU 0           100.414           0.000        0.000        0.000        3436154                     4872568                     0                           0                           
GPU 1           103.189           0.000        0.000        0.000        3475195                     3503156                     0                           0                           
GPU 2           102.128           0.000        0.000        0.000        3729156                     3461362                     0                           0                           
GPU 3           100.788           0.000        0.000        0.000        6773389                     1897421                     0                           0                           
GPU 4           100.658           0.000        0.000        0.000        4883924                     2857560                     0                           0                           
GPU 5           103.867           0.000        0.000        0.000        3653996                     3009616                     0                           0                           
GPU 6           104.567           0.000        0.000        0.000        5342536                     4449096                     0                           0                           
GPU 7           105.280           0.000        0.000        0.000        4642777                     3825503                     0                           0                           
GPU 0           100.368           0.000        0.000        0.000        5857958                     315015                      0                           0                           
GPU 1           103.032           0.000        0.000        0.000        4193304                     2242637                     0                           0                           
GPU 2           102.106           0.000        0.000        0.000        4130678                     2385269                     0                           0                           
GPU 3           100.857           0.000        0.000        0.000        279374                      5689044                     0                           0                           
GPU 4           100.658           0.000        0.000        0.000        708543                      4063434                     0                           0                           
GPU 5           103.867           0.000        0.000        0.000        4212397                     3471019                     0                           0                           
GPU 6           104.567           0.000        0.000        0.000        2090841                     1666802                     0                           0                           
GPU 7           105.290           0.000        0.000        0.000        2673400                     2167675                     0                           0                           
GPU 0           100.301           0.000        0.000        0.000        519435                      3296310                     0                           0                           
GPU 1           103.140           0.000        0.000        0.000        2774655                     311348                      0                           0                           
GPU 2           102.116           0.000        0.000        0.000        2940058                     393781                      0                           0                           
GPU 3           100.861           0.000        0.000        0.000        4080567                     95920                       0                           0                           
GPU 4           100.496           0.000        0.000        0.000        4226976                     442184                      0                           0                           
GPU 5           103.686           0.000        0.000        0.000        1654717                     1944102                     0                           0                           
GPU 6           104.510           0.000        0.000        0.000        3947327                     3226105                     0                           0                           
GPU 7           105.176           0.000        0.000        0.000        2794037                     2206546                     0                           0                           
GPU 0           100.336           0.000        0.000        0.000        3991842                     161963                      0                           0                           
GPU 1           103.065           0.000        0.000        0.000        515245                      3348310                     0                           0                           
GPU 2           102.114           0.000        0.000        0.000        601483                      2831797                     0                           0                           
GPU 3           100.840           0.000        0.000        0.000        660890                      3392348                     0                           0                           
GPU 4           100.496           0.000        0.000        0.000        2372024                     3488508                     0                           0                           
GPU 5           103.686           0.000        0.000        0.000        1654717                     1276286                     0                           0                           
GPU 6           104.510           0.000        0.000        0.000        472252                      261023                      0                           0                           
GPU 7           105.214           0.000        0.000        0.000        1638081                     1261191                     0                           0                           
GPU 0           100.294           0.000        0.000        0.000        353803                      3408014                     0                           0                           
GPU 1           102.958           0.000        0.000        0.000        4040196                     99063                       0                           0                           
GPU 2           102.075           0.000        0.000        0.000        3454573                     314493                      0                           0                           
GPU 3           100.847           0.000        0.000        0.000        3928299                     407398                      0                           0                           
GPU 4           100.397           0.000        0.000        0.000        2135417                     1863202                     0                           0                           
GPU 5           103.546           0.000        0.000        0.000        4069101                     3319019                     0                           0                           
GPU 6           104.462           0.000        0.000        0.000        4099852                     3388064                     0                           0                           
GPU 7           105.128           0.000        0.000        0.000        4146077                     3376615                     0                           0                           
GPU 0           105.552           0.000        0.000        0.000        3370309                     2779326                     0                           0                           
GPU 1           102.982           0.000        0.012        0.009        287231                      5967944                     0                           0                           
GPU 2           117.419           0.000        0.000        0.000        516292                      3527545                     0                           0                           
GPU 3           100.766           0.000        0.000        0.000        3120178                     3270767                     0                           0                           
GPU 4           105.049           0.000        0.000        0.000        3835242                     1699029                     0                           0                           
GPU 5           105.620           0.006        0.002        0.002        4178501                     257358                      0                           0                           
GPU 6           125.282           0.000        0.000        0.000        264419                      66223                       0                           0                           
GPU 7           112.653           0.000        0.007        0.000        473313                      258409                      433039574                   0                           
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 0           105.552           0.000        0.037        0.000        1333154843                  2779326                     0                           0                           
GPU 1           168.750           0.030        0.012        0.009        4527587                     5967944                     1453967131                  1454156872                  
GPU 2           117.419           0.000        0.044        0.000        4186928                     3527545                     0                           0                           
GPU 3           185.836           0.000        0.038        0.000        3120178                     2565999                     0                           0                           
GPU 4           105.049           0.000        0.000        0.000        1432935701                  3185814                     0                           1950793805                  
GPU 5           105.620           0.006        0.002        0.002        4178501                     4056374                     309395672                   309394099                   
GPU 6           125.282           0.000        0.000        0.024        15377425                    126755432                   3522367415                  3524226986                  
GPU 7           112.653           0.018        0.007        0.005        260956655                   241544690                   433039574                   433040098                   
GPU 0           220.739           0.107        0.021        0.035        631505493                   1749297703                  2329999592                  2165885480                  
GPU 1           238.756           0.304        0.036        0.137        288704578                   3938398407                  4540832748                  4540651061                  
GPU 2           223.275           0.279        0.022        0.120        253545031                   3144408713                  5498791170                  5498763537                  
GPU 3           212.717           0.172        0.022        0.066        2279215567                  2393909614                  1950498502                  2871471807                  
GPU 4           220.694           0.198        0.040        0.079        648696941                   4334632238                  3117533595                  4215785                     
