#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 0           97.406            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1           99.199            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2           71.580            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3           71.544            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 4           71.918            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 5           74.025            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 6           73.952            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 7           73.735            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0           97.349            0.000        0.000        0.000        501088                      287234                      0                           0                           
GPU 1           99.239            0.000        0.000        0.000        479093                      278335                      0                           0                           
GPU 2           71.558            0.000        0.000        0.000        503113                      307633                      0                           0                           
GPU 3           71.529            0.000        0.000        0.000        507299                      310773                      0                           0                           
GPU 4           71.864            0.000        0.000        0.000        1663132                     1332393                     0                           0                           
GPU 5           73.988            0.000        0.000        0.000        1681882                     1340266                     0                           0                           
GPU 6           73.940            0.000        0.000        0.000        2275039                     1870448                     0                           0                           
GPU 7           73.735            0.000        0.000        0.000        2168089                     1778179                     0                           0                           
GPU 0           97.588            0.000        0.000        0.000        4225731                     3546951                     0                           0                           
GPU 1           99.258            0.000        0.000        0.000        4173346                     3505569                     0                           0                           
GPU 2           71.565            0.000        0.000        0.000        4549907                     3902690                     0                           0                           
GPU 3           71.528            0.000        0.000        0.000        4595924                     3944005                     0                           0                           
GPU 4           71.911            0.000        0.000        0.000        4511623                     3854977                     0                           0                           
GPU 5           74.016            0.000        0.000        0.000        4487261                     3836417                     0                           0                           
GPU 6           73.884            0.000        0.000        0.000        4492326                     3833123                     0                           0                           
GPU 7           73.736            0.000        0.000        0.000        4430590                     3790762                     0                           0                           
GPU 0           97.588            0.000        0.000        0.000        4225731                     3546951                     0                           0                           
GPU 1           99.258            0.000        0.000        0.000        4787766                     3505569                     0                           0                           
GPU 2           71.565            0.000        0.000        0.000        4549907                     3902690                     0                           0                           
GPU 3           71.528            0.000        0.000        0.000        4595924                     832834                      0                           0                           
GPU 4           71.911            0.000        0.000        0.000        4511623                     3854977                     0                           0                           
GPU 5           74.016            0.000        0.000        0.000        4487261                     3836417                     0                           0                           
GPU 6           73.884            0.000        0.000        0.000        4492326                     3833123                     0                           0                           
GPU 7           73.736            0.000        0.000        0.000        4430590                     3790762                     0                           0                           
GPU 0           97.470            0.000        0.000        0.000        3760764                     3093371                     0                           0                           
GPU 1           99.319            0.000        0.000        0.000        1757689                     3980894                     0                           0                           
GPU 2           71.575            0.000        0.000        0.000        3953597                     3326481                     0                           0                           
GPU 3           71.530            0.000        0.000        0.000        7693897                     6631867                     0                           0                           
GPU 4           72.019            0.000        0.000        0.000        3565919                     2988694                     0                           0                           
GPU 5           74.016            0.000        0.000        0.000        3335162                     2768696                     0                           0                           
GPU 6           73.923            0.000        0.000        0.000        5532108                     2541496                     0                           0                           
GPU 7           73.756            0.000        0.000        0.000        3178894                     2649078                     0                           0                           
GPU 0           97.398            0.000        0.000        0.000        6477838                     5401357                     0                           0                           
