#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 0           97.623            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1           99.269            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2           99.701            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3           97.753            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 4           72.067            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 5           74.172            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 6           74.095            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 7           73.747            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0           97.661            0.000        0.000        0.000        511028                      296134                      0                           0                           
GPU 1           99.303            0.000        0.000        0.000        490612                      289859                      0                           0                           
GPU 2           99.658            0.000        0.000        0.000        498994                      290381                      0                           0                           
GPU 3           97.737            0.000        0.000        0.000        573938                      359039                      0                           0                           
GPU 4           72.076            0.000        0.000        0.000        1902892                     1543381                     0                           0                           
GPU 5           74.194            0.000        0.000        0.000        2275097                     1872591                     0                           0                           
GPU 6           74.089            0.000        0.000        0.000        1669690                     1339525                     0                           0                           
GPU 7           73.734            0.000        0.000        0.000        2208739                     1826114                     0                           0                           
GPU 0           97.617            0.000        0.000        0.000        4214644                     3528539                     0                           0                           
GPU 1           99.301            0.000        0.000        0.000        4180787                     3518235                     0                           0                           
GPU 2           99.702            0.000        0.000        0.000        4134045                     3467314                     0                           0                           
GPU 3           97.726            0.000        0.000        0.000        3859293                     3203061                     0                           0                           
GPU 4           72.073            0.000        0.000        0.000        4506980                     3849800                     0                           0                           
GPU 5           74.128            0.000        0.000        0.000        4483327                     3820916                     0                           0                           
GPU 6           74.107            0.000        0.000        0.000        4458923                     3817517                     0                           0                           
GPU 7           73.750            0.000        0.000        0.000        4418340                     3775319                     0                           0                           
GPU 0           97.617            0.000        0.000        0.000        4214644                     3528539                     0                           0                           
GPU 1           99.301            0.000        0.000        0.000        2970777                     3518235                     0                           0                           
GPU 2           99.702            0.000        0.000        0.000        4134045                     3467314                     0                           0                           
GPU 3           97.726            0.000        0.000        0.000        3859293                     285653                      0                           0                           
GPU 4           72.073            0.000        0.000        0.000        4506980                     3849800                     0                           0                           
GPU 5           74.128            0.000        0.000        0.000        4483327                     3820916                     0                           0                           
GPU 6           74.107            0.000        0.000        0.000        4458923                     3817517                     0                           0                           
GPU 7           73.750            0.000        0.000        0.000        4418340                     3775319                     0                           0                           
GPU 0           97.510            0.000        0.000        0.000        4121167                     3406397                     0                           0                           
GPU 1           99.279            0.000        0.000        0.000        5287556                     2420827                     0                           0                           
GPU 2           99.741            0.000        0.000        0.000        3883447                     3198118                     0                           0                           
GPU 3           97.873            0.000        0.000        0.000        6367995                     5337306                     0                           0                           
GPU 4           72.055            0.000        0.000        0.000        4101828                     3456446                     0                           0                           
GPU 5           74.128            0.000        0.000        0.000        3377135                     2811246                     0                           0                           
GPU 6           74.103            0.000        0.000        0.000        6864319                     1926629                     0                           0                           
GPU 7           73.761            0.000        0.000        0.000        3324765                     2772568                     0                           0                           
GPU 0           97.472            0.000        0.000        0.000        7002470                     5840196                     0                           0                           
GPU 1           99.293            0.000        0.000        0.000        5835261                     4877943                     0                           0                           
GPU 2           99.677            0.000        0.000        0.000        5908633                     4924734                     0                           0                           
GPU 3           97.909            0.000        0.000        0.000        5914667                     4914288                     0                           0                           
GPU 4           72.058            0.000        0.000        0.000        5232945                     4470837                     0                           0                           
GPU 5           74.188            0.000        0.000        0.000        5753275                     4946252                     0                           0                           
GPU 6           74.108            0.000        0.000        0.000        6027186                     5177557                     0                           0                           
GPU 7           73.749            0.000        0.000        0.000        6642613                     5734341                     0                           0                           
GPU 0           97.457            0.000        0.000        0.000        5844977                     4816425                     0                           0                           
GPU 1           99.293            0.000        0.000        0.000        5835261                     5064201                     0                           0                           
GPU 2           99.697            0.000        0.000        0.000        6076043                     5075016                     0                           0                           
GPU 3           97.906            0.000        0.000        0.000        6078101                     4914288                     0                           0                           
GPU 4           72.062            0.000        0.000        0.000        7018709                     6040395                     0                           0                           
GPU 5           74.159            0.000        0.000        0.000        5753275                     5308091                     0                           0                           
GPU 6           74.108            0.000        0.000        0.000        6027186                     5678460                     0                           0                           
GPU 7           73.771            0.000        0.000        0.000        4647922                     5734341                     0                           0                           
GPU 0           97.454            0.000        0.000        0.000        3052713                     2512854                     0                           0                           
GPU 1           99.185            0.000        0.000        0.000        547238                      340713                      0                           0                           
GPU 2           99.637            0.000        0.000        0.000        1206736                     923106                      0                           0                           
GPU 3           97.837            0.000        0.000        0.000        554015                      338593                      0                           0                           
GPU 4           72.086            0.000        0.000        0.000        777739                      553432                      0                           0                           
GPU 5           74.152            0.000        0.000        0.000        4421559                     3789242                     0                           0                           
GPU 6           74.076            0.000        0.000        0.000        1162934                     901418                      0                           0                           
GPU 7           73.739            0.000        0.000        0.000        6858630                     5898701                     0                           0                           
GPU 0           97.466            0.000        0.000        0.000        2934184                     2394328                     0                           0                           
GPU 1           99.293            0.000        0.000        0.000        4199566                     3533359                     0                           0                           
GPU 2           99.663            0.000        0.000        0.000        3861334                     3206160                     0                           0                           
GPU 3           97.760            0.000        0.000        0.000        4147067                     3473536                     0                           0                           
GPU 4           72.076            0.000        0.000        0.000        4544051                     3893703                     0                           0                           
GPU 5           74.170            0.000        0.000        0.000        2434642                     1985549                     0                           0                           
GPU 6           74.077            0.000        0.000        0.000        4481227                     3833491                     0                           0                           
GPU 7           73.766            0.000        0.000        0.000        1699712                     1375284                     0                           0                           
GPU 0           97.468            0.000        0.000        0.000        1372089                     2879120                     0                           0                           
GPU 1           99.293            0.000        0.000        0.000        4199566                     2406763                     0                           0                           
GPU 2           99.669            0.000        0.000        0.000        495850                      285664                      0                           0                           
GPU 3           97.829            0.000        0.000        0.000        2740482                     3473536                     0                           0                           
GPU 4           72.061            0.000        0.000        0.000        1163929                     862822                      0                           0                           
GPU 5           74.100            0.000        0.000        0.000        2254845                     1857116                     0                           0                           
GPU 6           74.069            0.000        0.000        0.000        4481227                     1456931                     0                           0                           
GPU 7           73.750            0.000        0.000        0.000        1838680                     1456109                     0                           0                           
GPU 0           97.480            0.000        0.000        0.000        4498147                     3672631                     0                           0                           
GPU 1           99.313            0.000        0.000        0.000        4346643                     3588837                     0                           0                           
GPU 2           99.697            0.000        0.000        0.000        7041022                     5881257                     0                           0                           
GPU 3           97.634            0.000        0.000        0.000        4440318                     3636847                     0                           0                           
GPU 4           72.077            0.000        0.000        0.000        5729640                     4897233                     0                           0                           
GPU 5           74.210            0.000        0.000        0.000        4146311                     3491304                     0                           0                           
GPU 6           74.108            0.000        0.000        0.000        6004762                     5171044                     0                           0                           
GPU 7           73.754            0.000        0.000        0.000        6224673                     5345416                     0                           0                           
GPU 0           97.537            0.000        0.000        0.000        4498147                     2335027                     0                           0                           
GPU 1           99.313            0.000        0.000        0.000        4346643                     2322091                     0                           0                           
GPU 2           99.649            0.000        0.000        0.000        507265                      290614                      0                           0                           
GPU 3           97.782            0.000        0.000        0.000        2833206                     3636847                     0                           0                           
GPU 4           72.077            0.000        0.000        0.000        2220816                     1813028                     0                           0                           
GPU 5           74.210            0.000        0.000        0.000        4146311                     3558036                     0                           0                           
GPU 6           74.108            0.000        0.000        0.000        6004762                     841582                      0                           0                           
GPU 7           73.763            0.000        0.000        0.000        454889                      5345416                     0                           0                           
GPU 0           97.552            0.000        0.000        0.000        581786                      363616                      0                           0                           
GPU 1           99.274            0.000        0.000        0.000        487481                      286198                      0                           0                           
GPU 2           99.648            0.000        0.000        0.000        3867103                     3220838                     0                           0                           
GPU 3           97.815            0.000        0.000        0.000        496889                      285134                      0                           0                           
GPU 4           72.081            0.000        0.000        0.000        4527305                     3875905                     0                           0                           
GPU 5           74.177            0.000        0.000        0.000        2256750                     1855818                     0                           0                           
GPU 6           74.077            0.000        0.000        0.000        4123068                     3520395                     0                           0                           
GPU 7           73.739            0.000        0.000        0.000        4440168                     3803538                     0                           0                           
GPU 0           97.560            0.000        0.000        0.000        3850278                     3175195                     0                           0                           
GPU 1           99.338            0.000        0.000        0.000        4068403                     3389637                     0                           0                           
GPU 2           99.685            0.000        0.000        0.000        500035                      287756                      0                           0                           
GPU 3           97.792            0.000        0.000        0.000        4008918                     3336484                     0                           0                           
GPU 4           72.065            0.000        0.000        0.000        688284                      452028                      0                           0                           
GPU 5           74.125            0.000        0.000        0.000        4250251                     3584757                     0                           0                           
GPU 6           74.079            0.000        0.000        0.000        2606565                     2129655                     0                           0                           
GPU 7           73.774            0.000        0.000        0.000        1968373                     1571379                     0                           0                           
GPU 0           97.560            0.000        0.000        0.000        3850278                     3175195                     0                           0                           
GPU 1           99.338            0.000        0.000        0.000        4068403                     3389637                     0                           0                           
GPU 2           99.685            0.000        0.000        0.000        4034990                     287756                      0                           0                           
GPU 3           97.792            0.000        0.000        0.000        4008918                     3336484                     0                           0                           
GPU 4           72.065            0.000        0.000        0.000        688284                      3524933                     0                           0                           
GPU 5           74.125            0.000        0.000        0.000        4250251                     3584757                     0                           0                           
GPU 6           74.079            0.000        0.000        0.000        2606565                     2129655                     0                           0                           
GPU 7           73.774            0.000        0.000        0.000        2545585                     1571379                     0                           0                           
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 0           97.355            0.000        0.000        0.000        469626                      254206                      0                           0                           
GPU 1           99.314            0.000        0.000        0.000        2788514                     2269973                     0                           0                           
GPU 2           99.659            0.000        0.000        0.000        2979033                     2435155                     0                           0                           
GPU 3           97.832            0.000        0.000        0.000        1118793                     807170                      0                           0                           
GPU 4           72.064            0.000        0.000        0.000        2185341                     1766658                     0                           0                           
GPU 5           74.125            0.000        0.000        0.000        1801770                     1434604                     0                           0                           
GPU 6           74.095            0.000        0.000        0.000        1586899                     3715565                     0                           0                           
GPU 7           73.746            0.000        0.000        0.000        3509210                     2100796                     0                           0                           
GPU 0           97.476            0.000        0.001        0.000        4156847                     3470241                     0                           0                           
GPU 1           99.310            0.000        0.000        0.000        507919                      469655                      0                           0                           
GPU 2           99.641            0.000        0.002        0.000        551518                      521234                      0                           0                           
GPU 3           121.464           0.000        0.002        0.000        3399038                     2868320                     0                           0                           
GPU 4           72.075            0.000        0.000        0.000        2251769                     1852363                     0                           0                           
GPU 5           74.178            0.000        0.000        0.000        2234966                     1807362                     0                           0                           
GPU 6           74.095            0.000        0.000        0.000        4364781                     785244                      0                           0                           
GPU 7           73.762            0.000        0.000        0.000        1050758                     2939540                     0                           0                           
GPU 0           134.844           0.024        0.001        0.007        4065696                     6853508                     302838434                   302078469                   
GPU 1           126.988           0.040        0.002        0.010        8651303                     81946282                    629621591                   633504352                   
GPU 2           126.516           0.016        0.000        0.010        4333607                     7614737                     629635771                   629636296                   
GPU 3           120.026           0.037        0.000        0.009        4809524                     14442391                    572374385                   572371527                   
GPU 4           72.040            0.000        0.000        0.000        4217408                     3563941                     0                           0                           
GPU 5           74.142            0.000        0.000        0.000        4285144                     3634879                     0                           0                           
GPU 6           74.064            0.000        0.000        0.000        1076981                     3317781                     0                           0                           
GPU 7           73.733            0.000        0.000        0.000        4195689                     787675                      0                           0                           
GPU 0           101.513           0.054        0.000        0.003        4682126                     52848625                    360137616                   361067636                   
GPU 1           103.462           0.001        0.000        0.001        10812633                    174495984                   26131154                    23358358                    
GPU 2           105.512           0.034        0.000        0.000        30632789                    447343339                   29446662                    29446138                    
GPU 3           100.934           0.038        0.000        0.000        4126115                     39541405                    30713207                    30716701                    
GPU 4           72.056            0.000        0.000        0.000        708374                      469483                      0                           0                           
GPU 5           74.136            0.000        0.000        0.000        2207991                     1789898                     0                           0                           
GPU 6           74.097            0.000        0.000        0.000        2927772                     2441702                     0                           0                           
GPU 7           73.758            0.000        0.000        0.000        2188880                     1775658                     0                           0                           
GPU 0           101.030           0.002        0.000        0.001        13278257                    201299729                   8940050                     8939002                     
GPU 1           102.180           0.001        0.000        0.000        625055                      870098                      3431253                     3431253                     
GPU 2           104.182           0.005        0.000        0.001        290507936                   6295819314                  9881040                     9880516                     
GPU 3           103.996           0.001        0.000        0.001        5451032                     30780510                    8939168                     8938120                     
GPU 4           72.070            0.000        0.000        0.000        3589819                     4239669                     0                           0                           
GPU 5           74.140            0.000        0.000        0.000        1708344                     1364055                     0                           0                           
GPU 6           74.121            0.000        0.000        0.000        1193861                     916621                      0                           0                           
GPU 7           73.755            0.000        0.000        0.000        1651033                     1332881                     0                           0                           
GPU 0           120.293           0.001        0.014        0.000        835468                      2396861                     2745410                     5612420                     
GPU 1           139.109           0.016        0.000        0.000        4020573                     4521637                     103066823                   111655681                   
GPU 2           139.920           0.082        0.016        0.000        53351606                    911443326                   54655723                    46848648                    
GPU 3           130.441           0.001        0.015        0.000        808566                      1510404                     49343545                    49344021                    
GPU 4           72.023            0.000        0.000        0.000        542135                      3025580                     0                           0                           
GPU 5           74.169            0.000        0.000        0.000        4550934                     3895411                     0                           0                           
GPU 6           74.070            0.000        0.000        0.000        4511522                     3868142                     0                           0                           
GPU 7           73.826            0.000        0.000        0.000        4464551                     3823613                     0                           0                           
GPU 0           115.389           0.000        0.000        0.000        2825459                     2291591                     0                           0                           
GPU 1           99.425            0.052        0.014        0.019        1045212                     4504793                     4076141743                  4067550450                  
GPU 2           100.000           0.102        0.000        0.021        10199050                    169376576                   4576365954                  4585910421                  
GPU 3           97.970            0.000        0.000        0.000        3538799                     2925096                     0                           0                           
GPU 4           72.045            0.000        0.000        0.000        4585549                     346477                      0                           0                           
GPU 5           74.168            0.000        0.000        0.000        2906786                     2415334                     0                           0                           
GPU 6           74.071            0.000        0.000        0.000        2371609                     1946308                     0                           0                           
GPU 7           73.707            0.000        0.000        0.000        1116255                     831355                      0                           0                           
GPU 0           97.791            0.000        0.000        0.000        509453                      296133                      0                           0                           
GPU 1           99.434            0.000        0.000        0.000        4172367                     3505103                     0                           0                           
GPU 2           99.809            0.000        0.000        0.000        3869275                     3215660                     0                           0                           
GPU 3           97.833            0.000        0.000        0.000        498982                      287229                      0                           0                           
GPU 4           72.060            0.000        0.000        0.000        696038                      3939977                     0                           0                           
GPU 5           74.136            0.000        0.000        0.000        775029                      532406                      0                           0                           
GPU 6           74.099            0.000        0.000        0.000        1839480                     1493594                     0                           0                           
GPU 7           73.744            0.000        0.000        0.000        3789636                     3216649                     0                           0                           
GPU 0           97.783            0.000        0.000        0.000        4161163                     3478730                     0                           0                           
GPU 1           99.413            0.000        0.000        0.000        3240081                     311584                      0                           0                           
GPU 2           99.874            0.000        0.000        0.000        501077                      288801                      0                           0                           
GPU 3           97.963            0.000        0.000        0.000        4097252                     3415337                     0                           0                           
GPU 4           72.055            0.000        0.000        0.000        4320107                     453544                      0                           0                           
GPU 5           74.203            0.000        0.000        0.000        4422361                     3760814                     0                           0                           
GPU 6           74.071            0.000        0.000        0.000        4390560                     3742300                     0                           0                           
GPU 7           73.721            0.000        0.000        0.000        2702571                     2228298                     0                           0                           
GPU 0           97.809            0.000        0.000        0.000        3251787                     2661268                     0                           0                           
GPU 1           99.435            0.000        0.000        0.000        507854                      3390814                     0                           0                           
GPU 2           99.976            0.000        0.000        0.000        3055178                     2935035                     0                           0                           
