#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 0           73.870            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1           74.050            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2           73.642            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3           73.078            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 4           73.223            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 5           76.161            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 6           76.063            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 7           76.095            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0           73.887            0.000        0.000        0.000        234790                      48215                       0                           0                           
GPU 1           74.104            0.000        0.000        0.000        1318034                     1048139                     0                           0                           
GPU 2           73.617            0.000        0.000        0.000        234266                      47691                       0                           0                           
GPU 3           73.064            0.000        0.000        0.000        1341569                     1057010                     0                           0                           
GPU 4           73.241            0.000        0.000        0.000        1302883                     1032454                     0                           0                           
GPU 5           76.104            0.000        0.000        0.000        1296571                     1026146                     0                           0                           
GPU 6           75.962            0.000        0.000        0.000        1305504                     1034027                     0                           0                           
GPU 7           76.014            0.000        0.000        0.000        1302298                     1031357                     0                           0                           
GPU 0           73.840            0.000        0.000        0.000        200196                      15198                       0                           0                           
GPU 1           73.979            0.000        0.000        0.000        200723                      15198                       0                           0                           
GPU 2           73.629            0.000        0.000        0.000        199677                      15198                       0                           0                           
GPU 3           73.075            0.000        0.000        0.000        216428                      16245                       0                           0                           
GPU 4           73.216            0.000        0.000        0.000        201246                      15198                       0                           0                           
GPU 5           76.084            0.000        0.000        0.000        200199                      15198                       0                           0                           
GPU 6           75.939            0.000        0.000        0.000        200196                      15198                       0                           0                           
GPU 7           75.979            0.000        0.000        0.000        200200                      15198                       0                           0                           
