#Entity         POWER             SMACT        DRAMA        NVLTX                       NVLRX                       
ID               W                                                                                                  
GPU 0           71.889            N/A          N/A          N/A                         N/A                         
GPU 1           72.343            N/A          N/A          N/A                         N/A                         
GPU 2           71.390            N/A          N/A          N/A                         N/A                         
GPU 3           71.535            N/A          N/A          N/A                         N/A                         
GPU 4           71.598            N/A          N/A          N/A                         N/A                         
GPU 5           73.903            N/A          N/A          N/A                         N/A                         
GPU 6           73.642            N/A          N/A          N/A                         N/A                         
GPU 7           73.332            N/A          N/A          N/A                         N/A                         
GPU 0           71.972            0.000        0.000        0                           0                           
GPU 1           72.321            0.000        0.000        0                           0                           
GPU 2           71.367            0.000        0.000        0                           0                           
GPU 3           71.424            0.000        0.000        0                           0                           
GPU 4           71.641            0.000        0.000        0                           0                           
GPU 5           73.913            0.000        0.000        0                           0                           
GPU 6           73.668            0.000        0.000        0                           0                           
GPU 7           73.313            0.000        0.000        0                           0                           
GPU 0           71.877            0.000        0.000        0                           0                           
GPU 1           72.331            0.000        0.000        0                           0                           
GPU 2           71.481            0.000        0.000        0                           0                           
GPU 3           71.522            0.000        0.000        0                           0                           
GPU 4           71.600            0.000        0.000        0                           0                           
GPU 5           74.007            0.000        0.000        0                           0                           
GPU 6           73.660            0.000        0.000        0                           0                           
GPU 7           73.293            0.000        0.000        0                           0                           
GPU 0           71.898            0.000        0.000        0                           0                           
GPU 1           72.296            0.000        0.000        0                           0                           
GPU 2           71.481            0.000        0.000        0                           0                           
GPU 3           71.511            0.000        0.000        0                           0                           
GPU 4           71.600            0.000        0.000        0                           0                           
GPU 5           74.007            0.000        0.000        0                           0                           
GPU 6           73.660            0.000        0.000        0                           0                           
GPU 7           73.293            0.000        0.000        0                           0                           
GPU 0           71.915            0.000        0.000        0                           0                           
GPU 1           72.326            0.000        0.000        0                           0                           
GPU 2           71.410            0.000        0.000        0                           0                           
GPU 3           71.556            0.000        0.000        0                           0                           
GPU 4           71.590            0.000        0.000        0                           0                           
GPU 5           73.958            0.000        0.000        0                           0                           
GPU 6           73.628            0.000        0.000        0                           0                           
GPU 7           73.359            0.000        0.000        0                           0                           
GPU 0           71.851            0.000        0.000        0                           0                           
GPU 1           72.387            0.000        0.000        0                           0                           
GPU 2           71.505            0.000        0.000        0                           0                           
GPU 3           71.544            0.000        0.000        0                           0                           
GPU 4           71.579            0.000        0.000        0                           0                           
GPU 5           73.935            0.000        0.000        0                           0                           
GPU 6           73.617            0.000        0.000        0                           0                           
GPU 7           73.339            0.000        0.000        0                           0                           
GPU 0           71.851            0.000        0.000        0                           0                           
GPU 1           72.339            0.000        0.000        0                           0                           
GPU 2           71.505            0.000        0.000        0                           0                           
GPU 3           71.544            0.000        0.000        0                           0                           
GPU 4           71.579            0.000        0.000        0                           0                           
GPU 5           73.935            0.000        0.000        0                           0                           
GPU 6           73.617            0.000        0.000        0                           0                           
GPU 7           73.339            0.000        0.000        0                           0                           
GPU 0           72.040            0.000        0.000        0                           0                           
GPU 1           72.336            0.000        0.000        0                           0                           
GPU 2           71.429            0.000        0.000        0                           0                           
GPU 3           71.518            0.000        0.000        0                           0                           
GPU 4           71.585            0.000        0.000        0                           0                           
GPU 5           74.006            0.000        0.000        0                           0                           
GPU 6           73.624            0.000        0.000        0                           0                           
GPU 7           73.336            0.000        0.000        0                           0                           
GPU 0           71.910            0.000        0.000        0                           0                           
GPU 1           72.319            0.000        0.000        0                           0                           
GPU 2           71.418            0.000        0.000        0                           0                           
GPU 3           71.513            0.000        0.000        0                           0                           
GPU 4           71.567            0.000        0.000        0                           0                           
GPU 5           73.935            0.000        0.000        0                           0                           
GPU 6           73.616            0.000        0.000        0                           0                           
GPU 7           73.291            0.000        0.000        0                           0                           
GPU 0           71.884            0.000        0.000        0                           0                           
GPU 1           72.326            0.000        0.000        0                           0                           
GPU 2           71.502            0.000        0.000        0                           0                           
GPU 3           71.522            0.000        0.000        0                           0                           
GPU 4           71.581            0.000        0.000        0                           0                           
GPU 5           73.940            0.000        0.000        0                           0                           
GPU 6           73.621            0.000        0.000        0                           0                           
GPU 7           73.440            0.000        0.000        0                           0                           
