#Entity         NVLTX                       NVLRX                       
ID                                                                      
GPU 0           N/A                         N/A                         
GPU 1           N/A                         N/A                         
GPU 2           N/A                         N/A                         
GPU 3           N/A                         N/A                         
GPU 4           N/A                         N/A                         
GPU 5           N/A                         N/A                         
GPU 6           N/A                         N/A                         
GPU 7           N/A                         N/A                         
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
#Entity         NVLTX                       NVLRX                       
ID                                                                      
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
GPU 0           0                           0                           
GPU 1           0                           0                           
GPU 2           0                           0                           
GPU 3           0                           0                           
GPU 4           0                           0                           
GPU 5           0                           0                           
GPU 6           0                           0                           
GPU 7           0                           0                           
