#Entity         TMPTR        MMTMP             POWER             SMCLK        DVCCTR                      
ID               C           C                  W                                                         
GPU 0           37           39                73.160            345          1                           
GPU 1           36           37                73.403            345          1                           
GPU 2           37           35                72.678            345          1                           
GPU 3           37           35                72.592            345          1                           
GPU 4           37           38                72.638            345          1                           
GPU 5           37           37                75.122            345          1                           
GPU 6           36           37                74.956            345          1                           
GPU 7           38           34                74.741            345          1                           
GPU 0           37           39                73.253            345          1                           
GPU 1           36           37                73.349            345          1                           
GPU 2           37           35                72.618            345          1                           
GPU 3           37           35                72.542            345          1                           
GPU 4           37           38                72.625            345          1                           
GPU 5           37           37                75.037            345          1                           
GPU 6           36           37                75.043            345          1                           
GPU 7           38           34                74.738            345          1                           
GPU 0           37           38                73.258            345          1                           
GPU 1           36           37                73.380            345          1                           
GPU 2           37           35                72.641            345          1                           
GPU 3           37           35                72.545            345          1                           
GPU 4           37           38                72.681            345          1                           
GPU 5           37           37                75.063            345          1                           
GPU 6           36           37                75.071            345          1                           
GPU 7           38           34                74.745            345          1                           
GPU 0           37           38                73.167            345          1                           
GPU 1           36           37                73.363            345          1                           
GPU 2           37           35                72.643            345          1                           
GPU 3           37           35                72.530            345          1                           
GPU 4           37           38                72.625            345          1                           
GPU 5           37           37                75.036            345          1                           
GPU 6           36           37                75.042            345          1                           
GPU 7           38           34                74.747            345          1                           
GPU 0           37           38                73.248            345          1                           
GPU 1           36           37                73.349            345          1                           
GPU 2           37           34                72.614            345          1                           
GPU 3           37           35                72.551            345          1                           
GPU 4           37           38                72.604            345          1                           
GPU 5           36           37                75.062            345          1                           
GPU 6           36           37                74.974            345          1                           
GPU 7           38           34                74.753            345          1                           
GPU 0           37           39                73.156            345          1                           
GPU 1           36           37                73.367            345          1                           
GPU 2           37           34                72.631            345          1                           
GPU 3           37           35                72.558            345          1                           
GPU 4           37           38                72.625            345          1                           
GPU 5           36           37                75.057            345          1                           
GPU 6           36           37                74.941            345          1                           
GPU 7           38           34                77.442            810          1                           
GPU 0           37           38                73.262            345          1                           
GPU 1           36           37                73.352            345          1                           
GPU 2           37           35                72.618            345          1                           
GPU 3           37           35                72.548            345          1                           
GPU 4           37           38                72.631            345          1                           
GPU 5           38           37                101.467           1785         0                           
GPU 6           36           37                74.978            345          1                           
GPU 7           38           34                74.732            345          1                           
GPU 0           49           44                445.370           900          4                           
GPU 1           48           43                445.086           885          4                           
GPU 2           49           41                444.897           930          4                           
GPU 3           50           41                445.745           945          4                           
GPU 4           50           43                444.809           1005         4                           
GPU 5           49           43                449.171           885          4                           
GPU 6           48           42                448.507           915          4                           
GPU 7           50           40                446.111           960          4                           
GPU 0           53           48                447.134           960          4                           
GPU 1           52           45                446.940           900          4                           
GPU 2           54           44                447.502           960          4                           
GPU 3           55           45                447.902           945          4                           
GPU 4           54           48                447.665           915          4                           
GPU 5           54           46                448.307           885          4                           
GPU 6           53           45                447.608           900          4                           
GPU 7           54           44                447.513           945          4                           
GPU 0           57           51                448.573           915          4                           
GPU 1           56           49                446.668           915          4                           
GPU 2           57           48                448.172           930          4                           
GPU 3           58           48                448.367           915          4                           
GPU 4           58           51                448.177           900          4                           
GPU 5           58           50                449.850           870          4                           
GPU 6           56           49                447.725           915          4                           
GPU 7           58           48                447.896           915          4                           
GPU 0           60           53                448.824           840          4                           
GPU 1           59           52                446.400           945          4                           
GPU 2           61           51                448.179           945          4                           
GPU 3           61           52                448.377           900          4                           
GPU 4           61           53                448.037           885          4                           
GPU 5           61           52                447.594           900          4                           
GPU 6           59           52                448.315           915          4                           
GPU 7           61           51                448.333           900          4                           
GPU 0           63           55                448.043           915          4                           
GPU 1           62           53                446.712           930          4                           
GPU 2           63           53                448.494           930          4                           
GPU 3           64           53                447.834           885          4                           
GPU 4           63           55                447.521           915          4                           
GPU 5           63           54                448.473           870          4                           
GPU 6           62           53                448.352           930          4                           
GPU 7           63           52                448.539           915          4                           
GPU 0           65           57                449.185           900          4                           
GPU 1           63           55                446.939           915          4                           
GPU 2           65           55                448.907           900          4                           
GPU 3           66           55                448.155           930          4                           
GPU 4           65           57                448.340           915          4                           
GPU 5           65           56                449.744           870          4                           
GPU 6           64           55                449.377           900          4                           
GPU 7           65           54                447.288           915          4                           
GPU 0           66           59                449.086           915          4                           
GPU 1           65           57                446.118           915          4                           
GPU 2           66           56                447.752           930          4                           
GPU 3           67           57                448.226           975          4                           
GPU 4           67           58                447.895           915          4                           
GPU 5           66           57                448.954           870          4                           
GPU 6           65           57                448.187           900          4                           
GPU 7           67           56                448.978           900          4                           
GPU 0           67           60                448.474           885          4                           
GPU 1           66           58                447.321           915          4                           
GPU 2           67           57                448.102           945          4                           
GPU 3           68           58                448.605           945          4                           
GPU 4           68           59                448.246           930          4                           
GPU 5           68           58                449.417           870          4                           
GPU 6           66           58                447.821           900          4                           
GPU 7           68           57                448.146           900          4                           
