#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 0           206.350           0.518        0.053        0.324        15941656                    87401800                    3041341767                  3041341767                  
GPU 1           202.186           0.513        0.052        0.319        16762387                    88005676                    2901659222                  2901659222                  
GPU 2           71.164            0.000        0.000        0.000        4430535                     3777012                     0                           0                           
GPU 3           71.281            0.000        0.000        0.000        5594224                     4826492                     0                           0                           
GPU 4           71.736            0.000        0.000        0.000        4321393                     3703552                     0                           0                           
GPU 5           73.493            0.000        0.000        0.000        1189885                     894566                      0                           0                           
GPU 6           73.366            0.000        0.000        0.000        1684699                     1332527                     0                           0                           
GPU 7           73.122            0.000        0.000        0.000        1779150                     1411940                     0                           0                           
GPU 0           206.350           0.518        0.005        0.324        4355344                     87401800                    3041341767                  3041341767                  
GPU 1           108.865           0.058        0.052        0.319        4586826                     88005676                    2901659222                  2901659222                  
GPU 2           71.164            0.000        0.000        0.000        2786425                     3777012                     0                           0                           
GPU 3           71.330            0.000        0.000        0.000        5594224                     2186015                     0                           0                           
GPU 4           71.736            0.000        0.000        0.000        3282991                     2740395                     0                           0                           
GPU 5           73.493            0.000        0.000        0.000        1189885                     2522742                     0                           0                           
GPU 6           73.366            0.000        0.000        0.000        2830843                     2359763                     0                           0                           
GPU 7           73.122            0.000        0.000        0.000        2536610                     1411940                     0                           0                           
GPU 0           108.363           0.057        0.005        0.038        4355344                     15592699                    147965543                   147965543                   
GPU 1           108.865           0.058        0.005        0.038        3522689                     16369454                    147725285                   147724669                   
GPU 2           71.132            0.000        0.000        0.000        2786425                     2314760                     0                           0                           
GPU 3           71.330            0.000        0.000        0.000        2662896                     1683182                     0                           0                           
GPU 4           71.686            0.000        0.000        0.000        3282991                     2740395                     0                           0                           
GPU 5           73.540            0.000        0.000        0.000        3026628                     2522742                     0                           0                           
GPU 6           73.320            0.000        0.000        0.000        2830843                     2359763                     0                           0                           
GPU 7           73.161            0.000        0.000        0.000        2536610                     2097295                     0                           0                           
GPU 0           107.478           0.000        0.000        0.000        4788467                     4009659                     0                           0                           
GPU 1           108.149           0.000        0.000        0.000        4224468                     2926911                     0                           0                           
GPU 2           71.119            0.000        0.000        0.000        4688043                     4026439                     0                           0                           
GPU 3           71.327            0.000        0.000        0.000        8024138                     6951613                     0                           0                           
GPU 4           71.620            0.000        0.000        0.000        4612798                     3971121                     0                           0                           
GPU 5           73.557            0.000        0.000        0.000        4403634                     3757813                     0                           0                           
GPU 6           73.430            0.000        0.000        0.000        6112626                     3195857                     0                           0                           
GPU 7           73.174            0.000        0.000        0.000        4175462                     3569583                     0                           0                           
GPU 0           107.055           0.000        0.000        0.000        4740655                     3924727                     0                           0                           
GPU 1           107.821           0.000        0.000        0.000        6495866                     5499122                     0                           0                           
GPU 2           71.128            0.000        0.000        0.000        5301704                     4568956                     0                           0                           
GPU 3           71.244            0.000        0.000        0.000        6331146                     5472146                     0                           0                           
GPU 4           71.645            0.000        0.000        0.000        5620654                     4850298                     0                           0                           
GPU 5           73.524            0.000        0.000        0.000        6938283                     6028763                     0                           0                           
GPU 6           73.338            0.000        0.000        0.000        6388614                     5546159                     0                           0                           
GPU 7           73.186            0.000        0.000        0.000        5812467                     5030624                     0                           0                           
GPU 0           107.055           0.000        0.000        0.000        7234133                     3924727                     0                           0                           
GPU 1           107.821           0.000        0.000        0.000        6495866                     5499122                     0                           0                           
GPU 2           71.128            0.000        0.000        0.000        7279813                     4568956                     0                           0                           
GPU 3           71.244            0.000        0.000        0.000        6331146                     5472146                     0                           0                           
GPU 4           71.645            0.000        0.000        0.000        5620654                     6039209                     0                           0                           
GPU 5           73.524            0.000        0.000        0.000        6938283                     5166543                     0                           0                           
GPU 6           73.338            0.000        0.000        0.000        6388614                     5546159                     0                           0                           
GPU 7           73.186            0.000        0.000        0.000        7112594                     5030624                     0                           0                           
GPU 0           106.697           0.000        0.000        0.000        4589459                     3782792                     0                           0                           
GPU 1           107.534           0.000        0.000        0.000        5976200                     5030764                     0                           0                           
GPU 2           71.084            0.000        0.000        0.000        4926078                     6314482                     0                           0                           
GPU 3           71.161            0.000        0.000        0.000        5462125                     4695520                     0                           0                           
GPU 4           71.611            0.000        0.000        0.000        6947855                     3792562                     0                           0                           
GPU 5           73.525            0.000        0.000        0.000        5949842                     6458583                     0                           0                           
GPU 6           73.285            0.000        0.000        0.000        6520961                     2510341                     0                           0                           
GPU 7           73.106            0.000        0.000        0.000        5868616                     5059842                     0                           0                           
GPU 0           106.314           0.000        0.000        0.000        528331                      322869                      0                           0                           
GPU 1           107.257           0.000        0.000        0.000        567239                      361076                      0                           0                           
GPU 2           71.096            0.000        0.000        0.000        775007                      4233748                     0                           0                           
GPU 3           71.161            0.000        0.000        0.000        3414262                     2882863                     0                           0                           
GPU 4           71.546            0.000        0.000        0.000        4429197                     1062271                     0                           0                           
GPU 5           73.483            0.000        0.000        0.000        7500628                     673881                      0                           0                           
GPU 6           73.167            0.000        0.000        0.000        2994241                     2510341                     0                           0                           
GPU 7           73.123            0.000        0.000        0.000        2160229                     1778180                     0                           0                           
GPU 0           106.180           0.000        0.000        0.000        4198809                     3519012                     0                           0                           
GPU 1           107.127           0.000        0.000        0.000        3966754                     3307900                     0                           0                           
GPU 2           71.072            0.000        0.000        0.000        5275500                     530644                      0                           0                           
GPU 3           71.081            0.000        0.000        0.000        2518931                     2070376                     0                           0                           
GPU 4           71.574            0.000        0.000        0.000        1367798                     5473900                     0                           0                           
GPU 5           73.432            0.000        0.000        0.000        912832                      3871076                     0                           0                           
GPU 6           73.268            0.000        0.000        0.000        2475079                     5471090                     0                           0                           
GPU 7           73.056            0.000        0.000        0.000        4217300                     3600607                     0                           0                           
GPU 0           105.890           0.000        0.000        0.000        5971989                     5061999                     0                           0                           
GPU 1           106.725           0.000        0.000        0.000        4213009                     3544735                     0                           0                           
