#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 0           146.820           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1           150.986           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2           71.577            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3           71.587            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 4           148.881           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 5           152.219           N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 6           73.677            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 7           73.565            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0           97.877            0.000        0.000        0.000        4192414                     3508965                     0                           0                           
GPU 1           99.608            0.000        0.000        0.000        4175470                     3503495                     0                           0                           
GPU 2           71.553            0.000        0.000        0.000        4534249                     3887023                     0                           0                           
GPU 3           71.524            0.000        0.000        0.000        4509751                     3852625                     0                           0                           
GPU 4           97.702            0.000        0.000        0.000        4128806                     3453250                     0                           0                           
GPU 5           99.944            0.000        0.000        0.000        4072207                     3406522                     0                           0                           
GPU 6           73.666            0.000        0.000        0.000        4420523                     3780710                     0                           0                           
GPU 7           73.619            0.000        0.000        0.000        4374494                     3735488                     0                           0                           
GPU 0           97.877            0.000        0.000        0.000        4192414                     3508965                     0                           0                           
GPU 1           99.608            0.000        0.000        0.000        4736180                     3503495                     0                           0                           
GPU 2           71.553            0.000        0.000        0.000        4534249                     3887023                     0                           0                           
GPU 3           71.524            0.000        0.000        0.000        4509751                     1715780                     0                           0                           
GPU 4           97.702            0.000        0.000        0.000        4128806                     3453250                     0                           0                           
GPU 5           99.944            0.000        0.000        0.000        4072207                     3406522                     0                           0                           
GPU 6           73.666            0.000        0.000        0.000        4420523                     3780710                     0                           0                           
GPU 7           73.619            0.000        0.000        0.000        4374494                     3735488                     0                           0                           
GPU 0           97.854            0.000        0.000        0.000        4352401                     3633747                     0                           0                           
GPU 1           99.466            0.000        0.000        0.000        5161816                     3975021                     0                           0                           
GPU 2           71.562            0.000        0.000        0.000        4736208                     4043055                     0                           0                           
GPU 3           71.504            0.000        0.000        0.000        2125402                     7319733                     0                           0                           
GPU 4           97.617            0.000        0.000        0.000        3360381                     2770422                     0                           0                           
GPU 5           99.652            0.000        0.000        0.000        3444286                     2845363                     0                           0                           
GPU 6           73.644            0.000        0.000        0.000        8075613                     2380548                     0                           0                           
GPU 7           73.617            0.000        0.000        0.000        3660393                     3093851                     0                           0                           
GPU 0           97.718            0.000        0.000        0.000        6191771                     5263227                     0                           0                           
GPU 1           99.485            0.000        0.000        0.000        5072104                     4365634                     0                           0                           
GPU 2           71.591            0.000        0.000        0.000        6783513                     5877271                     0                           0                           
GPU 3           71.527            0.000        0.000        0.000        8169469                     7104729                     0                           0                           
GPU 4           97.559            0.000        0.000        0.000        6995461                     5980212                     0                           0                           
GPU 5           99.603            0.000        0.000        0.000        6205611                     5302309                     0                           0                           
GPU 6           73.602            0.000        0.000        0.000        6444171                     7054880                     0                           0                           
GPU 7           73.573            0.000        0.000        0.000        6976708                     6089097                     0                           0                           
GPU 0           97.704            0.000        0.000        0.000        8497835                     7252161                     0                           0                           
GPU 1           99.458            0.000        0.000        0.000        7018130                     4305085                     0                           0                           
GPU 2           71.574            0.000        0.000        0.000        7550999                     6539722                     0                           0                           
GPU 3           71.519            0.000        0.000        0.000        6920222                     5972228                     0                           0                           
GPU 4           97.571            0.000        0.000        0.000        6413644                     5436971                     0                           0                           
GPU 5           99.633            0.000        0.000        0.000        6731828                     5726771                     0                           0                           
GPU 6           73.634            0.000        0.000        0.000        7360393                     5597620                     0                           0                           
GPU 7           73.564            0.000        0.000        0.000        7384172                     6440335                     0                           0                           
GPU 0           97.683            0.000        0.000        0.000        560255                      351179                      0                           0                           
GPU 1           99.416            0.000        0.000        0.000        519455                      5962449                     0                           0                           
GPU 2           71.575            0.000        0.000        0.000        549761                      357423                      0                           0                           
GPU 3           71.516            0.000        0.000        0.000        581154                      374160                      0                           0                           
GPU 4           97.501            0.000        0.000        0.000        1712013                     1333022                     0                           0                           
GPU 5           99.635            0.000        0.000        0.000        2027244                     1606594                     0                           0                           
GPU 6           73.602            0.000        0.000        0.000        204919                      6381531                     0                           0                           
GPU 7           73.502            0.000        0.000        0.000        5420713                     4657705                     0                           0                           
GPU 0           97.658            0.000        0.000        0.000        3519748                     2889843                     0                           0                           
GPU 1           99.452            0.000        0.000        0.000        4027094                     319745                      0                           0                           
GPU 2           71.561            0.000        0.000        0.000        4308332                     3653251                     0                           0                           
GPU 3           71.519            0.000        0.000        0.000        4339376                     3684436                     0                           0                           
GPU 4           97.489            0.000        0.000        0.000        4083165                     3360973                     0                           0                           
GPU 5           99.623            0.000        0.000        0.000        2901756                     2317840                     0                           0                           
GPU 6           73.588            0.000        0.000        0.000        4671187                     22011                       0                           0                           
GPU 7           73.445            0.000        0.000        0.000        747831                      506240                      0                           0                           
GPU 0           97.571            0.000        0.000        0.000        536380                      321478                      0                           0                           
GPU 1           99.402            0.000        0.000        0.000        719045                      3358881                     0                           0                           
GPU 2           71.558            0.000        0.000        0.000        281429                      112152                      0                           0                           
GPU 3           71.523            0.000        0.000        0.000        293446                      109518                      0                           0                           
GPU 4           97.490            0.000        0.000        0.000        449732                      255267                      0                           0                           
GPU 5           99.523            0.000        0.000        0.000        1611313                     1252778                     0                           0                           
GPU 6           73.614            0.000        0.000        0.000        1132018                     3973595                     0                           0                           
GPU 7           73.455            0.000        0.000        0.000        3681632                     3109341                     0                           0                           
GPU 0           97.592            0.000        0.000        0.000        3865028                     3186263                     0                           0                           
GPU 1           99.370            0.000        0.000        0.000        6604862                     5551782                     0                           0                           
GPU 2           71.564            0.000        0.000        0.000        6037595                     5194132                     0                           0                           
GPU 3           71.513            0.000        0.000        0.000        6345703                     5441650                     0                           0                           
GPU 4           97.373            0.000        0.000        0.000        5679702                     4755360                     0                           0                           
GPU 5           99.608            0.000        0.000        0.000        3812926                     3155600                     0                           0                           
GPU 6           73.609            0.000        0.000        0.000        5889929                     5048510                     0                           0                           
GPU 7           73.456            0.000        0.000        0.000        2654963                     2206518                     0                           0                           
GPU 0           97.405            0.000        0.000        0.000        4155409                     3457250                     0                           0                           
GPU 1           99.340            0.000        0.000        0.000        280957                      99068                       0                           0                           
GPU 2           71.583            0.000        0.000        0.000        2063687                     1664809                     0                           0                           
GPU 3           71.512            0.000        0.000        0.000        310219                      116332                      0                           0                           
GPU 4           97.311            0.000        0.000        0.000        316460                      127108                      0                           0                           
GPU 5           99.495            0.000        0.000        0.000        4347282                     3572175                     0                           0                           
GPU 6           73.569            0.000        0.000        0.000        1930735                     1550248                     0                           0                           
GPU 7           73.516            0.000        0.000        0.000        5957477                     5121473                     0                           0                           
GPU 0           97.577            0.000        0.000        0.000        3516064                     2884230                     0                           0                           
GPU 1           99.365            0.000        0.000        0.000        4104292                     3432823                     0                           0                           
GPU 2           71.596            0.000        0.000        0.000        4182770                     3543379                     0                           0                           
GPU 3           71.517            0.000        0.000        0.000        4467390                     3810251                     0                           0                           
GPU 4           97.420            0.000        0.000        0.000        4102625                     3431696                     0                           0                           
GPU 5           99.482            0.000        0.000        0.000        2483558                     2004667                     0                           0                           
GPU 6           73.576            0.000        0.000        0.000        4447808                     3810535                     0                           0                           
GPU 7           73.504            0.000        0.000        0.000        708464                      466433                      0                           0                           
GPU 0           123.241           0.000        0.000        0.000        541613                      329045                      0                           0                           
GPU 1           99.365            0.000        0.002        0.020        4104292                     665242051                   0                           0                           
GPU 2           71.540            0.000        0.000        0.000        465916                      274099                      0                           0                           
GPU 3           71.580            0.000        0.000        0.000        3247637                     3810251                     0                           0                           
GPU 4           97.420            0.000        0.000        0.011        98963800                    1190648750                  0                           175144                      
GPU 5           99.482            0.000        0.000        0.000        2483558                     1346523                     0                           0                           
GPU 6           73.576            0.000        0.000        0.000        4447808                     925900                      0                           0                           
GPU 7           73.401            0.000        0.000        0.000        4248457                     466433                      0                           0                           
GPU 0           140.420           0.058        0.003        0.027        104402991                   1182746569                  407208138                   440174                      
GPU 1           145.212           0.042        0.005        0.051        959683729                   1942703846                  878363                      731305996                   
GPU 2           71.470            0.000        0.000        0.000        4424978                     3785651                     0                           0                           
GPU 3           71.597            0.000        0.000        0.000        540349                      353439                      0                           0                           
GPU 4           141.590           0.115        0.005        0.053        306878692                   3755358591                  727103177                   872631                      
GPU 5           145.159           0.079        0.004        0.037        672278402                   1083904517                  593295                      533263779                   
GPU 6           73.673            0.000        0.000        0.000        3680539                     3153084                     0                           0                           
GPU 7           73.425            0.000        0.000        0.000        1886668                     2128805                     0                           0                           
GPU 0           145.691           0.114        0.004        0.051        168816180                   1972385068                  732029083                   879433                      
GPU 1           151.317           0.112        0.006        0.062        1005498741                  1985105266                  888787                      780750859                   
GPU 2           71.498            0.000        0.000        0.000        1197762                     894272                      0                           0                           
GPU 3           71.558            0.000        0.000        0.000        4207540                     3551439                     0                           0                           
GPU 4           147.195           0.120        0.005        0.056        344986116                   4221818252                  773030503                   889127                      
GPU 5           148.433           0.117        0.005        0.054        967090602                   1539305711                  882853                      772335957                   
GPU 6           73.724            0.000        0.000        0.000        2234926                     1813763                     0                           0                           
GPU 7           73.485            0.000        0.000        0.000        2547544                     3529306                     0                           0                           
#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 0           146.252           0.126        0.006        0.061        180288404                   2377728727                  732029083                   879433                      
GPU 1           151.317           0.126        0.007        0.064        1005498741                  2387801848                  888787                      780750859                   
GPU 2           71.531            0.000        0.000        0.000        3690631                     3123468                     0                           0                           
GPU 3           71.578            0.000        0.000        0.000        499914                      3551439                     0                           0                           
GPU 4           147.195           0.120        0.005        0.069        343638927                   4230559655                  773030503                   884389                      
GPU 5           148.765           0.117        0.005        0.054        967090602                   1550810828                  882853                      772335957                   
GPU 6           73.724            0.000        0.000        0.000        2234926                     2014213                     0                           0                           
GPU 7           73.463            0.000        0.000        0.000        4154467                     3529306                     0                           0                           
GPU 0           146.274           0.127        0.006        0.061        204934805                   2042833158                  770468212                   886475                      
GPU 1           151.030           0.129        0.006        0.063        1033663179                  2963667489                  886757                      779904174                   
GPU 2           71.490            0.000        0.000        0.000        3484493                     2919393                     0                           0                           
GPU 3           71.484            0.000        0.000        0.000        4451193                     293975                      0                           0                           
GPU 4           149.912           0.126        0.006        0.061        364782056                   4349100250                  734975258                   883593                      
GPU 5           151.324           0.129        0.007        0.063        959042110                   1510989171                  883315                      767082101                   
GPU 6           73.781            0.000        0.000        0.000        2426489                     3521577                     0                           0                           
GPU 7           73.441            0.000        0.000        0.000        676069                      452023                      0                           0                           
GPU 0           143.577           0.118        0.006        0.056        173913797                   1998716398                  732543200                   880856                      
GPU 1           151.564           0.128        0.006        0.059        1037997389                  2636104155                  883103                      733179888                   
GPU 2           71.505            0.000        0.000        0.000        507313                      316022                      0                           0                           
GPU 3           71.519            0.000        0.000        0.000        1228501                     3791951                     0                           0                           
GPU 4           142.942           0.129        0.006        0.064        333810812                   3988180781                  776241008                   854781                      
GPU 5           145.608           0.118        0.007        0.067        921025477                   1535950485                  878129                      730659963                   
GPU 6           73.722            0.000        0.000        0.000        4146238                     264658                      0                           0                           
GPU 7           73.364            0.000        0.000        0.000        4540512                     3893032                     0                           0                           
GPU 0           144.262           0.122        0.005        0.058        173579523                   2040252651                  745799509                   846345                      
GPU 1           150.534           0.120        0.006        0.061        1021937714                  2911146476                  851355                      743918102                   
GPU 2           71.434            0.000        0.000        0.000        4463522                     3824678                     0                           0                           
GPU 3           71.525            0.000        0.000        0.000        3687531                     921257                      0                           0                           
GPU 4           145.784           0.118        0.005        0.056        377555783                   4614842290                  735309214                   868458                      
GPU 5           148.682           0.125        0.006        0.056        939106248                   1502168742                  848000                      746829693                   
GPU 6           73.746            0.000        0.000        0.000        459003                      4771130                     0                           0                           
GPU 7           73.406            0.000        0.000        0.000        2074753                     1680852                     0                           0                           
GPU 0           144.647           0.124        0.005        0.059        173847932                   2064650517                  722937917                   871021                      
GPU 1           150.916           0.124        0.006        0.060        1012533797                  2431944547                  864769                      720133991                   
GPU 2           71.489            0.000        0.000        0.000        748926                      498410                      0                           0                           
GPU 3           71.474            0.000        0.000        0.000        3788307                     3125056                     0                           0                           
GPU 4           145.792           0.122        0.005        0.058        387712584                   4749117212                  761466595                   873912                      
GPU 5           148.489           0.126        0.006        0.060        916323089                   1616382791                  869472                      720560705                   
GPU 6           73.670            0.000        0.000        0.000        1191275                     895203                      0                           0                           
GPU 7           73.523            0.000        0.000        0.000        2384568                     1992089                     0                           0                           
GPU 0           147.156           0.130        0.006        0.063        179413647                   2116398991                  774766860                   879432                      
GPU 1           152.363           0.123        0.007        0.064        1034019820                  1924433198                  879962                      773488699                   
GPU 2           71.489            0.000        0.000        0.000        4275210                     2228478                     0                           0                           
GPU 3           71.537            0.000        0.000        0.000        546733                      3173278                     0                           0                           
GPU 4           145.792           0.122        0.005        0.060        358095340                   4359373402                  738489602                   890396                      
GPU 5           148.489           0.126        0.006        0.060        990246351                   1671155890                  887834                      780028303                   
GPU 6           73.670            0.000        0.000        0.000        3599898                     3064077                     0                           0                           
GPU 7           73.375            0.000        0.000        0.000        4127981                     3499639                     0                           0                           
GPU 0           147.394           0.131        0.006        0.064        183020837                   1978198957                  782376346                   899259                      
GPU 1           152.202           0.129        0.006        0.062        955686541                   1801800293                  893559                      742313495                   
GPU 2           71.513            0.000        0.000        0.000        2693896                     1379017                     0                           0                           
GPU 3           71.623            0.000        0.000        0.000        4190884                     347603                      0                           0                           
GPU 4           148.330           0.129        0.006        0.061        363582640                   4389475316                  783370998                   897984                      
GPU 5           149.193           0.133        0.007        0.064        1014490334                  2032404169                  895837                      775814913                   
GPU 6           73.591            0.000        0.000        0.000        2446933                     2005133                     0                           0                           
GPU 7           73.384            0.000        0.000        0.000        426252                      237583                      0                           0                           
GPU 0           148.120           0.126        0.006        0.062        168322522                   1939566607                  734432866                   884137                      
GPU 1           152.222           0.126        0.007        0.063        1005486487                  1915274857                  893060                      786043086                   
GPU 2           71.381            0.000        0.000        0.000        1710799                     3511462                     0                           0                           
GPU 3           71.429            0.000        0.000        0.000        474809                      3540168                     0                           0                           
GPU 4           146.226           0.123        0.006        0.063        324113208                   3837832369                  730374510                   876335                      
GPU 5           146.918           0.127        0.006        0.061        957673213                   2015636883                  874661                      726409461                   
GPU 6           73.776            0.000        0.000        0.000        2193782                     1806489                     0                           0                           
GPU 7           73.382            0.000        0.000        0.000        5448736                     4704595                     0                           0                           
