#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 0           119.234           0.096        0.005        0.048        218853757                   237499180                   287028131                   287028131                   
GPU 1           150.960           0.166        0.009        0.084        365873416                   400031294                   486459274                   486458226                   
GPU 2           121.221           0.074        0.004        0.037        162468939                   176874508                   209478009                   209478009                   
GPU 3           122.057           0.149        0.009        0.075        329484192                   362038121                   438083941                   438084465                   
GPU 4           71.543            0.000        0.000        0.000        2261656                     1849536                     0                           0                           
GPU 5           73.623            0.000        0.000        0.000        3728642                     3167366                     0                           0                           
GPU 6           73.436            0.000        0.000        0.000        1203611                     934007                      0                           0                           
GPU 7           73.153            0.000        0.000        0.000        448086                      253741                      0                           0                           
GPU 0           100.243           0.000        0.000        0.000        545117                      335456                      0                           0                           
GPU 1           101.990           0.000        0.000        0.000        3020222                     2485964                     0                           0                           
GPU 2           101.176           0.000        0.000        0.000        534053                      333128                      0                           0                           
GPU 3           100.129           0.000        0.000        0.000        3214602                     2645304                     0                           0                           
GPU 4           71.514            0.000        0.000        0.000        2285988                     1894508                     0                           0                           
GPU 5           73.516            0.000        0.000        0.000        2493156                     2059888                     0                           0                           
GPU 6           73.489            0.000        0.000        0.000        3048605                     2563679                     0                           0                           
GPU 7           73.215            0.000        0.000        0.000        4385494                     3751358                     0                           0                           
GPU 0           100.121           0.000        0.000        0.000        3891637                     3137418                     0                           0                           
GPU 1           101.832           0.000        0.000        0.000        3778601                     3068714                     0                           0                           
GPU 2           101.111           0.000        0.000        0.000        4149603                     3367064                     0                           0                           
GPU 3           100.060           0.000        0.000        0.000        3825501                     3086511                     0                           0                           
GPU 4           71.537            0.000        0.000        0.000        4078223                     3434238                     0                           0                           
GPU 5           73.571            0.000        0.000        0.000        3432574                     2858819                     0                           0                           
GPU 6           73.498            0.000        0.000        0.000        2660353                     2185834                     0                           0                           
GPU 7           73.206            0.000        0.000        0.000        1695043                     1341552                     0                           0                           
GPU 0           100.121           0.000        0.000        0.000        3005492                     3137418                     0                           0                           
GPU 1           101.617           0.000        0.000        0.000        879652                      3068714                     0                           0                           
GPU 2           101.111           0.000        0.000        0.000        3036169                     3367064                     0                           0                           
GPU 3           100.060           0.000        0.000        0.000        3825501                     315647                      0                           0                           
GPU 4           71.537            0.000        0.000        0.000        4078223                     2626078                     0                           0                           
GPU 5           73.571            0.000        0.000        0.000        3432574                     2247728                     0                           0                           
GPU 6           73.498            0.000        0.000        0.000        1850864                     2185834                     0                           0                           
GPU 7           73.206            0.000        0.000        0.000        2962857                     1341552                     0                           0                           
GPU 0           99.948            0.000        0.000        0.000        7463558                     2424382                     0                           0                           
GPU 1           101.567           0.000        0.000        0.000        7191142                     624238                      0                           0                           
GPU 2           101.054           0.000        0.000        0.000        5887740                     2494076                     0                           0                           
GPU 3           100.034           0.000        0.000        0.000        527049                      5248918                     0                           0                           
GPU 4           71.535            0.000        0.000        0.000        3120477                     6480323                     0                           0                           
GPU 5           73.536            0.000        0.000        0.000        2711317                     5952296                     0                           0                           
GPU 6           73.400            0.000        0.000        0.000        7061920                     1494929                     0                           0                           
GPU 7           73.217            0.000        0.000        0.000        6992413                     2481450                     0                           0                           
GPU 0           99.904            0.000        0.000        0.000        7812115                     6224317                     0                           0                           
GPU 1           101.579           0.000        0.000        0.000        7283537                     6055864                     0                           0                           
GPU 2           100.955           0.000        0.000        0.000        7001014                     4947508                     0                           0                           
GPU 3           99.927            0.000        0.000        0.000        6239124                     3965157                     0                           0                           
GPU 4           71.545            0.000        0.000        0.000        7510276                     6462809                     0                           0                           
GPU 5           73.581            0.000        0.000        0.000        6886410                     6256936                     0                           0                           
GPU 6           73.445            0.000        0.000        0.000        6306118                     6104727                     0                           0                           
GPU 7           73.218            0.000        0.000        0.000        6304629                     6032841                     0                           0                           
GPU 0           99.733            0.000        0.000        0.000        4361891                     3624621                     0                           0                           
GPU 1           101.475           0.000        0.000        0.000        6488082                     5499335                     0                           0                           
GPU 2           100.766           0.000        0.000        0.000        4668423                     3905495                     0                           0                           
GPU 3           99.594            0.000        0.000        0.000        4120290                     6443212                     0                           0                           
GPU 4           71.520            0.000        0.000        0.000        4480352                     3835735                     0                           0                           
GPU 5           73.625            0.000        0.000        0.000        7161339                     6681142                     0                           0                           
GPU 6           73.492            0.000        0.000        0.000        7439658                     6462698                     0                           0                           
GPU 7           73.205            0.000        0.000        0.000        7474935                     5472743                     0                           0                           
GPU 0           99.733            0.000        0.000        0.000        526243                      3624621                     0                           0                           
GPU 1           101.428           0.000        0.000        0.000        1231762                     5499335                     0                           0                           
GPU 2           100.697           0.000        0.000        0.000        283512                      3905495                     0                           0                           
GPU 3           99.594            0.000        0.000        0.000        4120290                     3443621                     0                           0                           
GPU 4           71.532            0.000        0.000        0.000        4480352                     1336396                     0                           0                           
GPU 5           73.559            0.000        0.000        0.000        7730238                     398256                      0                           0                           
GPU 6           73.415            0.000        0.000        0.000        2729726                     6462698                     0                           0                           
GPU 7           73.205            0.000        0.000        0.000        2675423                     6493108                     0                           0                           
GPU 0           99.496            0.000        0.000        0.000        5401019                     318681                      0                           0                           
GPU 1           101.372           0.000        0.000        0.000        3234347                     3926110                     0                           0                           
GPU 2           100.639           0.000        0.000        0.000        5066386                     93868                       0                           0                           
GPU 3           99.571            0.000        0.000        0.000        2746908                     2225830                     0                           0                           
GPU 4           71.535            0.000        0.000        0.000        6909563                     5990384                     0                           0                           
GPU 5           73.534            0.000        0.000        0.000        610775                      3574290                     0                           0                           
GPU 6           73.310            0.000        0.000        0.000        4096180                     3463096                     0                           0                           
GPU 7           73.175            0.000        0.000        0.000        4074439                     2235721                     0                           0                           
GPU 0           99.387            0.000        0.000        0.000        4911028                     4567710                     0                           0                           
GPU 1           101.197           0.000        0.000        0.000        4640424                     3467973                     0                           0                           
GPU 2           100.578           0.000        0.000        0.000        5874728                     4267589                     0                           0                           
GPU 3           99.552            0.000        0.000        0.000        5150046                     4348682                     0                           0                           
GPU 4           71.526            0.000        0.000        0.000        4626480                     3936526                     0                           0                           
GPU 5           73.563            0.000        0.000        0.000        4197880                     4225064                     0                           0                           
GPU 6           73.430            0.000        0.000        0.000        4557776                     3913702                     0                           0                           
GPU 7           73.195            0.000        0.000        0.000        4169235                     3455099                     0                           0                           
GPU 0           99.374            0.000        0.000        0.000        587704                      4117349                     0                           0                           
GPU 1           101.161           0.000        0.000        0.000        4133481                     421683                      0                           0                           
GPU 2           100.627           0.000        0.000        0.000        502652                      4967479                     0                           0                           
GPU 3           99.522            0.000        0.000        0.000        3869197                     3212974                     0                           0                           
GPU 4           71.509            0.000        0.000        0.000        498388                      313916                      0                           0                           
GPU 5           73.528            0.000        0.000        0.000        4950123                     2543751                     0                           0                           
GPU 6           73.498            0.000        0.000        0.000        4407141                     3769389                     0                           0                           
GPU 7           73.210            0.000        0.000        0.000        4791850                     3592410                     0                           0                           
GPU 0           106.628           0.000        0.000        0.000        3874430                     3206154                     0                           0                           
GPU 1           101.069           0.000        0.001        0.004        661351                      77757676                    0                           0                           
GPU 2           116.256           0.000        0.000        0.000        4115015                     3588255                     0                           0                           
GPU 3           106.624           0.000        0.001        0.004        73705361                    269408                      0                           0                           
GPU 4           71.521            0.000        0.000        0.000        4441477                     3793205                     0                           0                           
GPU 5           73.563            0.000        0.000        0.000        3023506                     3463258                     0                           0                           
GPU 6           73.361            0.000        0.000        0.000        1304916                     999387                      0                           0                           
GPU 7           73.153            0.000        0.000        0.000        1701797                     4107633                     0                           0                           
GPU 0           175.781           0.074        0.014        0.021        4648368189                  4360474691                  0                           0                           
GPU 1           133.157           0.009        0.025        0.066        79577778                    7030341152                  196354951                   196355534                   
GPU 2           185.785           0.107        0.023        0.033        7711715594                  7215780055                  2045714                     2047287                     
GPU 3           172.852           0.027        0.022        0.049        7204475282                  90340866                    176662507                   176662507                   
GPU 4           71.508            0.000        0.000        0.000        1125906                     846394                      0                           0                           
GPU 5           73.608            0.000        0.000        0.000        483999                      284397                      0                           0                           
GPU 6           73.471            0.000        0.000        0.000        3276015                     2764514                     0                           0                           
GPU 7           73.116            0.000        0.000        0.000        2706499                     1349241                     0                           0                           
GPU 0           249.532           0.234        0.026        0.117        5493469988                  5306786645                  2702020163                  2702018591                  
GPU 1           204.656           0.148        0.029        0.184        7525410712                  3321054178                  4824315694                  4824316859                  
GPU 2           231.828           0.305        0.026        0.160        3454132354                  3253238101                  4093274592                  4093276165                  
