#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 0           133.793           0.204        0.013        0.086        787166335                   9237357950                  6446917868                  5451012                     
GPU 1           144.911           0.219        0.013        0.090        157239531                   2008866477                  7629073492                  7629074541                  
GPU 2           136.535           0.187        0.011        0.078        155741458                   1966495946                  5322306656                  5322372176                  
GPU 3           129.372           0.112        0.006        0.046        3073948447                  1217769161                  3001007                     2721881932                  
GPU 4           130.310           0.122        0.007        0.051        394782165                   4660669103                  2813769736                  3196439                     
GPU 5           140.933           0.215        0.014        0.089        175330070                   2250007398                  8058326871                  8058347836                  
GPU 6           140.368           0.116        0.007        0.047        97860047                    1178414062                  2904535258                  2904587671                  
GPU 7           132.411           0.210        0.014        0.086        8536914127                  2229994836                  282587377                   7782599280                  
GPU 0           99.754            0.012        0.001        0.005        31979113                    345689297                   155949812                   204412                      
GPU 1           102.303           0.031        0.002        0.012        32941457                    376546381                   550723253                   550722328                   
GPU 2           101.572           0.004        0.000        0.001        7186903                     57301290                    46200674                    46206964                    
GPU 3           100.124           0.000        0.000        0.000        3750056                     3111546                     0                           0                           
GPU 4           99.307            0.000        0.000        0.000        3504731                     2918134                     0                           0                           
GPU 5           103.428           0.039        0.002        0.016        39873860                    464512814                   776957639                   776974467                   
GPU 6           103.892           0.000        0.000        0.000        3737472                     3115196                     0                           0                           
GPU 7           104.325           0.038        0.002        0.015        890705867                   383262272                   1029237                     783595376                   
GPU 0           99.361            0.000        0.000        0.000        3585921                     2873978                     0                           0                           
GPU 1           102.032           0.000        0.000        0.000        3536725                     2849211                     0                           0                           
GPU 2           101.548           0.000        0.000        0.000        3514827                     2827324                     0                           0                           
GPU 3           99.924            0.000        0.000        0.000        2239089                     1743525                     0                           0                           
GPU 4           99.085            0.000        0.000        0.000        3202606                     2611181                     0                           0                           
GPU 5           103.142           0.000        0.000        0.000        2300852                     1840507                     0                           0                           
GPU 6           103.677           0.000        0.000        0.000        1892114                     1482418                     0                           0                           
GPU 7           104.179           0.000        0.000        0.000        1548603                     1179797                     0                           0                           
GPU 0           99.299            0.000        0.000        0.000        3077986                     2470705                     0                           0                           
GPU 1           101.858           0.000        0.000        0.000        493742                      287230                      0                           0                           
GPU 2           101.192           0.000        0.000        0.000        3026647                     2431659                     0                           0                           
GPU 3           99.729            0.000        0.000        0.000        2434978                     1937616                     0                           0                           
GPU 4           99.085            0.000        0.000        0.000        1839049                     1450797                     0                           0                           
GPU 5           103.142           0.000        0.000        0.000        2300852                     1819892                     0                           0                           
GPU 6           103.677           0.000        0.000        0.000        2007984                     1598106                     0                           0                           
GPU 7           104.062           0.000        0.000        0.000        2371529                     1179797                     0                           0                           
GPU 0           99.299            0.000        0.000        0.000        9016937                     2470705                     0                           0                           
GPU 1           101.991           0.000        0.000        0.000        7980010                     287230                      0                           0                           
GPU 2           101.192           0.000        0.000        0.000        7784442                     2431659                     0                           0                           
GPU 3           99.729            0.000        0.000        0.000        2434978                     4718184                     0                           0                           
GPU 4           99.110            0.000        0.000        0.000        1839049                     6420070                     0                           0                           
GPU 5           103.012           0.000        0.000        0.000        2263540                     6884443                     0                           0                           
GPU 6           103.457           0.000        0.000        0.000        7322923                     1598106                     0                           0                           
GPU 7           104.062           0.000        0.000        0.000        7553738                     1912705                     0                           0                           
GPU 0           99.244            0.000        0.000        0.000        5480566                     7568566                     0                           0                           
GPU 1           101.845           0.000        0.000        0.000        7451520                     6689581                     0                           0                           
GPU 2           101.119           0.000        0.000        0.000        7052560                     6584256                     0                           0                           
GPU 3           99.744            0.000        0.000        0.000        5692010                     5864778                     0                           0                           
GPU 4           99.036            0.000        0.000        0.000        7548522                     5537213                     0                           0                           
GPU 5           103.032           0.000        0.000        0.000        8075211                     4416340                     0                           0                           
GPU 6           103.432           0.000        0.000        0.000        5116090                     6223043                     0                           0                           
GPU 7           103.965           0.000        0.000        0.000        5498178                     6437534                     0                           0                           
GPU 0           99.021            0.000        0.000        0.000        7373912                     6172533                     0                           0                           
GPU 1           101.733           0.000        0.000        0.000        7144917                     5986578                     0                           0                           
GPU 2           101.119           0.000        0.000        0.000        4582888                     3833925                     0                           0                           
GPU 3           99.666            0.000        0.000        0.000        7817474                     6498934                     0                           0                           
GPU 4           98.858            0.000        0.000        0.000        5279318                     4381435                     0                           0                           
GPU 5           102.719           0.000        0.000        0.000        7872456                     6643349                     0                           0                           
GPU 6           103.276           0.000        0.000        0.000        7202137                     6074763                     0                           0                           
GPU 7           103.757           0.000        0.000        0.000        7194644                     6069706                     0                           0                           
GPU 0           98.953            0.000        0.000        0.000        527808                      318676                      0                           0                           
GPU 1           101.452           0.000        0.000        0.000        602121                      396391                      0                           0                           
GPU 2           101.119           0.000        0.000        0.000        1107886                     799584                      0                           0                           
GPU 3           99.556            0.000        0.000        0.000        3173283                     3428472                     0                           0                           
GPU 4           98.858            0.000        0.000        0.000        1650067                     1252679                     0                           0                           
GPU 5           102.719           0.000        0.000        0.000        7872456                     243227                      0                           0                           
GPU 6           103.276           0.000        0.000        0.000        2347013                     1881687                     0                           0                           
GPU 7           103.696           0.000        0.000        0.000        2194109                     6069706                     0                           0                           
GPU 0           98.913            0.000        0.000        0.000        4109313                     3414818                     0                           0                           
GPU 1           101.476           0.000        0.000        0.000        3778542                     3123888                     0                           0                           
GPU 2           100.887           0.000        0.000        0.000        3361626                     2772817                     0                           0                           
GPU 3           99.432            0.000        0.000        0.000        536376                      324388                      0                           0                           
GPU 4           98.625            0.000        0.000        0.000        2988081                     2416205                     0                           0                           
GPU 5           102.544           0.000        0.000        0.000        4240923                     3488239                     0                           0                           
