#Entity         POWER             SMACT        TENSO        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID               W                                                                                                                                                                       
GPU 0           98.939            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1           72.334            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2           71.275            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3           71.519            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 4           71.779            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 5           73.888            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 6           73.608            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 7           73.315            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0           98.939            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1           72.334            N/A          N/A          N/A          2069179                     N/A                         N/A                         N/A                         
GPU 2           71.275            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3           71.519            N/A          N/A          N/A          N/A                         479693                      N/A                         N/A                         
GPU 4           71.779            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 5           73.888            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 6           73.608            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 7           73.315            N/A          N/A          N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0           98.873            0.000        0.000        0.000        2624213                     2109154                     0                           0                           
GPU 1           72.347            0.000        0.000        0.000        2421835                     1664776                     0                           0                           
GPU 2           71.196            0.000        0.000        0.000        2666194                     2190603                     0                           0                           
GPU 3           71.519            0.000        0.000        0.000        727399                      3590897                     0                           0                           
GPU 4           71.781            0.000        0.000        0.000        2599945                     2137471                     0                           0                           
GPU 5           73.885            0.000        0.000        0.000        1895773                     1500507                     0                           0                           
GPU 6           73.612            0.000        0.000        0.000        2601450                     1261635                     0                           0                           
GPU 7           73.286            0.000        0.000        0.000        1617339                     1260959                     0                           0                           
GPU 0           98.855            0.000        0.000        0.000        503698                      291421                      0                           0                           
GPU 1           72.346            0.000        0.000        0.000        3666452                     2000823                     0                           0                           
GPU 2           71.166            0.000        0.000        0.000        508361                      313926                      0                           0                           
GPU 3           71.525            0.000        0.000        0.000        4232566                     1022392                     0                           0                           
GPU 4           71.748            0.000        0.000        0.000        528261                      330163                      0                           0                           
GPU 5           73.824            0.000        0.000        0.000        1633076                     1295560                     0                           0                           
GPU 6           73.600            0.000        0.000        0.000        2773002                     2157284                     0                           0                           
GPU 7           73.277            0.000        0.000        0.000        2083782                     1696479                     0                           0                           
GPU 0           98.794            0.000        0.000        0.000        5904989                     4981365                     0                           0                           
GPU 1           72.333            0.000        0.000        0.000        5131547                     3094824                     0                           0                           
GPU 2           71.246            0.000        0.000        0.000        5512140                     4721497                     0                           0                           
GPU 3           71.533            0.000        0.000        0.000        6979495                     5992681                     0                           0                           
GPU 4           71.744            0.000        0.000        0.000        4681398                     3991185                     0                           0                           
GPU 5           73.863            0.000        0.000        0.000        5067815                     4318787                     0                           0                           
GPU 6           73.612            0.000        0.000        0.000        5822518                     2302816                     0                           0                           
GPU 7           73.345            0.000        0.000        0.000        3933303                     3324047                     0                           0                           
GPU 0           98.794            0.000        0.000        0.000        4520808                     4981365                     0                           0                           
GPU 1           72.333            0.000        0.000        0.000        5131547                     3094824                     0                           0                           
GPU 2           71.246            0.000        0.000        0.000        4519778                     4721497                     0                           0                           
GPU 3           71.511            0.000        0.000        0.000        6979495                     5992681                     0                           0                           
GPU 4           71.744            0.000        0.000        0.000        5269743                     4521184                     0                           0                           
GPU 5           73.863            0.000        0.000        0.000        5067815                     4370027                     0                           0                           
GPU 6           73.612            0.000        0.000        0.000        5822518                     4236115                     0                           0                           
GPU 7           73.345            0.000        0.000        0.000        5131553                     3324047                     0                           0                           
GPU 0           98.766            0.000        0.000        0.000        5547738                     3685310                     0                           0                           
GPU 1           72.359            0.000        0.000        0.000        5626192                     4811820                     0                           0                           
GPU 2           71.239            0.000        0.000        0.000        6702312                     3855525                     0                           0                           
GPU 3           71.540            0.000        0.000        0.000        5252562                     4476370                     0                           0                           
GPU 4           71.783            0.000        0.000        0.000        6520249                     5604575                     0                           0                           
GPU 5           73.940            0.000        0.000        0.000        5112230                     4352129                     0                           0                           
GPU 6           73.610            0.000        0.000        0.000        4963096                     4911212                     0                           0                           
GPU 7           73.356            0.000        0.000        0.000        5422478                     4652704                     0                           0                           
GPU 0           98.821            0.000        0.000        0.000        5818632                     4804018                     0                           0                           
GPU 1           72.353            0.000        0.000        0.000        6746708                     391890                      0                           0                           
GPU 2           71.213            0.000        0.000        0.000        5052309                     4293021                     0                           0                           
GPU 3           71.528            0.000        0.000        0.000        4709940                     3993873                     0                           0                           
GPU 4           71.744            0.000        0.000        0.000        5138230                     4384817                     0                           0                           
GPU 5           73.840            0.000        0.000        0.000        5934771                     5065780                     0                           0                           
GPU 6           73.585            0.000        0.000        0.000        5742752                     4644173                     0                           0                           
GPU 7           73.390            0.000        0.000        0.000        5616936                     4801846                     0                           0                           
GPU 0           98.724            0.000        0.000        0.000        528860                      318679                      0                           0                           
GPU 1           72.323            0.000        0.000        0.000        581720                      2931052                     0                           0                           
GPU 2           71.177            0.000        0.000        0.000        546097                      353233                      0                           0                           
GPU 3           71.529            0.000        0.000        0.000        4130980                     3513232                     0                           0                           
GPU 4           71.696            0.000        0.000        0.000        261567                      77660                       0                           0                           
GPU 5           73.835            0.000        0.000        0.000        1339946                     1030244                     0                           0                           
GPU 6           73.603            0.000        0.000        0.000        5408158                     999728                      0                           0                           
GPU 7           73.348            0.000        0.000        0.000        2358956                     1954830                     0                           0                           
GPU 0           98.660            0.000        0.000        0.000        4041229                     3341483                     0                           0                           
GPU 1           72.345            0.000        0.000        0.000        3497001                     348792                      0                           0                           
GPU 2           71.266            0.000        0.000        0.000        4312542                     3660603                     0                           0                           
GPU 3           71.538            0.000        0.000        0.000        3182195                     2629524                     0                           0                           
GPU 4           71.729            0.000        0.000        0.000        4756264                     4062739                     0                           0                           
GPU 5           73.925            0.000        0.000        0.000        4156004                     3501503                     0                           0                           
GPU 6           73.621            0.000        0.000        0.000        1307709                     2905367                     0                           0                           
GPU 7           73.296            0.000        0.000        0.000        2998995                     2478114                     0                           0                           
GPU 0           98.660            0.000        0.000        0.000        280415                      99586                       0                           0                           
GPU 1           72.351            0.000        0.000        0.000        538618                      348792                      0                           0                           
GPU 2           71.149            0.000        0.000        0.000        281957                      106913                      0                           0                           
GPU 3           71.523            0.000        0.000        0.000        551969                      352258                      0                           0                           
GPU 4           71.729            0.000        0.000        0.000        1177727                     881865                      0                           0                           
GPU 5           73.807            0.000        0.000        0.000        752410                      510922                      0                           0                           
GPU 6           73.614            0.000        0.000        0.000        3453031                     1383547                     0                           0                           
GPU 7           73.278            0.000        0.000        0.000        1413654                     1116981                     0                           0                           
GPU 0           98.597            0.000        0.000        0.000        6166380                     5116072                     0                           0                           
GPU 1           72.341            0.000        0.000        0.000        5427062                     398948                      0                           0                           
GPU 2           71.232            0.000        0.000        0.000        6693821                     5735247                     0                           0                           
GPU 3           71.518            0.000        0.000        0.000        4014662                     3374106                     0                           0                           
GPU 4           71.755            0.000        0.000        0.000        6819360                     5856769                     0                           0                           
GPU 5           73.890            0.000        0.000        0.000        5609551                     4768381                     0                           0                           
GPU 6           73.601            0.000        0.000        0.000        1749921                     5807734                     0                           0                           
GPU 7           73.373            0.000        0.000        0.000        4403567                     3726095                     0                           0                           
GPU 0           98.597            0.000        0.000        0.000        483792                      276227                      0                           0                           
GPU 1           72.348            0.000        0.000        0.000        597440                      398948                      0                           0                           
GPU 2           71.184            0.000        0.000        0.000        1224602                     943345                      0                           0                           
GPU 3           71.542            0.000        0.000        0.000        4629819                     3949381                     0                           0                           
GPU 4           71.762            0.000        0.000        0.000        573862                      371569                      0                           0                           
GPU 5           73.866            0.000        0.000        0.000        1733885                     1395911                     0                           0                           
GPU 6           73.601            0.000        0.000        0.000        6757837                     306067                      0                           0                           
GPU 7           73.319            0.000        0.000        0.000        2150917                     1762557                     0                           0                           
GPU 0           98.760            0.000        0.000        0.000        3846447                     3176634                     0                           0                           
GPU 1           72.351            0.000        0.000        0.000        3795077                     330152                      0                           0                           
GPU 2           71.307            0.000        0.000        0.000        3744932                     3150392                     0                           0                           
GPU 3           71.527            0.000        0.000        0.000        1191472                     880860                      0                           0                           
GPU 4           71.807            0.000        0.000        0.000        4038541                     3395498                     0                           0                           
GPU 5           73.865            0.000        0.000        0.000        3994354                     3345573                     0                           0                           
GPU 6           73.619            0.000        0.000        0.000        507841                      3596137                     0                           0                           
GPU 7           73.340            0.000        0.000        0.000        3899990                     3275845                     0                           0                           
GPU 0           98.622            0.000        0.000        0.000        472255                      262596                      0                           0                           
GPU 1           72.351            0.000        0.000        0.000        514618                      3812576                     0                           0                           
GPU 2           71.198            0.000        0.000        0.000        543294                      347056                      0                           0                           
GPU 3           71.512            0.000        0.000        0.000        3630533                     3048832                     0                           0                           
GPU 4           71.785            0.000        0.000        0.000        452286                      259422                      0                           0                           
GPU 5           73.849            0.000        0.000        0.000        472675                      268827                      0                           0                           
GPU 6           73.596            0.000        0.000        0.000        4236452                     461671                      0                           0                           
GPU 7           73.348            0.000        0.000        0.000        495282                      300314                      0                           0                           
